New Hampshire, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,4.7,-2.0
189502,1.1,-6.2
189503,14.6,-3.7
189504,28.9,-0.6
189505,42.5,2.5
189506,52.8,3.6
189507,52.9,-1.6
189508,51.4,-0.9
189509,44.4,-0.4
189510,28.9,-5.6
189511,25.0,-0.3
189512,13.3,0.8
189601,5.4,-1.3
189602,7.7,0.4
189603,12.6,-5.7
189604,29.9,0.4
189605,42.6,2.6
189606,48.5,-0.7
189607,56.5,2.0
189608,53.1,0.8
189609,44.7,-0.1
189610,33.8,-0.7
189611,26.6,1.3
189612,9.3,-3.2
189701,7.2,0.5
189702,8.3,1.0
189703,17.1,-1.2
189704,30.2,0.7
189705,41.9,1.9
189706,46.2,-3.0
189707,58.6,4.1
189708,51.3,-1.0
189709,42.9,-1.9
189710,31.3,-3.2
189711,22.8,-2.5
189712,13.6,1.1
189801,4.3,-2.4
189802,11.9,4.6
189803,22.4,4.1
189804,27.4,-2.1
189805,41.0,1.0
189806,50.5,1.3
189807,55.2,0.7
189808,55.1,2.8
189809,46.5,1.7
189810,36.6,2.1
189811,24.2,-1.1
189812,10.0,-2.5
189901,4.6,-2.1
189902,6.4,-0.9
189903,15.1,-3.2
189904,26.8,-2.7
189905,39.2,-0.8
189906,49.9,0.7
189907,54.1,-0.4
189908,51.4,-0.9
189909,43.2,-1.6
189910,36.5,2.0
189911,23.1,-2.2
189912,16.4,3.9
190001,4.7,-2.0
190002,6.7,-0.6
190003,11.1,-7.2
190004,29.0,-0.5
190005,35.4,-4.6
190006,49.6,0.4
190007,54.7,0.2
190008,53.6,1.3
190009,46.2,1.4
190010,40.1,5.6
190011,26.7,1.4
190012,9.8,-2.7
190101,5.8,-0.9
190102,2.5,-4.8
190103,17.3,-1.0
190104,32.8,3.3
190105,41.7,1.7
190106,50.8,1.6
190107,57.2,2.7
190108,54.7,2.4
190109,45.7,0.9
190110,33.2,-1.3
190111,19.4,-5.9
190112,11.7,-0.8
190201,4.5,-2.2
190202,8.4,1.1
190203,25.5,7.2
190204,31.2,1.7
190205,39.1,-0.9
190206,46.3,-2.9
190207,52.8,-1.7
190208,49.3,-3.0
190209,46.4,1.6
190210,34.2,-0.3
190211,26.5,1.2
190212,7.6,-4.9
190301,7.0,0.3
190302,10.2,2.9
190303,26.3,8.0
190304,28.6,-0.9
190305,39.3,-0.7
190306,46.1,-3.1
190307,53.8,-0.7
190308,46.8,-5.5
190309,44.4,-0.4
190310,35.4,0.9
190311,20.4,-4.9
190312,7.2,-5.3
190401,-1.2,-7.9
190402,0.6,-6.7
190403,16.0,-2.3
190404,28.0,-1.5
190405,44.0,4.0
190406,48.1,-1.1
190407,54.1,-0.4
190408,50.0,-2.3
190409,43.0,-1.8
190410,31.3,-3.2
190411,17.5,-7.8
190412,2.6,-9.9
190501,2.8,-3.9
190502,0.1,-7.2
190503,14.6,-3.7
190504,28.0,-1.5
190505,39.5,-0.5
190506,46.8,-2.4
190507,55.4,0.9
190508,49.7,-2.6
190509,44.7,-0.1
190510,32.7,-1.8
190511,21.1,-4.2
190512,13.4,0.9
190601,13.3,6.6
190602,5.9,-1.4
190603,11.5,-6.8
190604,27.7,-1.8
190605,38.8,-1.2
190606,48.4,-0.8
190607,53.9,-0.6
190608,54.4,2.1
190609,44.6,-0.2
190610,34.5,0.0
190611,24.3,-1.0
190612,5.4,-7.1
190701,3.0,-3.7
190702,-1.6,-8.9
190703,16.6,-1.7
190704,25.8,-3.7
190705,35.9,-4.1
190706,47.2,-2.0
190707,54.2,-0.3
190708,49.0,-3.3
190709,47.6,2.8
190710,29.4,-5.1
190711,23.6,-1.7
190712,16.3,3.8
190801,8.2,1.5
190802,3.1,-4.2
190803,17.4,-0.9
190804,26.5,-3.0
190805,43.2,3.2
190806,48.1,-1.1
190807,55.8,1.3
190808,50.4,-1.9
190809,45.1,0.3
190810,33.8,-0.7
190811,24.7,-0.6
190812,9.9,-2.6
190901,8.4,1.7
190902,9.3,2.0
190903,16.7,-1.6
190904,28.4,-1.1
190905,39.4,-0.6
190906,48.8,-0.4
190907,51.1,-3.4
190908,49.1,-3.2
190909,44.1,-0.7
190910,33.5,-1.0
190911,26.6,1.3
190912,12.3,-0.2
191001,9.4,2.7
191002,4.8,-2.5
191003,21.8,3.5
191004,33.9,4.4
191005,40.4,0.4
191006,47.8,-1.4
191007,54.2,-0.3
191008,50.0,-2.3
191009,44.0,-0.8
191010,34.8,0.3
191011,25.3,0.0
191012,5.3,-7.2
191101,8.1,1.4
191102,3.9,-3.4
191103,11.9,-6.4
191104,24.7,-4.8
191105,44.2,4.2
191106,47.8,-1.4
191107,55.8,1.3
191108,51.7,-0.6
191109,43.1,-1.7
191110,33.2,-1.3
191111,22.5,-2.8
191112,20.0,7.5
191201,-2.1,-8.8
191202,4.9,-2.4
191203,13.0,-5.3
191204,28.1,-1.4
191205,41.3,1.3
191206,45.2,-4.0
191207,53.3,-1.2
191208,49.6,-2.7
191209,44.7,-0.1
191210,35.3,0.8
191211,25.3,0.0
191212,17.4,4.9
191301,16.2,9.5
191302,5.8,-1.5
191303,21.2,2.9
191304,31.4,1.9
191305,37.9,-2.1
191306,45.7,-3.5
191307,52.7,-1.8
191308,49.8,-2.5
191309,42.1,-2.7
191310,41.7,7.2
191311,27.0,1.7
191312,16.3,3.8
191401,4.0,-2.7
191402,-1.6,-8.9
191403,19.2,0.9
191404,26.4,-3.1
191405,39.9,-0.1
191406,46.2,-3.0
191407,52.2,-2.3
191408,52.4,0.1
191409,42.6,-2.2
191410,36.7,2.2
191411,20.6,-4.7
191412,8.4,-4.1
191501,10.3,3.6
191502,13.2,5.9
191503,15.6,-2.7
191504,32.9,3.4
191505,36.9,-3.1
191506,46.0,-3.2
