New Jersey, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,18.1,-2.9
189502,11.7,-9.7
189503,25.4,-4.0
189504,37.2,-1.1
189505,48.0,-0.3
189506,59.8,2.4
189507,58.8,-4.0
189508,61.4,0.2
189509,56.0,1.7
189510,35.8,-7.1
189511,33.8,0.1
189512,25.9,1.4
189601,18.6,-2.4
189602,20.7,-0.7
189603,22.6,-6.8
189604,40.2,1.9
189605,52.5,4.2
189606,56.5,-0.9
189607,64.0,1.2
189608,61.2,0.0
189609,53.2,-1.1
189610,41.2,-1.7
189611,36.6,2.9
189612,20.2,-4.3
189701,18.7,-2.3
189702,22.5,1.1
189703,29.9,0.5
189704,36.5,-1.8
189705,48.3,0.0
189706,53.8,-3.6
189707,64.5,1.7
189708,59.7,-1.5
189709,52.5,-1.8
189710,43.5,0.6
189711,33.2,-0.5
189712,25.5,1.0
189801,23.2,2.2
189802,22.1,0.7
189803,34.1,4.7
189804,35.7,-2.6
189805,48.5,0.2
189806,57.6,0.2
189807,64.3,1.5
189808,64.2,3.0
189809,55.9,1.6
189810,44.8,1.9
189811,31.4,-2.3
189812,23.1,-1.4
189901,18.6,-2.4
189902,15.5,-5.9
189903,28.5,-0.9
189904,36.0,-2.3
189905,47.7,-0.6
189906,59.0,1.6
189907,62.7,-0.1
189908,61.5,0.3
189909,52.1,-2.2
189910,45.0,2.1
189911,32.5,-1.2
189912,24.2,-0.3
190001,20.4,-0.6
190002,19.0,-2.4
190003,23.9,-5.5
190004,37.8,-0.5
190005,46.7,-1.6
190006,58.5,1.1
190007,63.4,0.6
190008,64.4,3.2
190009,58.0,3.7
190010,49.0,6.1
190011,36.5,2.8
190012,22.5,-2.0
190101,21.5,0.5
190102,15.2,-6.2
190103,28.5,-0.9
190104,38.0,-0.3
190105,47.8,-0.5
190106,57.0,-0.4
190107,67.3,4.5
190108,63.9,2.7
190109,54.9,0.6
190110,40.6,-2.3
190111,28.3,-5.4
190112,21.7,-2.8
190201,18.1,-2.9
190202,18.0,-3.4
190203,32.5,3.1
190204,38.0,-0.3
190205,47.7,-0.6
190206,55.1,-2.3
190207,62.2,-0.6
190208,58.2,-3.0
190209,54.2,-0.1
190210,44.7,1.8
190211,38.1,4.4
190212,21.5,-3.0
190301,20.3,-0.7
190302,22.5,1.1
190303,36.2,6.8
190304,38.7,0.4
190305,49.1,0.8
190306,54.7,-2.7
190307,61.8,-1.0
190308,58.8,-2.4
190309,53.2,-1.1
190310,44.8,1.9
190311,27.7,-6.0
190312,18.5,-6.0
190401,13.0,-8.0
190402,13.2,-8.2
190403,27.1,-2.3
190404,34.9,-3.4
190405,49.8,1.5
190406,57.1,-0.3
190407,61.9,-0.9
190408,59.7,-1.5
190409,53.0,-1.3
190410,38.6,-4.3
190411,29.5,-4.2
190412,17.1,-7.4
190501,17.1,-3.9
190502,12.4,-9.0
190503,28.2,-1.2
190504,37.3,-1.0
190505,48.9,0.6
190506,56.6,-0.8
190507,63.8,1.0
190508,60.7,-0.5
190509,54.2,-0.1
190510,42.5,-0.4
190511,29.1,-4.6
190512,25.6,1.1
190601,26.6,5.6
190602,19.0,-2.4
190603,25.2,-4.2
190604,38.1,-0.2
190605,48.3,0.0
190606,59.7,2.3
190607,63.1,0.3
190608,65.9,4.7
190609,57.4,3.1
190610,44.9,2.0
190611,32.9,-0.8
190612,23.7,-0.8
190701,21.6,0.6
190702,12.4,-9.0
190703,29.3,-0.1
190704,33.7,-4.6
190705,43.6,-4.7
190706,53.0,-4.4
190707,62.0,-0.8
190708,58.8,-2.4
190709,56.6,2.3
190710,37.4,-5.5
190711,33.4,-0.3
190712,26.8,2.3
190801,21.2,0.2
190802,17.2,-4.2
190803,31.1,1.7
190804,38.3,0.0
190805,50.9,2.6
190806,56.5,-0.9
190807,63.9,1.1
190808,59.7,-1.5
190809,53.4,-0.9
190810,44.8,1.9
190811,31.8,-1.9
190812,24.3,-0.2
190901,23.0,2.0
190902,27.1,5.7
190903,27.6,-1.8
190904,38.2,-0.1
190905,48.1,-0.2
190906,58.6,1.2
190907,58.4,-4.4
190908,58.1,-3.1
190909,52.5,-1.8
190910,38.0,-4.9
190911,34.9,1.2
190912,20.2,-4.3
191001,19.7,-1.3
191002,20.2,-1.2
191003,31.5,2.1
191004,40.7,2.4
191005,47.5,-0.8
191006,55.7,-1.7
191007,62.4,-0.4
191008,59.2,-2.0
191009,55.6,1.3
191010,44.0,1.1
191011,30.3,-3.4
191012,16.5,-8.0
191101,23.4,2.4
191102,21.5,0.1
191103,25.5,-3.9
191104,35.1,-3.2
191105,50.6,2.3
191106,57.5,0.1
191107,63.8,1.0
191108,60.9,-0.3
191109,55.6,1.3
191110,43.0,0.1
191111,30.2,-3.5
191112,28.6,4.1
191201,12.0,-9.0
191202,16.9,-4.5
191203,26.6,-2.8
191204,38.8,0.5
191205,49.4,1.1
191206,55.3,-2.1
191207,61.4,-1.4
191208,58.2,-3.0
191209,55.8,1.5
191210,43.9,1.0
191211,33.9,0.2
191212,26.1,1.6
191301,28.8,7.8
191302,19.7,-1.7
191303,33.2,3.8
191304,40.9,2.6
191305,47.3,-1.0
191306,55.7,-1.7
191307,61.2,-1.6
191308,59.6,-1.6
191309,53.4,-0.9
191310,47.9,5.0
191311,34.9,1.2
191312,27.0,2.5
191401,22.0,1.0
191402,14.6,-6.8
191403,24.6,-4.8
191404,36.4,-1.9
191405,48.8,0.5
191406,55.7,-1.7
191407,61.2,-1.6
191408,61.9,0.7
191409,49.2,-5.1
191410,46.0,3.1
191411,30.7,-3.0
191412,22.5,-2.0
191501,23.5,2.5
191502,25.5,4.1
191503,24.8,-4.6
191504,40.6,2.3
191505,46.1,-2.2
191506,55.2,-2.2
191507,61.5,-1.3
191508,60.4,-0.8
191509,56.1,1.8
191510,44.1,1.2
191511,31.6,-2.1
191512,22.9,-1.6
191601,24.4,3.4
191602,18.0,-3.4
191603,21.7,-7.7
191604,37.4,-0.9
191605,50.3,2.0
191606,54.3,-3.1
191607,64.5,1.7
191608,61.3,0.1
191609,51.8,-2.5
191610,41.3,-1.6
191611,31.5,-2.2
191612,22.8,-1.7
191701,21.1,0.1
191702,17.0,-4.4
191703,28.2,-1.2
191704,37.1,-1.2
191705,42.8,-5.5
191706,57.6,0.2
191707,64.1,1.3
191708,62.2,1.0
191709,49.5,-4.8
191710,37.8,-5.1
191711,27.4,-6.3
191712,15.5,-9.0
191801,10.5,-10.5
191802,16.9,-4.5
191803,28.8,-0.6
191804,38.0,-0.3
191805,52.2,3.9
