New Mexico, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,20.8,0.9
189502,18.0,-5.5
189503,29.2,0.8
189504,36.6,1.0
189505,45.3,1.2
189506,51.7,-1.2
189507,56.2,-1.9
189508,55.6,-1.3
189509,49.0,-0.9
189510,38.3,-0.5
189511,26.2,-1.2
189512,18.1,-2.4
189601,21.5,1.6
189602,22.0,-1.5
189603,29.6,1.2
189604,35.4,-0.2
189605,45.8,1.7
189606,56.0,3.1
189607,59.0,0.9
189608,57.3,0.4
189609,51.8,1.9
189610,41.1,2.3
189611,28.2,0.8
189612,22.3,1.8
189701,19.9,0.0
189702,24.6,1.1
189703,27.3,-1.1
189704,36.4,0.8
189705,47.8,3.7
189706,53.6,0.7
189707,57.6,-0.5
189708,57.0,0.1
189709,52.9,3.0
189710,40.5,1.7
189711,29.0,1.6
189712,19.0,-1.5
189801,17.8,-2.1
189802,25.9,2.4
189803,28.0,-0.4
189804,38.4,2.8
189805,44.5,0.4
189806,54.5,1.6
189807,59.8,1.7
189808,57.7,0.8
189809,48.4,-1.5
189810,36.6,-2.2
189811,25.5,-1.9
189812,16.2,-4.3
189901,16.8,-3.1
189902,18.8,-4.7
189903,29.6,1.2
189904,36.7,1.1
189905,42.5,-1.6
189906,53.1,0.2
189907,59.5,1.4
189908,57.1,0.2
189909,50.6,0.7
189910,39.2,0.4
189911,28.8,1.4
189912,21.1,0.6
190001,23.4,3.5
190002,22.5,-1.0
190003,30.7,2.3
190004,33.8,-1.8
190005,46.2,2.1
190006,54.2,1.3
190007,58.7,0.6
190008,56.0,-0.9
190009,51.5,1.6
190010,40.7,1.9
190011,29.5,2.1
190012,19.6,-0.9
190101,21.1,1.2
190102,24.8,1.3
190103,26.8,-1.6
190104,33.7,-1.9
190105,46.0,1.9
190106,52.5,-0.4
190107,59.2,1.1
190108,59.2,2.3
190109,50.0,0.1
190110,40.5,1.7
190111,30.8,3.4
190112,20.1,-0.4
190201,20.9,1.0
190202,23.7,0.2
190203,26.1,-2.3
190204,38.0,2.4
190205,45.3,1.2
190206,54.8,1.9
190207,55.6,-2.5
190208,57.2,0.3
190209,48.4,-1.5
190210,38.7,-0.1
190211,29.2,1.8
190212,22.0,1.5
190301,21.5,1.6
190302,18.2,-5.3
190303,27.0,-1.4
190304,36.5,0.9
190305,42.5,-1.6
190306,51.7,-1.2
190307,57.8,-0.3
190308,57.8,0.9
190309,49.3,-0.6
190310,35.6,-3.2
190311,27.6,0.2
190312,17.1,-3.4
190401,15.2,-4.7
190402,26.7,3.2
190403,32.3,3.9
190404,36.4,0.8
190405,44.9,0.8
190406,52.7,-0.2
190407,57.0,-1.1
190408,57.1,0.2
190409,51.1,1.2
190410,40.2,1.4
190411,26.2,-1.2
190412,20.9,0.4
190501,21.4,1.5
190502,23.8,0.3
190503,35.0,6.6
190504,36.5,0.9
190505,44.3,0.2
190506,54.5,1.6
190507,55.2,-2.9
190508,56.4,-0.5
190509,50.9,1.0
190510,38.0,-0.8
190511,32.4,5.0
190512,17.4,-3.1
190601,19.2,-0.7
190602,25.4,1.9
190603,29.7,1.3
190604,36.9,1.3
190605,43.5,-0.6
190606,52.0,-0.9
190607,57.2,-0.9
190608,55.8,-1.1
190609,49.2,-0.7
190610,36.0,-2.8
190611,28.6,1.2
190612,27.5,7.0
190701,27.1,7.2
190702,27.7,4.2
190703,32.8,4.4
190704,35.9,0.3
190705,40.7,-3.4
190706,49.1,-3.8
190707,57.5,-0.6
190708,58.1,1.2
190709,49.7,-0.2
190710,41.4,2.6
190711,28.2,0.8
190712,22.2,1.7
190801,20.7,0.8
190802,24.7,1.2
190803,32.6,4.2
190804,37.5,1.9
190805,41.4,-2.7
190806,50.7,-2.2
190807,57.3,-0.8
190808,56.9,0.0
190809,47.5,-2.4
190810,34.0,-4.8
190811,24.6,-2.8
190812,22.0,1.5
190901,25.4,5.5
190902,23.1,-0.4
190903,26.4,-2.0
190904,34.2,-1.4
190905,41.0,-3.1
190906,53.3,0.4
190907,59.8,1.7
190908,58.6,1.7
190909,48.3,-1.6
190910,37.6,-1.2
190911,29.9,2.5
190912,14.9,-5.6
