North Carolina, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,27.6,-1.9
189502,20.6,-10.2
189503,36.0,-1.5
189504,44.7,-0.7
189505,52.6,-1.7
189506,62.8,0.5
189507,65.3,-1.1
189508,66.1,0.8
189509,62.6,3.2
189510,41.6,-5.8
189511,39.2,1.7
189512,30.9,0.2
189601,27.8,-1.7
189602,31.2,0.4
189603,34.8,-2.7
189604,49.9,4.5
189605,61.2,6.9
189606,63.6,1.3
189607,68.5,2.1
189608,66.2,0.9
189609,58.7,-0.7
189610,45.5,-1.9
189611,42.5,5.0
189612,28.2,-2.5
189701,26.4,-3.1
189702,34.2,3.4
189703,41.1,3.6
189704,45.0,-0.4
189705,52.5,-1.8
189706,63.8,1.5
189707,66.9,0.5
189708,64.5,-0.8
189709,57.9,-1.5
189710,50.3,2.9
189711,38.1,0.6
189712,33.3,2.6
189801,33.5,4.0
189802,27.5,-3.3
189803,43.3,5.8
189804,42.0,-3.4
189805,55.8,1.5
189806,63.4,1.1
189807,67.8,1.4
189808,67.7,2.4
189809,61.7,2.3
189810,49.7,2.3
189811,36.4,-1.1
189812,31.0,0.3
189901,29.1,-0.4
189902,26.2,-4.6
189903,38.3,0.8
189904,44.0,-1.4
189905,56.3,2.0
189906,64.3,2.0
189907,65.5,-0.9
189908,67.2,1.9
189909,57.6,-1.8
189910,49.7,2.3
189911,38.6,1.1
189912,28.9,-1.8
190001,28.3,-1.2
190002,28.1,-2.7
190003,34.8,-2.7
190004,46.1,0.7
190005,53.7,-0.6
190006,64.4,2.1
190007,68.0,1.6
190008,67.7,2.4
190009,62.0,2.6
190010,53.8,6.4
190011,40.2,2.7
190012,29.6,-1.1
190101,29.0,-0.5
190102,26.3,-4.5
190103,37.7,0.2
190104,40.8,-4.6
190105,55.2,0.9
190106,63.1,0.8
190107,69.0,2.6
190108,67.1,1.8
190109,59.4,0.0
190110,45.3,-2.1
190111,30.8,-6.7
190112,27.9,-2.8
190201,26.2,-3.3
190202,25.3,-5.5
190203,37.9,0.4
190204,43.8,-1.6
190205,57.2,2.9
190206,62.5,0.2
190207,66.7,0.3
190208,64.1,-1.2
190209,57.5,-1.9
190210,48.5,1.1
190211,42.8,5.3
190212,30.8,0.1
190301,29.4,-0.1
190302,32.3,1.5
190303,45.6,8.1
190304,45.4,0.0
190305,55.6,1.3
190306,60.0,-2.3
190307,66.2,-0.2
190308,66.3,1.0
190309,57.6,-1.8
190310,45.8,-1.6
190311,34.2,-3.3
190312,24.4,-6.3
190401,24.2,-5.3
190402,26.5,-4.3
190403,38.1,0.6
190404,42.6,-2.8
190405,53.3,-1.0
190406,61.7,-0.6
190407,64.9,-1.5
190408,64.9,-0.4
190409,58.3,-1.1
190410,43.4,-4.0
190411,34.3,-3.2
190412,28.2,-2.5
190501,24.3,-5.2
190502,23.9,-6.9
190503,39.8,2.3
190504,45.6,0.2
190505,58.6,4.3
190506,63.2,0.9
190507,67.0,0.6
190508,64.0,-1.3
190509,60.4,1.0
190510,47.2,-0.2
190511,36.4,-1.1
190512,30.5,-0.2
190601,33.4,3.9
190602,28.5,-2.3
190603,34.8,-2.7
190604,45.8,0.4
190605,53.1,-1.2
190606,63.9,1.6
190607,66.5,0.1
190608,68.8,3.5
190609,64.0,4.6
190610,48.3,0.9
190611,35.5,-2.0
190612,31.4,0.7
190701,34.6,5.1
190702,27.6,-3.2
190703,41.8,4.3
190704,39.7,-5.7
190705,52.8,-1.5
190706,58.7,-3.6
190707,66.6,0.2
190708,64.5,-0.8
190709,60.8,1.4
190710,43.0,-4.4
190711,36.3,-1.2
190712,30.7,0.0
190801,26.9,-2.6
190802,28.0,-2.8
190803,42.7,5.2
190804,49.1,3.7
190805,55.3,1.0
190806,61.1,-1.2
190807,66.6,0.2
190808,64.5,-0.8
190809,56.2,-3.2
190810,46.3,-1.1
190811,37.8,0.3
190812,33.5,2.8
190901,32.9,3.4
190902,34.8,4.0
190903,36.2,-1.3
190904,46.7,1.3
190905,52.8,-1.5
190906,64.9,2.6
190907,63.4,-3.0
190908,63.4,-1.9
190909,57.1,-2.3
190910,41.6,-5.8
190911,39.2,1.7
190912,25.4,-5.3
191001,28.0,-1.5
191002,28.6,-2.2
191003,41.5,4.0
191004,45.7,0.3
191005,52.1,-2.2
