North Dakota, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,-13.2,-9.8
189502,-3.3,-5.0
189503,11.2,-3.5
189504,34.4,5.0
189505,40.2,-0.5
189506,47.0,-3.7
189507,53.0,-2.7
189508,48.5,-4.5
189509,40.3,-2.5
189510,24.8,-6.8
189511,10.3,-6.6
189512,3.5,0.1
189601,-4.1,-0.7
189602,3.0,1.3
189603,4.2,-10.5
189604,29.9,0.5
189605,44.5,3.8
189606,52.6,1.9
189607,54.0,-1.7
189608,49.0,-4.0
189609,39.1,-3.7
189610,25.1,-6.5
189611,-0.9,-17.8
189612,7.8,4.4
189701,-5.5,-2.1
189702,-3.5,-5.2
189703,0.5,-14.2
189704,30.5,1.1
189705,40.6,-0.1
189706,49.6,-1.1
189707,55.8,0.1
189708,49.5,-3.5
189709,47.4,4.6
189710,31.9,0.3
189711,9.3,-7.6
189712,1.2,-2.2
189801,2.7,6.1
189802,1.2,-0.5
189803,9.4,-5.3
189804,28.6,-0.8
189805,38.8,-1.9
189806,50.6,-0.1
189807,54.1,-1.6
189808,51.6,-1.4
189809,41.8,-1.0
189810,28.6,-3.0
189811,11.6,-5.3
189812,1.8,-1.6
189901,-4.7,-1.3
189902,-11.2,-12.9
189903,-4.4,-19.1
189904,25.8,-3.6
189905,39.5,-1.2
189906,50.1,-0.6
189907,54.7,-1.0
189908,51.8,-1.2
189909,40.0,-2.8
189910,30.3,-1.3
189911,25.0,8.1
189912,2.6,-0.8
190001,4.7,8.1
190002,-9.2,-10.9
190003,9.6,-5.1
190004,34.9,5.5
190005,43.2,2.5
190006,52.5,1.8
190007,53.8,-1.9
190008,57.0,4.0
190009,43.5,0.7
190010,35.6,4.0
190011,10.3,-6.6
190012,8.4,5.0
190101,-1.9,1.5
190102,-3.3,-5.0
190103,15.7,1.0
190104,32.3,2.9
190105,44.8,4.1
190106,50.2,-0.5
190107,59.3,3.6
190108,52.5,-0.5
190109,41.3,-1.5
190110,33.0,1.4
190111,14.7,-2.2
190112,3.6,0.2
190201,1.9,5.3
190202,1.4,-0.3
190203,18.0,3.3
190204,28.4,-1.0
190205,43.9,3.2
190206,46.6,-4.1
190207,53.7,-2.0
190208,50.5,-2.5
190209,37.4,-5.4
190210,28.7,-2.9
190211,17.3,0.4
190212,-4.6,-8.0
190301,-0.8,2.6
190302,-10.0,-11.7
190303,11.1,-3.6
190304,29.0,-0.4
190305,39.4,-1.3
190306,49.0,-1.7
190307,52.6,-3.1
190308,51.0,-2.0
190309,39.0,-3.8
190310,32.4,0.8
190311,13.4,-3.5
190312,1.3,-2.1
190401,-6.1,-2.7
190402,-13.3,-15.0
190403,7.0,-7.7
190404,27.9,-1.5
190405,40.7,0.0
190406,49.7,-1.0
190407,50.7,-5.0
190408,48.4,-4.6
190409,41.1,-1.7
190410,33.2,1.6
190411,21.3,4.4
190412,3.6,0.2
190501,-9.4,-6.0
190502,-3.2,-4.9
190503,21.4,6.7
190504,25.9,-3.5
190505,37.4,-3.3
190506,48.9,-1.8
190507,53.8,-1.9
190508,54.5,1.5
190509,44.7,1.9
190510,27.8,-3.8
190511,20.1,3.2
190512,5.3,1.9
190601,2.0,5.4
190602,-0.2,-1.9
190603,8.0,-6.7
190604,34.7,5.3
190605,40.3,-0.4
190606,51.3,0.6
190607,55.2,-0.5
190608,53.6,0.6
190609,47.4,4.6
190610,31.6,0.0
190611,16.4,-0.5
190612,-1.5,-4.9
190701,-15.5,-12.1
190702,0.6,-1.1
190703,12.6,-2.1
190704,22.1,-7.3
190705,31.2,-9.5
190706,50.4,-0.3
190707,53.4,-2.3
190708,50.3,-2.7
190709,38.8,-4.0
190710,28.9,-2.7
190711,17.1,0.2
190712,8.5,5.1
190801,4.8,8.2
190802,4.5,2.8
190803,10.4,-4.3
190804,30.4,1.0
190805,38.6,-2.1
190806,50.0,-0.7
190807,55.1,-0.6
190808,48.6,-4.4
190809,46.5,3.7
190810,31.6,0.0
190811,20.3,3.4
190812,5.0,1.6
190901,-6.5,-3.1
190902,1.1,-0.6
190903,15.5,0.8
190904,23.2,-6.2
190905,39.3,-1.4
190906,52.4,1.7
190907,56.4,0.7
190908,55.1,2.1
190909,44.4,1.6
190910,29.7,-1.9
190911,17.2,0.3
190912,-3.3,-6.7
191001,-1.0,2.4
191002,-7.9,-9.6
191003,27.8,13.1
191004,32.3,2.9
191005,36.1,-4.6
191006,53.2,2.5
191007,55.1,-0.6
191008,48.8,-4.2
191009,42.2,-0.6
191010,33.3,1.7
191011,14.6,-2.3
191012,2.3,-1.1
191101,-12.1,-8.7
191102,-4.7,-6.4
191103,18.4,3.7
191104,28.8,-0.6
191105,40.9,0.2
191106,54.7,4.0
191107,51.1,-4.6
191108,50.0,-3.0
191109,42.5,-0.3
191110,31.9,0.3
191111,5.8,-11.1
191112,7.6,4.2
191201,-14.8,-11.4
191202,2.0,0.3
191203,3.1,-11.6
191204,31.1,1.7
191205,42.6,1.9
191206,49.2,-1.5
191207,54.3,-1.4
191208,51.8,-1.2
191209,40.1,-2.7
191210,30.6,-1.0
191211,21.5,4.6
191212,7.7,4.3
191301,-9.2,-5.8
191302,-3.2,-4.9
191303,5.9,-8.8
191304,33.4,4.0
191305,39.0,-1.7
191306,53.3,2.6
191307,52.8,-2.9
191308,54.3,1.3
191309,42.8,0.0
191310,27.6,-4.0
191311,22.6,5.7
191312,10.8,7.4
191401,3.3,6.7
191402,-10.1,-11.8
191403,15.7,1.0
191404,29.8,0.4
191405,41.6,0.9
191406,51.2,0.5
191407,58.8,3.1
191408,50.3,-2.7
191409,44.0,1.2
191410,35.2,3.6
191411,19.6,2.7
191412,-4.6,-8.0
191501,-4.3,-0.9
191502,8.3,6.6
191503,11.9,-2.8
191504,35.9,6.5
191505,39.0,-1.7
191506,45.4,-5.3
191507,51.2,-4.5
191508,49.8,-3.2
191509,42.7,-0.1
191510,32.6,1.0
191511,18.5,1.6
191512,5.8,2.4
191601,-17.9,-14.5
191602,-3.1,-4.8
191603,11.1,-3.6
191604,28.8,-0.6
191605,38.3,-2.4
191606,47.3,-3.4
191607,61.4,5.7
191608,52.3,-0.7
191609,41.1,-1.7
191610,28.1,-3.5
191611,16.4,-0.5
191612,-8.6,-12.0
191701,-9.4,-6.0
191702,-11.4,-13.1
191703,12.4,-2.3
191704,27.3,-2.1
191705,35.6,-5.1
191706,45.8,-4.9
191707,56.0,0.3
191708,49.4,-3.6
191709,42.0,-0.8
191710,23.4,-8.2
191711,25.0,8.1
191712,-9.7,-13.1
191801,-10.8,-7.4
191802,-1.4,-3.1
191803,22.5,7.8
191804,29.0,-0.4
191805,38.2,-2.5
191806,51.0,0.3
191807,52.2,-3.5
191808,53.2,0.2
191809,37.4,-5.4
191810,32.9,1.3
191811,19.3,2.4
191812,9.0,5.6
191901,8.4,11.8
191902,-1.7,-3.4
191903,7.8,-6.9
191904,31.8,2.4
191905,42.6,1.9
191906,55.0,4.3
191907,57.4,1.7
191908,53.5,0.5
191909,46.3,3.5
191910,21.2,-10.4
191911,6.9,-10.0
191912,-1.3,-4.7
192001,-7.0,-3.6
192002,2.7,1.0
192003,11.5,-3.2
192004,22.2,-7.2
192005,40.7,0.0
192006,50.5,-0.2
192007,55.7,0.0
192008,53.6,0.6
192009,45.3,2.5
192010,35.0,3.4
192011,17.8,0.9
192012,5.5,2.1
192101,4.7,8.1
192102,8.3,6.6
192103,13.6,-1.1
192104,28.3,-1.1
192105,41.4,0.7
192106,56.8,6.1
192107,58.3,2.6
192108,51.8,-1.2
192109,45.1,2.3
192110,33.4,1.8
192111,11.6,-5.3
192112,7.4,4.0
192201,-4.2,-0.8
192202,-10.8,-12.5
192203,17.2,2.5
192204,31.2,1.8
192205,44.9,4.2
192206,53.0,2.3
192207,52.9,-2.8
192208,55.3,2.3
192209,45.5,2.7
192210,31.4,-0.2
192211,24.5,7.6
192212,-1.5,-4.9
192301,-1.2,2.2
192302,-7.6,-9.3
192303,6.6,-8.1
192304,27.2,-2.2
192305,40.3,-0.4
192306,53.6,2.9
192307,59.1,3.4
192308,49.5,-3.5
192309,45.1,2.3
192310,31.6,0.0
192311,24.6,7.7
192312,10.6,7.2
192401,-9.7,-6.3
192402,9.5,7.8
192403,16.2,1.5
192404,28.3,-1.1
192405,33.7,-7.0
192406,47.1,-3.6
192407,52.5,-3.2
192408,49.6,-3.4
192409,41.3,-1.5
192410,36.5,4.9
192411,17.4,0.5
192412,-7.6,-11.0
192501,-3.1,0.3
192502,5.8,4.1
192503,15.9,1.2
192504,34.7,5.3
192505,38.2,-2.5
192506,50.4,-0.3
192507,53.1,-2.6
192508,51.8,-1.2
192509,45.4,2.6
192510,23.7,-7.9
192511,17.2,0.3
192512,7.0,3.6
192601,4.9,8.3
192602,12.5,10.8
192603,13.9,-0.8
192604,26.8,-2.6
192605,43.8,3.1
192606,47.8,-2.9
192607,56.0,0.3
192608,52.1,-0.9
192609,39.8,-3.0
192610,30.6,-1.0
192611,13.7,-3.2
192612,-1.6,-5.0
192701,0.1,3.5
192702,3.8,2.1
192703,21.0,6.3
192704,31.2,1.8
192705,38.8,-1.9
192706,49.6,-1.1
192707,53.6,-2.1
192708,49.6,-3.4
192709,43.5,0.7
192710,33.6,2.0
192711,12.0,-4.9
192712,-12.2,-15.6
192801,2.3,5.7
192802,8.0,6.3
192803,16.6,1.9
192804,23.8,-5.6
192805,42.9,2.2
192806,46.2,-4.5
192807,55.7,0.0
192808,51.0,-2.0
192809,39.6,-3.2
192810,29.7,-1.9
192811,18.9,2.0
192812,10.4,7.0
192901,-16.6,-13.2
192902,-9.4,-11.1
192903,20.0,5.3
192904,28.6,-0.8
192905,35.2,-5.5
192906,47.8,-2.9
192907,55.4,-0.3
192908,51.8,-1.2
192909,39.8,-3.0
192910,33.5,1.9
192911,15.2,-1.7
192912,1.2,-2.2
193001,-11.8,-8.4
193002,12.1,10.4
193003,15.8,1.1
193004,34.2,4.8
193005,38.4,-2.3
193006,51.3,0.6
193007,57.1,1.4
193008,55.8,2.8
193009,41.6,-1.2
193010,29.8,-1.8
193011,17.6,0.7
193012,10.4,7.0
193101,10.4,13.8
193102,17.7,16.0
193103,15.5,0.8
193104,29.3,-0.1
193105,38.1,-2.6
193106,54.8,4.1
193107,56.7,1.0
193108,53.4,0.4
193109,46.1,3.3
193110,34.7,3.1
193111,18.8,1.9
193112,11.0,7.6
193201,-1.2,2.2
193202,1.5,-0.2
193203,9.1,-5.6
193204,32.5,3.1
193205,42.5,1.8
193206,55.3,4.6
193207,55.8,0.1
193208,54.2,1.2
193209,41.0,-1.8
193210,27.9,-3.7
193211,15.2,-1.7
193212,1.9,-1.5
193301,0.6,4.0
193302,-3.3,-5.0
193303,18.2,3.5
193304,28.7,-0.7
193305,42.4,1.7
193306,56.2,5.5
193307,57.3,1.6
193308,53.2,0.2
193309,45.8,3.0
193310,27.7,-3.9
193311,18.3,1.4
193312,-3.3,-6.7
193401,3.9,7.3
193402,8.7,7.0
193403,13.9,-0.8
193404,29.9,0.5
193405,46.6,5.9
193406,51.1,0.4
193407,56.5,0.8
193408,51.6,-1.4
193409,39.0,-3.8
193410,36.2,4.6
193411,22.2,5.3
193412,2.7,-0.7
193501,-8.0,-4.6
193502,13.6,11.9
193503,15.5,0.8
193504,28.0,-1.4
193505,39.0,-1.7
193506,48.9,-1.8
193507,61.3,5.6
193508,51.9,-1.1
193509,41.8,-1.0
193510,27.9,-3.7
193511,7.0,-9.9
193512,3.0,-0.4
193601,-16.4,-13.0
193602,-23.4,-25.1
193603,16.2,1.5
193604,22.9,-6.5
193605,45.1,4.4
193606,51.7,1.0
193607,63.7,8.0
193608,55.1,2.1
193609,45.1,2.3
193610,27.2,-4.4
193611,17.0,0.1
193612,4.7,1.3
193701,-18.7,-15.3
193702,-4.4,-6.1
193703,14.9,0.2
193704,30.1,0.7
193705,43.7,3.0
193706,50.6,-0.1
193707,58.9,3.2
193708,57.4,4.4
193709,43.8,1.0
193710,32.3,0.7
193711,14.7,-2.2
193712,0.1,-3.3
193801,-1.2,2.2
193802,-3.4,-5.1
193803,22.0,7.3
193804,29.3,-0.1
193805,40.7,0.0
193806,51.6,0.9
193807,56.2,0.5
193808,53.5,0.5
193809,46.4,3.6
193810,37.3,5.7
193811,13.2,-3.7
193812,8.2,4.8
193901,3.8,7.2
193902,-13.2,-14.9
193903,11.4,-3.3
193904,28.2,-1.2
193905,45.6,4.9
193906,48.6,-2.1
193907,58.0,2.3
193908,52.8,-0.2
193909,42.9,0.1
193910,29.6,-2.0
193911,20.4,3.5
193912,14.7,11.3
194001,-8.2,-4.8
194002,5.8,4.1
194003,13.8,-0.9
194004,27.7,-1.7
194005,40.7,0.0
194006,49.7,-1.0
194007,57.7,2.0
194008,54.1,1.1
194009,47.3,4.5
194010,37.6,6.0
194011,13.2,-3.7
194012,8.9,5.5
194101,0.0,3.4
194102,1.0,-0.7
194103,14.2,-0.5
194104,34.1,4.7
194105,45.9,5.2
194106,53.5,2.8
194107,57.2,1.5
194108,54.8,1.8
194109,43.8,1.0
194110,32.1,0.5
194111,20.8,3.9
194112,11.9,8.5
194201,5.9,9.3
194202,3.9,2.2
194203,20.3,5.6
194204,33.0,3.6
194205,38.5,-2.2
194206,49.2,-1.5
194207,54.5,-1.2
194208,53.1,0.1
194209,41.0,-1.8
194210,32.6,1.0
194211,16.0,-0.9
194212,-0.3,-3.7
194301,-12.1,-8.7
194302,3.6,1.9
194303,5.9,-8.8
194304,30.7,1.3
194305,37.4,-3.3
194306,49.4,-1.3
194307,57.4,1.7
194308,53.6,0.6
194309,41.0,-1.8
194310,32.6,1.0
194311,20.1,3.2
194312,8.8,5.4
194401,9.2,12.6
194402,-1.2,-2.9
194403,6.2,-8.5
194404,28.2,-1.2
194405,45.1,4.4
194406,50.6,-0.1
194407,54.1,-1.6
194408,52.8,-0.2
194409,43.7,0.9
194410,32.2,0.6
194411,19.8,2.9
194412,5.3,1.9
194501,3.3,6.7
194502,3.1,1.4
194503,21.3,6.6
194504,26.5,-2.9
194505,34.6,-6.1
194506,46.3,-4.4
194507,54.4,-1.3
194508,52.6,-0.4
194509,40.8,-2.0
194510,30.0,-1.6
194511,12.4,-4.5
194512,-2.8,-6.2
194601,-1.3,2.1
194602,-2.0,-3.7
194603,24.3,9.6
194604,34.0,4.6
194605,37.6,-3.1
194606,49.8,-0.9
194607,57.2,1.5
194608,50.9,-2.1
194609,43.3,0.5
194610,29.5,-2.1
194611,13.7,-3.2
194612,3.4,0.0
194701,4.3,7.7
194702,-2.4,-4.1
194703,13.1,-1.6
194704,28.5,-0.9
194705,36.1,-4.6
194706,49.1,-1.6
194707,57.0,1.3
194708,57.2,4.2
194709,42.2,-0.6
194710,37.7,6.1
194711,13.4,-3.5
194712,3.5,0.1
194801,-2.8,0.6
194802,-4.3,-6.0
194803,6.6,-8.1
194804,28.8,-0.6
194805,41.5,0.8
194806,50.7,0.0
194807,57.0,1.3
194808,54.6,1.6
194809,47.6,4.8
194810,31.4,-0.2
194811,20.4,3.5
194812,-0.4,-3.8
194901,-9.2,-5.8
194902,-10.2,-11.9
194903,12.2,-2.5
194904,32.7,3.3
194905,42.4,1.7
194906,50.2,-0.5
194907,55.4,-0.3
194908,55.4,2.4
194909,39.7,-3.1
194910,31.4,-0.2
194911,24.3,7.4
194912,-2.8,-6.2
195001,-21.0,-17.6
195002,-3.2,-4.9
195003,9.0,-5.7
195004,23.3,-6.1
195005,38.5,-2.2
195006,48.4,-2.3
195007,53.1,-2.6
195008,49.8,-3.2
195009,44.3,1.5
195010,33.3,1.7
195011,10.1,-6.8
195012,-0.1,-3.5
195101,-7.8,-4.4
195102,0.8,-0.9
195103,1.4,-13.3
195104,27.0,-2.4
195105,41.8,1.1
195106,46.5,-4.2
195107,54.0,-1.7
195108,51.7,-1.3
195109,41.5,-1.3
195110,31.0,-0.6
195111,10.9,-6.0
195112,-4.0,-7.4
195201,-7.6,-4.2
195202,7.8,6.1
195203,8.9,-5.8
195204,33.3,3.9
195205,40.7,0.0
195206,51.3,0.6
195207,53.7,-2.0
195208,52.3,-0.7
195209,45.2,2.4
195210,27.6,-4.0
195211,18.3,1.4
195212,8.4,5.0
195301,2.8,6.2
195302,8.3,6.6
195303,15.6,0.9
195304,25.0,-4.4
195305,40.2,-0.5
195306,52.0,1.3
195307,55.2,-0.5
195308,55.4,2.4
195309,42.5,-0.3
195310,36.2,4.6
195311,24.1,7.2
195312,9.3,5.9
