Oklahoma, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,20.7,-4.4
189502,18.2,-10.8
189503,35.8,-1.1
189504,48.3,1.3
189505,56.1,-0.3
189506,64.9,-0.4
189507,68.3,-1.2
189508,68.1,-0.3
189509,63.2,2.6
189510,41.8,-6.9
189511,32.9,-3.4
189512,26.5,-1.3
189601,28.1,3.0
189602,28.0,-1.0
189603,32.3,-4.6
189604,51.2,4.2
189605,59.8,3.4
189606,64.6,-0.7
189607,69.6,0.1
189608,68.7,0.3
189609,58.6,-2.0
189610,45.4,-3.3
189611,33.4,-2.9
189612,28.6,0.8
189701,22.8,-2.3
189702,29.7,0.7
189703,38.3,1.4
189704,45.8,-1.2
189705,55.0,-1.4
189706,65.4,0.1
189707,69.5,0.0
189708,65.4,-3.0
189709,59.9,-0.7
189710,50.3,1.6
189711,33.0,-3.3
189712,24.0,-3.8
189801,28.4,3.3
189802,30.1,1.1
189803,36.3,-0.6
189804,44.8,-2.2
189805,57.4,1.0
189806,66.9,1.6
189807,68.4,-1.1
189808,66.2,-2.2
189809,60.1,-0.5
189810,44.7,-4.0
189811,30.4,-5.9
189812,21.1,-6.7
189901,23.9,-1.2
189902,15.5,-13.5
189903,32.0,-4.9
189904,46.2,-0.8
189905,59.9,3.5
189906,66.1,0.8
189907,68.2,-1.3
189908,70.4,2.0
189909,57.5,-3.1
189910,50.6,1.9
189911,40.8,4.5
189912,27.3,-0.5
190001,28.9,3.8
190002,24.0,-5.0
190003,36.2,-0.7
190004,48.5,1.5
190005,56.9,0.5
190006,65.4,0.1
190007,68.4,-1.1
190008,69.2,0.8
190009,64.6,4.0
190010,52.8,4.1
190011,36.2,-0.1
190012,28.5,0.7
190101,26.5,1.4
190102,25.4,-3.6
190103,34.1,-2.8
190104,44.4,-2.6
190105,54.6,-1.8
190106,66.9,1.6
190107,71.6,2.1
190108,68.0,-0.4
190109,60.4,-0.2
190110,51.0,2.3
190111,36.7,0.4
190112,23.7,-4.1
190201,23.1,-2.0
190202,23.0,-6.0
190203,38.1,1.2
190204,47.5,0.5
190205,60.1,3.7
190206,65.4,0.1
190207,68.5,-1.0
190208,69.0,0.6
190209,54.4,-6.2
190210,48.3,-0.4
190211,42.8,6.5
190212,26.2,-1.6
190301,27.1,2.0
190302,24.8,-4.2
190303,37.2,0.3
190304,45.9,-1.1
190305,55.4,-1.0
190306,58.8,-6.5
190307,69.0,-0.5
190308,68.1,-0.3
190309,57.5,-3.1
190310,47.3,-1.4
190311,33.5,-2.8
190312,24.4,-3.4
190401,22.3,-2.8
190402,28.8,-0.2
190403,39.3,2.4
190404,44.4,-2.6
190405,55.5,-0.9
190406,64.0,-1.3
190407,68.0,-1.5
190408,66.9,-1.5
190409,62.4,1.8
190410,48.7,0.0
190411,34.8,-1.5
190412,25.9,-1.9
190501,19.3,-5.8
190502,17.1,-11.9
190503,43.6,6.7
190504,46.5,-0.5
190505,57.6,1.2
190506,67.6,2.3
190507,66.5,-3.0
190508,67.8,-0.6
190509,62.0,1.4
190510,45.7,-3.0
190511,37.1,0.8
190512,24.9,-2.9
190601,26.7,1.6
190602,27.4,-1.6
190603,30.2,-6.7
190604,49.1,2.1
190605,57.4,1.0
190606,63.7,-1.6
190607,65.6,-3.9
190608,66.9,-1.5
190609,62.6,2.0
190610,43.9,-4.8
190611,35.0,-1.3
190612,33.7,5.9
190701,31.4,6.3
190702,28.4,-0.6
190703,45.8,8.9
190704,42.0,-5.0
190705,50.6,-5.8
190706,63.6,-1.7
190707,69.0,-0.5
190708,69.5,1.1
190709,60.4,-0.2
190710,48.8,0.1
190711,33.6,-2.7
190712,30.3,2.5
190801,27.6,2.5
190802,30.9,1.9
190803,41.4,4.5
190804,48.9,1.9
190805,56.5,0.1
190806,65.3,0.0
190807,66.8,-2.7
190808,67.4,-1.0
190809,59.8,-0.8
190810,45.3,-3.4
190811,35.4,-0.9
190812,29.8,2.0
190901,27.6,2.5
190902,28.4,-0.6
190903,35.7,-1.2
190904,45.4,-1.6
190905,53.7,-2.7
190906,65.2,-0.1
190907,71.2,1.7
190908,69.8,1.4
190909,59.1,-1.5
190910,46.8,-1.9
190911,43.2,6.9
190912,21.2,-6.6
191001,27.7,2.6
191002,22.9,-6.1
191003,44.0,7.1
191004,46.8,-0.2
191005,54.1,-2.3
191006,63.7,-1.6
191007,69.8,0.3
191008,69.3,0.9
191009,64.2,3.6
191010,47.5,-1.2
191011,35.1,-1.2
191012,26.2,-1.6
191101,29.8,4.7
191102,32.5,3.5
191103,40.2,3.3
191104,47.3,0.3
191105,58.2,1.8
191106,69.6,4.3
191107,69.5,0.0
191108,67.6,-0.8
191109,67.3,6.7
191110,49.4,0.7
191111,30.6,-5.7
191112,27.4,-0.4
191201,16.9,-8.2
191202,25.7,-3.3
191203,31.3,-5.6
191204,47.2,0.2
191205,58.4,2.0
191206,61.0,-4.3
191207,70.8,1.3
191208,68.3,-0.1
191209,58.6,-2.0
191210,48.8,0.1
191211,35.1,-1.2
191212,26.6,-1.2
191301,25.2,0.1
191302,23.6,-5.4
191303,32.3,-4.6
191304,46.2,-0.8
191305,57.4,1.0
191306,64.5,-0.8
191307,70.6,1.1
191308,70.0,1.6
191309,59.0,-1.6
191310,45.4,-3.3
191311,45.5,9.2
191312,31.1,3.3
191401,31.3,6.2
191402,23.7,-5.3
191403,34.9,-2.0
191404,46.4,-0.6
191405,57.2,0.8
191406,69.6,4.3
191407,71.3,1.8
191408,68.3,-0.1
191409,62.8,2.2
191410,49.1,0.4
191411,38.6,2.3
191412,24.1,-3.7
191501,25.2,0.1
191502,33.6,4.6
191503,29.7,-7.2
191504,51.1,4.1
191505,54.8,-1.6
191506,64.0,-1.3
191507,67.3,-2.2
191508,63.2,-5.2
191509,63.0,2.4
191510,47.6,-1.1
191511,38.9,2.6
191512,29.0,1.2
191601,24.3,-0.8
191602,27.4,-1.6
191603,38.7,1.8
191604,44.8,-2.2
191605,57.5,1.1
191606,64.2,-1.1
191607,69.0,-0.5
191608,69.5,1.1
191609,58.9,-1.7
191610,48.6,-0.1
191611,35.7,-0.6
191612,23.9,-3.9
191701,25.8,0.7
191702,25.1,-3.9
191703,35.9,-1.0
191704,45.2,-1.8
191705,50.0,-6.4
191706,62.3,-3.0
191707,69.8,0.3
191708,66.2,-2.2
191709,59.3,-1.3
191710,39.8,-8.9
191711,36.3,0.0
191712,21.0,-6.8
191801,13.7,-11.4
191802,28.4,-0.6
191803,40.3,3.4
