Oregon, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,20.0,-2.9
189502,23.8,-2.2
189503,24.8,-4.0
189504,31.7,-0.8
189505,37.1,-0.9
189506,41.7,-2.0
189507,47.6,-1.6
189508,46.5,-1.8
189509,40.6,-2.4
189510,34.3,-1.7
189511,24.7,-4.5
189512,23.3,-1.4
189601,26.7,3.8
189602,27.6,1.6
189603,27.9,-0.9
189604,30.2,-2.3
189605,35.5,-2.5
189606,43.3,-0.4
189607,51.2,2.0
189608,49.0,0.7
189609,40.7,-2.3
189610,35.5,-0.5
189611,26.0,-3.2
189612,30.0,5.3
189701,24.4,1.5
189702,26.5,0.5
189703,25.2,-3.6
189704,33.7,1.2
189705,42.0,4.0
189706,44.3,0.6
189707,47.1,-2.1
189708,50.6,2.3
189709,43.1,0.1
189710,35.3,-0.7
189711,29.6,0.4
189712,26.7,2.0
189801,19.5,-3.4
189802,29.6,3.6
189803,24.7,-4.1
189804,32.8,0.3
189805,36.4,-1.6
189806,43.0,-0.7
189807,47.1,-2.1
189808,51.1,2.8
189809,42.9,-0.1
189810,34.1,-1.9
189811,26.5,-2.7
189812,19.3,-5.4
189901,27.3,4.4
189902,23.0,-3.0
189903,28.4,-0.4
189904,31.4,-1.1
189905,35.0,-3.0
189906,40.7,-3.0
189907,47.5,-1.7
189908,44.2,-4.1
189909,42.5,-0.5
189910,33.3,-2.7
189911,32.4,3.2
189912,23.0,-1.7
190001,28.2,5.3
190002,25.3,-0.7
190003,33.2,4.4
190004,32.6,0.1
190005,38.9,0.9
190006,45.5,1.8
190007,47.6,-1.6
190008,46.2,-2.1
190009,42.2,-0.8
190010,35.6,-0.4
190011,29.4,0.2
190012,29.6,4.9
190101,22.8,-0.1
190102,25.1,-0.9
190103,27.9,-0.9
190104,29.9,-2.6
190105,39.2,1.2
190106,40.4,-3.3
190107,46.5,-2.7
190108,50.5,2.2
190109,41.5,-1.5
190110,39.8,3.8
190111,30.3,1.1
190112,25.4,0.7
190201,20.7,-2.2
190202,29.9,3.9
190203,27.9,-0.9
190204,31.4,-1.1
190205,38.2,0.2
190206,41.4,-2.3
190207,45.1,-4.1
190208,46.3,-2.0
190209,38.7,-4.3
190210,35.1,-0.9
190211,29.0,-0.2
190212,24.7,0.0
190301,24.1,1.2
190302,17.1,-8.9
190303,27.6,-1.2
190304,29.7,-2.8
190305,36.8,-1.2
190306,45.6,1.9
190307,45.3,-3.9
190308,46.7,-1.6
190309,40.7,-2.3
190310,35.9,-0.1
190311,31.2,2.0
190312,25.0,0.3
190401,24.3,1.4
190402,25.4,-0.6
190403,29.6,0.8
190404,34.1,1.6
190405,37.4,-0.6
190406,41.3,-2.4
190407,48.7,-0.5
190408,47.9,-0.4
190409,43.1,0.1
190410,37.1,1.1
190411,31.3,2.1
190412,24.8,0.1
190501,25.1,2.2
190502,22.0,-4.0
190503,31.7,2.9
190504,32.8,0.3
190505,36.5,-1.5
190506,42.8,-0.9
190507,49.7,0.5
190508,47.5,-0.8
190509,43.0,0.0
190510,32.8,-3.2
190511,22.6,-6.6
190512,21.8,-2.9
190601,23.2,0.3
190602,26.2,0.2
190603,24.8,-4.0
190604,32.8,0.3
190605,37.6,-0.4
190606,41.0,-2.7
190607,52.8,3.6
190608,48.0,-0.3
190609,43.2,0.2
190610,36.5,0.5
190611,29.5,0.3
190612,28.8,4.1
190701,18.3,-4.6
190702,30.3,4.3
190703,29.4,0.6
190704,32.2,-0.3
190705,37.7,-0.3
190706,42.6,-1.1
190707,48.0,-1.2
190708,45.6,-2.7
190709,41.7,-1.3
190710,38.9,2.9
190711,28.5,-0.7
