Pennsylvania, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,12.2,-4.9
189502,7.6,-9.7
189503,22.1,-3.7
189504,36.5,1.1
189505,46.3,0.9
189506,56.4,2.1
189507,54.8,-4.0
189508,56.8,-0.2
189509,52.5,2.3
189510,31.9,-7.4
189511,30.2,-0.4
189512,22.8,1.6
189601,17.9,0.8
189602,18.6,1.3
189603,18.3,-7.5
189604,40.1,4.7
189605,52.0,6.6
189606,53.8,-0.5
189607,60.2,1.4
189608,57.5,0.5
189609,49.2,-1.0
189610,37.4,-1.9
189611,34.4,3.8
189612,20.8,-0.4
189701,16.2,-0.9
189702,20.6,3.3
189703,27.8,2.0
189704,35.3,-0.1
189705,44.8,-0.6
189706,51.6,-2.7
189707,61.7,2.9
189708,54.4,-2.6
189709,47.8,-2.4
189710,39.8,0.5
189711,31.4,0.8
189712,24.3,3.1
189801,21.4,4.3
189802,18.4,1.1
189803,32.6,6.8
189804,33.5,-1.9
189805,48.3,2.9
189806,55.9,1.6
189807,61.4,2.6
189808,60.6,3.6
189809,52.1,1.9
189810,42.3,3.0
189811,29.1,-1.5
189812,20.0,-1.2
189901,14.6,-2.5
189902,11.8,-5.5
189903,26.2,0.4
189904,35.9,0.5
189905,47.8,2.4
189906,56.6,2.3
189907,59.1,0.3
189908,57.4,0.4
189909,49.1,-1.1
189910,41.1,1.8
189911,31.0,0.4
189912,21.5,0.3
190001,19.4,2.3
190002,15.4,-1.9
190003,20.7,-5.1
190004,35.6,0.2
190005,45.5,0.1
190006,56.4,2.1
190007,60.3,1.5
190008,61.2,4.2
190009,54.4,4.2
190010,46.0,6.7
190011,33.6,3.0
190012,21.9,0.7
190101,19.4,2.3
190102,10.6,-6.7
190103,26.4,0.6
190104,35.7,0.3
190105,47.0,1.6
190106,55.2,0.9
190107,64.3,5.5
190108,60.3,3.3
190109,50.7,0.5
190110,37.5,-1.8
190111,26.7,-3.9
190112,18.7,-2.5
190201,15.5,-1.6
190202,12.9,-4.4
190203,29.1,3.3
190204,36.0,0.6
190205,46.0,0.6
190206,52.9,-1.4
190207,60.5,1.7
190208,54.6,-2.4
190209,49.4,-0.8
190210,41.6,2.3
190211,35.4,4.8
190212,18.6,-2.6
190301,16.9,-0.2
190302,18.9,1.6
190303,35.1,9.3
190304,35.6,0.2
190305,46.6,1.2
190306,52.2,-2.1
190307,58.6,-0.2
190308,56.1,-0.9
190309,49.7,-0.5
190310,41.8,2.5
190311,24.8,-5.8
190312,15.4,-5.8
190401,8.2,-8.9
190402,9.4,-7.9
190403,25.5,-0.3
190404,32.9,-2.5
190405,47.5,2.1
190406,55.7,1.4
190407,58.4,-0.4
190408,54.5,-2.5
190409,50.3,0.1
190410,36.6,-2.7
190411,27.1,-3.5
190412,15.8,-5.4
190501,13.4,-3.7
190502,8.9,-8.4
190503,26.3,0.5
190504,34.4,-1.0
190505,47.1,1.7
190506,55.5,1.2
190507,61.1,2.3
190508,57.2,0.2
190509,50.3,0.1
190510,39.2,-0.1
190511,27.1,-3.5
190512,23.4,2.2
190601,24.2,7.1
190602,14.5,-2.8
190603,21.6,-4.2
190604,35.3,-0.1
190605,45.7,0.3
190606,56.5,2.2
190607,59.1,0.3
190608,61.8,4.8
190609,53.4,3.2
190610,41.2,1.9
190611,30.2,-0.4
190612,21.1,-0.1
190701,18.8,1.7
190702,9.9,-7.4
190703,29.3,3.5
190704,31.4,-4.0
190705,41.2,-4.2
190706,50.7,-3.6
190707,58.5,-0.3
190708,54.0,-3.0
190709,53.4,3.2
190710,34.5,-4.8
190711,29.7,-0.9
190712,23.5,2.3
190801,17.3,0.2
190802,13.0,-4.3
190803,28.9,3.1
190804,35.8,0.4
190805,49.2,3.8
190806,54.0,-0.3
190807,60.0,1.2
190808,55.4,-1.6
190809,49.2,-1.0
190810,39.7,0.4
190811,28.8,-1.8
190812,21.9,0.7
190901,20.2,3.1
190902,24.1,6.8
190903,24.6,-1.2
190904,35.0,-0.4
190905,45.8,0.4
190906,56.4,2.1
190907,55.2,-3.6
190908,54.7,-2.3
190909,48.1,-2.1
190910,35.1,-4.2
190911,33.5,2.9
190912,17.4,-3.8
191001,16.8,-0.3
191002,14.8,-2.5
191003,29.9,4.1
191004,38.0,2.6
191005,43.5,-1.9
191006,52.7,-1.6
191007,58.9,0.1
191008,55.9,-1.1
191009,52.8,2.6
191010,41.2,1.9
191011,28.3,-2.3
191012,14.0,-7.2
191101,20.8,3.7
191102,20.8,3.5
191103,22.7,-3.1
191104,33.3,-2.1
191105,49.3,3.9
191106,55.6,1.3
191107,59.3,0.5
191108,58.8,1.8
191109,52.2,2.0
191110,40.1,0.8
191111,27.3,-3.3
191112,26.8,5.6
191201,7.6,-9.5
191202,11.7,-5.6
191203,22.4,-3.4
191204,37.1,1.7
191205,47.5,2.1
191206,51.3,-3.0
191207,58.9,0.1
191208,55.1,-1.9
191209,53.7,3.5
191210,39.7,0.4
191211,31.6,1.0
191212,23.5,2.3
191301,25.2,8.1
191302,15.7,-1.6
191303,29.2,3.4
