Rhode Island, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,17.4,-1.1
189502,11.8,-7.2
189503,25.3,-1.9
189504,34.9,-0.9
189505,46.4,0.9
189506,57.0,2.5
189507,57.9,-2.8
189508,59.2,0.1
189509,53.4,1.3
189510,36.3,-5.4
189511,34.1,1.3
189512,25.2,2.6
189601,15.3,-3.2
189602,19.2,0.2
189603,22.0,-5.2
189604,35.8,0.0
189605,48.0,2.5
189606,53.7,-0.8
189607,61.8,1.1
189608,59.4,0.3
189609,51.7,-0.4
189610,39.9,-1.8
189611,35.2,2.4
189612,19.1,-3.5
189701,17.1,-1.4
189702,19.9,0.9
189703,26.6,-0.6
189704,35.3,-0.5
189705,46.5,1.0
189706,50.9,-3.6
189707,61.7,1.0
189708,57.6,-1.5
189709,49.9,-2.2
189710,40.4,-1.3
189711,30.8,-2.0
189712,24.5,1.9
189801,18.5,0.0
189802,21.4,2.4
189803,31.2,4.0
189804,33.9,-1.9
189805,45.7,0.2
189806,55.1,0.6
189807,60.7,0.0
189808,61.9,2.8
189809,54.0,1.9
189810,43.6,1.9
189811,31.7,-1.1
189812,21.8,-0.8
189901,17.0,-1.5
189902,15.6,-3.4
189903,25.6,-1.6
189904,33.7,-2.1
189905,44.6,-0.9
189906,56.0,1.5
189907,59.7,-1.0
189908,57.9,-1.2
189909,50.1,-2.0
189910,43.4,1.7
189911,30.4,-2.4
189912,24.0,1.4
190001,17.6,-0.9
190002,17.8,-1.2
190003,21.6,-5.6
190004,35.4,-0.4
190005,42.6,-2.9
190006,54.5,0.0
190007,60.8,0.1
190008,59.7,0.6
190009,53.4,1.3
190010,46.8,5.1
190011,34.3,1.5
190012,21.7,-0.9
190101,17.6,-0.9
190102,13.0,-6.0
190103,26.3,-0.9
190104,36.8,1.0
190105,44.6,-0.9
190106,54.3,-0.2
190107,62.6,1.9
190108,60.5,1.4
190109,53.0,0.9
190110,40.2,-1.5
190111,26.5,-6.3
190112,21.2,-1.4
190201,15.8,-2.7
190202,17.6,-1.4
190203,32.1,4.9
190204,36.4,0.6
190205,44.3,-1.2
190206,51.6,-2.9
190207,57.4,-3.3
190208,55.5,-3.6
190209,52.4,0.3
190210,42.0,0.3
190211,34.8,2.0
190212,17.7,-4.9
190301,18.4,-0.1
190302,20.7,1.7
190303,33.5,6.3
190304,35.9,0.1
190305,45.6,0.1
190306,50.6,-3.9
190307,59.4,-1.3
190308,54.4,-4.7
190309,50.9,-1.2
190310,42.8,1.1
190311,27.9,-4.9
190312,16.2,-6.4
190401,10.2,-8.3
190402,10.8,-8.2
190403,24.0,-3.2
190404,33.1,-2.7
190405,48.2,2.7
190406,52.1,-2.4
190407,59.8,-0.9
190408,56.9,-2.2
190409,50.5,-1.6
190410,37.8,-3.9
190411,26.4,-6.4
190412,14.5,-8.1
190501,14.6,-3.9
190502,11.3,-7.7
190503,24.9,-2.3
190504,34.2,-1.6
190505,45.2,-0.3
190506,52.5,-2.0
190507,61.3,0.6
190508,57.2,-1.9
190509,51.3,-0.8
190510,41.1,-0.6
190511,28.4,-4.4
190512,23.5,0.9
190601,23.8,5.3
190602,18.1,-0.9
190603,21.6,-5.6
190604,34.8,-1.0
190605,44.9,-0.6
190606,53.6,-0.9
190607,60.3,-0.4
190608,61.4,2.3
190609,52.7,0.6
190610,42.3,0.6
190611,31.5,-1.3
190612,18.5,-4.1
190701,17.1,-1.4
190702,9.1,-9.9
190703,26.7,-0.5
190704,31.6,-4.2
190705,40.8,-4.7
190706,50.7,-3.8
190707,59.5,-1.2
190708,56.1,-3.0
190709,54.3,2.2
190710,36.4,-5.3
190711,32.7,-0.1
190712,25.5,2.9
190801,18.7,0.2
190802,14.8,-4.2
190803,27.3,0.1
190804,34.0,-1.8
190805,47.5,2.0
190806,54.1,-0.4
190807,61.2,0.5
190808,57.8,-1.3
190809,52.3,0.2
190810,43.3,1.6
190811,31.6,-1.2
190812,21.7,-0.9
190901,20.2,1.7
190902,22.0,3.0
190903,25.6,-1.6
190904,34.5,-1.3
190905,44.4,-1.1
190906,55.0,0.5
190907,56.9,-3.8
190908,56.0,-3.1
190909,50.7,-1.4
190910,39.3,-2.4
190911,34.4,1.6
190912,19.7,-2.9
191001,20.6,2.1
191002,17.9,-1.1
191003,29.4,2.2
191004,38.9,3.1
191005,45.4,-0.1
191006,53.2,-1.3
191007,60.5,-0.2
191008,56.6,-2.5
191009,51.2,-0.9
191010,42.3,0.6
191011,30.2,-2.6
191012,15.2,-7.4
191101,20.8,2.3
191102,16.1,-2.9
191103,22.6,-4.6
191104,31.4,-4.4
191105,47.6,2.1
191106,53.2,-1.3
191107,61.6,0.9
191108,57.0,-2.1
191109,50.8,-1.3
191110,40.6,-1.1
191111,29.9,-2.9
191112,27.8,5.2
191201,9.6,-8.9
191202,15.0,-4.0
191203,24.1,-3.1
191204,35.2,-0.6
191205,46.4,0.9
191206,52.0,-2.5
191207,59.5,-1.2
191208,56.2,-2.9
191209,51.1,-1.0
191210,42.5,0.8
191211,32.9,0.1
191212,26.7,4.1
191301,26.5,8.0
191302,15.8,-3.2
191303,29.7,2.5
191304,36.9,1.1
191305,43.2,-2.3
191306,52.2,-2.3
191307,59.3,-1.4
191308,57.4,-1.7
191309,49.2,-2.9
191310,48.0,6.3
191311,34.1,1.3
191312,26.2,3.6
191401,18.4,-0.1
191402,12.1,-6.9
191403,25.3,-1.9
191404,33.3,-2.5
191405,46.3,0.8
191406,52.7,-1.8
191407,57.1,-3.6
191408,59.4,0.3
191409,49.7,-2.4
191410,44.0,2.3
191411,30.3,-2.5
191412,20.0,-2.6
191501,21.6,3.1
191502,22.1,3.1
191503,22.5,-4.7
191504,37.3,1.5
191505,43.6,-1.9
191506,51.8,-2.7
191507,59.2,-1.5
191508,58.0,-1.1
191509,54.0,1.9
191510,42.5,0.8
191511,32.2,-0.6
191512,22.0,-0.6
191601,21.4,2.9
191602,14.8,-4.2
191603,19.5,-7.7
191604,34.9,-0.9
191605,46.2,0.7
191606,52.0,-2.5
191607,62.1,1.4
191608,59.7,0.6
191609,52.1,0.0
191610,41.9,0.2
191611,31.0,-1.8
191612,22.7,0.1
191701,19.0,0.5
191702,15.2,-3.8
191703,26.6,-0.6
191704,33.8,-2.0
191705,40.1,-5.4
191706,55.0,0.5
191707,62.6,1.9
191708,61.8,2.7
191709,47.5,-4.6
191710,39.3,-2.4
191711,26.7,-6.1
191712,13.2,-9.4
191801,10.0,-8.5
191802,13.8,-5.2
191803,25.0,-2.2
191804,34.7,-1.1
191805,48.6,3.1
191806,51.6,-2.9
191807,59.5,-1.2
191808,59.8,0.7
191809,49.0,-3.1
191810,43.1,1.4
191811,32.7,-0.1
191812,23.1,0.5
191901,21.6,3.1
191902,20.4,1.4
191903,28.9,1.7
191904,34.3,-1.5
191905,46.0,0.5
191906,55.1,0.6
191907,61.9,1.2
191908,56.7,-2.4
191909,52.7,0.6
191910,44.0,2.3
191911,31.9,-0.9
191912,16.5,-6.1
192001,9.6,-8.9
192002,15.9,-3.1
192003,25.9,-1.3
192004,34.0,-1.8
192005,42.5,-3.0
192006,52.5,-2.0
192007,58.6,-2.1
192008,60.7,1.6
192009,52.7,0.6
192010,45.0,3.3
192011,30.6,-2.2
192012,24.9,2.3
192101,18.7,0.2
192102,20.9,1.9
192103,32.4,5.2
192104,39.6,3.8
192105,44.6,-0.9
192106,53.5,-1.0
192107,62.3,1.6
192108,55.4,-3.7
192109,54.6,2.5
192110,40.9,-0.8
192111,31.8,-1.0
192112,19.7,-2.9
192201,14.8,-3.7
192202,19.8,0.8
192203,27.2,0.0
192204,34.9,-0.9
192205,46.4,0.9
192206,56.9,2.4
192207,59.1,-1.6
192208,58.3,-0.8
192209,51.8,-0.3
192210,41.4,-0.3
192211,31.5,-1.3
192212,19.4,-3.2
192301,14.2,-4.3
192302,10.6,-8.4
192303,21.0,-6.2
192304,34.2,-1.6
192305,43.2,-2.3
192306,54.8,0.3
192307,56.7,-4.0
192308,54.4,-4.7
192309,52.4,0.3
192310,40.6,-1.1
192311,31.3,-1.5
192312,28.6,6.0
192401,18.4,-0.1
192402,14.7,-4.3
192403,26.0,-1.2
192404,34.5,-1.3
192405,43.8,-1.7
192406,51.5,-3.0
192407,58.5,-2.2
192408,57.5,-1.6
192409,49.0,-3.1
192410,38.6,-3.1
192411,30.5,-2.3
192412,18.8,-3.8
192501,15.0,-3.5
192502,25.7,6.7
192503,28.5,1.3
192504,35.6,-0.2
192505,42.4,-3.1
192506,56.7,2.2
192507,58.7,-2.0
192508,56.9,-2.2
192509,52.5,0.4
192510,35.7,-6.0
192511,30.5,-2.3
192512,23.3,0.7
192601,19.2,0.7
192602,16.2,-2.8
192603,22.5,-4.7
192604,31.6,-4.2
192605,42.4,-3.1
192606,50.0,-4.5
192607,57.8,-2.9
192608,59.1,0.0
192609,49.8,-2.3
192610,39.3,-2.4
192611,31.4,-1.4
192612,15.6,-7.0
192701,17.8,-0.7
192702,23.0,4.0
192703,28.3,1.1
192704,32.8,-3.0
192705,44.0,-1.5
192706,50.7,-3.8
192707,60.4,-0.3
192708,56.0,-3.1
192709,51.4,-0.7
192710,44.5,2.8
192711,36.1,3.3
192712,23.9,1.3
192801,20.6,2.1
192802,17.6,-1.4
192803,25.1,-2.1
192804,33.3,-2.5
192805,44.0,-1.5
192806,53.5,-1.0
192807,61.3,0.6
192808,62.3,3.2
192809,50.0,-2.1
192810,41.8,0.1
192811,32.6,-0.2
192812,25.7,3.1
192901,16.4,-2.1
192902,19.2,0.2
192903,29.4,2.2
192904,36.3,0.5
192905,45.7,0.2
192906,53.8,-0.7
192907,58.0,-2.7
192908,56.0,-3.1
192909,52.7,0.6
192910,39.2,-2.5
192911,32.8,0.0
192912,22.1,-0.5
193001,20.0,1.5
193002,20.5,1.5
193003,27.0,-0.2
193004,33.9,-1.9
193005,47.2,1.7
193006,58.5,4.0
193007,60.5,-0.2
193008,56.7,-2.4
193009,55.0,2.9
193010,38.7,-3.0
193011,33.1,0.3
193012,23.0,0.4
193101,18.4,-0.1
193102,19.1,0.1
193103,29.2,2.0
193104,36.0,0.2
193105,46.1,0.6
193106,54.7,0.2
193107,62.9,2.2
193108,60.6,1.5
193109,55.5,3.4
193110,42.9,1.2
193111,36.8,4.0
193112,25.6,3.0
193201,28.9,10.4
193202,21.0,2.0
193203,24.6,-2.6
193204,34.1,-1.7
193205,45.3,-0.2
193206,53.0,-1.5
193207,57.2,-3.5
193208,58.8,-0.3
193209,52.1,0.0
193210,44.7,3.0
193211,30.5,-2.3
193212,25.0,2.4
193301,26.2,7.7
193302,21.3,2.3
193303,27.0,-0.2
193304,36.0,0.2
193305,47.5,2.0
193306,55.1,0.6
193307,58.7,-2.0
193308,60.1,1.0
193309,54.4,2.3
193310,40.7,-1.0
193311,26.9,-5.9
193312,17.1,-5.5
193401,19.5,1.0
193402,3.5,-15.5
193403,23.5,-3.7
193404,35.2,-0.6
193405,46.6,1.1
193406,55.5,1.0
193407,61.0,0.3
193408,55.6,-3.5
193409,56.0,3.9
193410,38.7,-3.0
193411,34.9,2.1
193412,20.2,-2.4
193501,13.4,-5.1
193502,16.8,-2.2
193503,28.1,0.9
193504,35.6,-0.2
193505,42.3,-3.2
193506,53.5,-1.0
193507,62.1,1.4
193508,57.9,-1.2
193509,50.3,-1.8
193510,39.2,-2.5
193511,37.0,4.2
193512,19.2,-3.4
193601,16.7,-1.8
193602,12.3,-6.7
193603,32.7,5.5
193604,34.2,-1.6
193605,46.4,0.9
193606,55.0,0.5
193607,57.9,-2.8
193608,58.8,-0.3
193609,53.2,1.1
193610,42.3,0.6
193611,28.6,-4.2
193612,25.6,3.0
193701,27.6,9.1
193702,23.9,4.9
193703,23.5,-3.7
193704,34.6,-1.2
193705,45.8,0.3
193706,55.7,1.2
193707,59.4,-1.3
193708,63.9,4.8
193709,49.6,-2.5
193710,40.0,-1.7
193711,31.8,-1.0
193712,21.6,-1.0
193801,16.4,-2.1
193802,22.0,3.0
193803,28.2,1.0
193804,36.3,0.5
193805,43.1,-2.4
193806,54.6,0.1
193807,62.4,1.7
193808,61.3,2.2
193809,50.1,-2.0
193810,44.4,2.7
193811,32.9,0.1
193812,24.8,2.2
193901,17.8,-0.7
193902,22.0,3.0
193903,24.5,-2.7
193904,33.7,-2.1
193905,44.6,-0.9
193906,53.0,-1.5
193907,59.0,-1.7
193908,62.7,3.6
193909,50.6,-1.5
193910,41.8,0.1
193911,28.4,-4.4
193912,23.0,0.4
194001,11.4,-7.1
194002,20.1,1.1
194003,23.3,-3.9
194004,33.0,-2.8
194005,45.2,-0.3
194006,52.5,-2.0
194007,59.3,-1.4
194008,54.4,-4.7
194009,49.9,-2.2
194010,37.2,-4.5
194011,32.5,-0.3
194012,25.0,2.4
194101,17.2,-1.3
194102,18.8,-0.2
194103,23.2,-4.0
194104,37.7,1.9
194105,44.7,-0.8
194106,54.4,-0.1
194107,60.8,0.1
194108,55.8,-3.3
194109,50.3,-1.8
194110,43.4,1.7
194111,34.1,1.3
194112,25.5,2.9
194201,16.5,-2.0
194202,17.6,-1.4
194203,30.9,3.7
194204,36.0,0.2
194205,50.0,4.5
194206,55.4,0.9
194207,60.2,-0.5
194208,58.4,-0.7
194209,52.1,0.0
194210,42.3,0.6
194211,31.4,-1.4
194212,18.6,-4.0
194301,17.9,-0.6
194302,18.9,-0.1
194303,25.9,-1.3
194304,30.9,-4.9
194305,46.4,0.9
194306,56.8,2.3
194307,61.2,0.5
194308,58.3,-0.8
194309,51.6,-0.5
194310,42.7,1.0
194311,32.1,-0.7
194312,16.8,-5.8
194401,21.2,2.7
194402,18.8,-0.2
194403,24.8,-2.4
194404,33.8,-2.0
194405,49.1,3.6
194406,55.3,0.8
194407,60.9,0.2
194408,60.2,1.1
194409,54.1,2.0
194410,41.2,-0.5
