South Carolina, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,33.1,-0.5
189502,25.8,-9.3
189503,40.4,-1.4
189504,49.0,-0.2
189505,57.2,-0.7
189506,66.6,1.0
189507,69.3,0.2
189508,70.4,2.1
189509,66.7,3.7
189510,47.3,-3.7
189511,41.9,1.1
189512,33.2,-1.2
189601,32.1,-1.5
189602,35.3,0.2
189603,39.5,-2.3
189604,53.6,4.4
189605,64.6,6.7
189606,67.5,1.9
189607,71.7,2.6
189608,70.3,2.0
189609,62.8,-0.2
189610,49.8,-1.2
189611,46.6,5.8
189612,31.9,-2.5
189701,30.7,-2.9
189702,38.6,3.5
189703,45.4,3.6
189704,49.4,0.2
189705,56.6,-1.3
189706,68.4,2.8
189707,70.1,1.0
189708,68.4,0.1
189709,62.3,-0.7
189710,54.1,3.1
189711,41.9,1.1
189712,35.7,1.3
189801,37.5,3.9
189802,31.0,-4.1
189803,48.1,6.3
189804,45.1,-4.1
189805,60.0,2.1
189806,67.6,2.0
189807,70.6,1.5
189808,70.7,2.4
189809,65.1,2.1
189810,50.8,-0.2
189811,39.3,-1.5
189812,34.8,0.4
189901,33.0,-0.6
189902,31.8,-3.3
189903,42.6,0.8
189904,47.9,-1.3
189905,61.2,3.3
189906,68.0,2.4
189907,69.4,0.3
189908,70.8,2.5
189909,61.8,-1.2
189910,53.2,2.2
189911,42.6,1.8
189912,33.0,-1.4
190001,32.1,-1.5
190002,32.3,-2.8
190003,39.4,-2.4
190004,50.2,1.0
190005,57.8,-0.1
190006,67.2,1.6
190007,70.8,1.7
190008,70.8,2.5
190009,65.5,2.5
190010,57.3,6.3
190011,43.1,2.3
190012,33.8,-0.6
190101,32.7,-0.9
190102,31.1,-4.0
190103,39.9,-1.9
190104,43.8,-5.4
190105,59.1,1.2
190106,66.6,1.0
190107,71.4,2.3
190108,69.6,1.3
190109,62.8,-0.2
190110,48.6,-2.4
190111,34.4,-6.4
190112,30.7,-3.7
190201,29.8,-3.8
190202,29.4,-5.7
190203,41.5,-0.3
190204,47.0,-2.2
190205,61.3,3.4
190206,66.4,0.8
190207,70.0,0.9
190208,67.9,-0.4
190209,61.6,-1.4
190210,51.9,0.9
190211,46.3,5.5
190212,34.8,0.4
190301,33.0,-0.6
190302,36.9,1.8
190303,50.5,8.7
190304,47.7,-1.5
190305,59.8,1.9
190306,63.6,-2.0
190307,69.4,0.3
190308,70.1,1.8
190309,61.8,-1.2
190310,48.4,-2.6
190311,38.9,-1.9
190312,27.2,-7.2
190401,28.4,-5.2
190402,32.0,-3.1
190403,42.9,1.1
190404,46.2,-3.0
190405,56.6,-1.3
190406,64.4,-1.2
190407,67.6,-1.5
190408,67.3,-1.0
190409,62.2,-0.8
190410,48.9,-2.1
190411,37.8,-3.0
190412,32.6,-1.8
190501,27.8,-5.8
190502,28.3,-6.8
190503,44.6,2.8
190504,49.9,0.7
190505,62.6,4.7
190506,66.8,1.2
190507,69.7,0.6
190508,66.6,-1.7
190509,64.7,1.7
190510,51.8,0.8
190511,40.7,-0.1
190512,33.5,-0.9
190601,35.9,2.3
190602,33.2,-1.9
190603,39.3,-2.5
190604,49.9,0.7
190605,57.3,-0.6
190606,67.0,1.4
190607,69.0,-0.1
190608,71.2,2.9
190609,67.5,4.5
190610,51.0,0.0
190611,39.2,-1.6
190612,35.5,1.1
190701,40.6,7.0
190702,33.4,-1.7
190703,48.0,6.2
190704,43.5,-5.7
190705,57.8,-0.1
190706,63.3,-2.3
190707,69.9,0.8
190708,68.2,-0.1
190709,65.3,2.3
190710,47.6,-3.4
190711,39.7,-1.1
190712,33.8,-0.6
190801,31.9,-1.7
190802,31.8,-3.3
190803,48.4,6.6
190804,54.0,4.8
190805,59.2,1.3
190806,65.1,-0.5
190807,69.2,0.1
190808,67.9,-0.4
190809,60.7,-2.3
190810,48.9,-2.1
190811,42.8,2.0
190812,38.0,3.6
190901,37.3,3.7
190902,38.0,2.9
190903,41.4,-0.4
190904,51.2,2.0
190905,57.1,-0.8
190906,67.9,2.3
190907,67.7,-1.4
190908,67.7,-0.6
190909,61.3,-1.7
190910,46.8,-4.2
190911,43.4,2.6
190912,29.7,-4.7
191001,32.1,-1.5
191002,31.9,-3.2
191003,45.3,3.5
191004,48.5,-0.7
191005,56.9,-1.0
191006,63.7,-1.9
191007,68.8,-0.3
191008,68.1,-0.2
191009,64.2,1.2
191010,53.6,2.6
191011,35.8,-5.0
191012,28.7,-5.7
191101,36.4,2.8
191102,38.9,3.8
191103,40.1,-1.7
191104,48.1,-1.1
191105,57.7,-0.2
191106,67.0,1.4
191107,67.7,-1.4
191108,68.5,0.2
191109,67.8,4.8
191110,56.3,5.3
191111,38.5,-2.3
191112,37.0,2.6
191201,28.6,-5.0
191202,29.7,-5.4
191203,40.8,-1.0
191204,52.1,2.9
191205,60.5,2.6
191206,64.4,-1.2
191207,69.1,0.0
191208,67.7,-0.6
191209,67.6,4.6
191210,51.8,0.8
191211,36.7,-4.1
191212,37.0,2.6
191301,42.0,8.4
191302,36.6,1.5
191303,44.8,3.0
191304,47.4,-1.8
191305,57.3,-0.6
191306,64.0,-1.6
191307,70.5,1.4
191308,67.6,-0.7
191309,60.5,-2.5
191310,49.4,-1.6
191311,38.3,-2.5
191312,36.0,1.6
191401,33.7,0.1
191402,31.9,-3.2
191403,36.1,-5.7
191404,50.1,0.9
191405,57.0,-0.9
191406,68.4,2.8
191407,67.8,-1.3
191408,68.6,0.3
191409,59.6,-3.4
191410,53.7,2.7
191411,37.6,-3.2
191412,35.0,0.6
191501,33.3,-0.3
191502,35.7,0.6
191503,32.6,-9.2
191504,47.7,-1.5
191505,61.4,3.5
191506,63.9,-1.7
191507,68.8,-0.3
191508,68.1,-0.2
191509,64.4,1.4
191510,55.1,4.1
191511,42.0,1.2
191512,30.9,-3.5
191601,40.0,6.4
191602,34.8,-0.3
191603,38.8,-3.0
191604,47.2,-2.0
191605,59.8,1.9
191606,64.4,-1.2
191607,69.6,0.5
191608,69.1,0.8
191609,60.2,-2.8
191610,51.8,0.8
191611,40.0,-0.8
191612,33.1,-1.3
191701,38.3,4.7
191702,34.0,-1.1
191703,41.7,-0.1
191704,50.7,1.5
191705,53.2,-4.7
191706,64.6,-1.0
191707,69.2,0.1
191708,67.4,-0.9
191709,61.0,-2.0
191710,45.0,-6.0
191711,35.4,-5.4
191712,26.4,-8.0
191801,25.3,-8.3
191802,38.7,3.6
191803,46.2,4.4
191804,48.9,-0.3
191805,59.5,1.6
191806,65.1,-0.5
191807,65.3,-3.8
191808,68.2,-0.1
191809,57.5,-5.5
191810,55.3,4.3
191811,39.4,-1.4
191812,40.2,5.8
191901,33.4,-0.2
191902,35.1,0.0
191903,43.9,2.1
191904,47.9,-1.3
191905,60.2,2.3
191906,65.6,0.0
191907,69.0,-0.1
191908,68.0,-0.3
191909,60.7,-2.3
191910,62.3,11.3
191911,43.9,3.1
191912,33.6,-0.8
192001,34.1,0.5
192002,32.7,-2.4
192003,39.2,-2.6
192004,49.4,0.2
192005,55.4,-2.5
192006,64.8,-0.8
192007,68.2,-0.9
192008,68.5,0.2
192009,65.0,2.0
192010,49.2,-1.8
192011,39.5,-1.3
192012,34.5,0.1
192101,34.1,0.5
192102,37.5,2.4
192103,49.2,7.4
192104,49.7,0.5
192105,55.8,-2.1
192106,66.2,0.6
192107,69.5,0.4
192108,68.2,-0.1
192109,67.5,4.5
192110,48.8,-2.2
192111,44.8,4.0
192112,36.8,2.4
192201,33.6,0.0
192202,41.6,6.5
192203,43.2,1.4
192204,52.0,2.8
192205,59.5,1.6
192206,67.1,1.5
192207,69.5,0.4
192208,66.2,-2.1
192209,63.4,0.4
192210,51.9,0.9
192211,40.8,0.0
192212,40.5,6.1
192301,36.7,3.1
192302,34.3,-0.8
192303,43.8,2.0
192304,48.0,-1.2
192305,56.9,-1.0
192306,65.7,0.1
192307,68.2,-0.9
192308,69.3,1.0
192309,64.4,1.4
192310,50.0,-1.0
192311,38.2,-2.6
192312,41.0,6.6
192401,30.7,-2.9
192402,32.1,-3.0
192403,38.5,-3.3
192404,48.8,-0.4
192405,55.3,-2.6
192406,66.9,1.3
192407,68.3,-0.8
192408,68.5,0.2
192409,60.8,-2.2
192410,48.5,-2.5
192411,40.4,-0.4
192412,36.5,2.1
192501,34.0,0.4
192502,39.5,4.4
192503,42.6,0.8
192504,51.2,2.0
192505,54.5,-3.4
192506,67.8,2.2
192507,70.0,0.9
192508,67.1,-1.2
192509,68.8,5.8
192510,52.4,1.4
192511,39.3,-1.5
192512,33.8,-0.6
192601,33.5,-0.1
192602,37.2,2.1
192603,35.6,-6.2
192604,46.3,-2.9
192605,55.9,-2.0
192606,65.3,-0.3
192607,69.2,0.1
192608,70.4,2.1
192609,66.4,3.4
192610,52.4,1.4
192611,37.6,-3.2
192612,37.5,3.1
192701,33.6,0.0
192702,44.8,9.7
192703,44.0,2.2
192704,50.6,1.4
192705,58.6,0.7
192706,65.1,-0.5
192707,67.9,-1.2
192708,66.2,-2.1
192709,63.3,0.3
192710,52.3,1.3
192711,44.4,3.6
192712,34.4,0.0
192801,31.1,-2.5
192802,34.3,-0.8
192803,42.1,0.3
192804,48.0,-1.2
192805,55.7,-2.2
192806,65.4,-0.2
192807,69.4,0.3
192808,69.7,1.4
192809,62.2,-0.8
192810,54.9,3.9
192811,39.6,-1.2
192812,34.3,-0.1
192901,35.6,2.0
192902,35.2,0.1
192903,46.1,4.3
192904,51.9,2.7
192905,58.1,0.2
192906,63.9,-1.7
192907,67.5,-1.6
192908,67.4,-0.9
192909,63.8,0.8
192910,49.7,-1.3
192911,45.0,4.2
192912,33.6,-0.8
193001,35.6,2.0
193002,37.8,2.7
193003,39.1,-2.7
193004,49.9,0.7
193005,60.0,2.1
193006,63.5,-2.1
193007,70.3,1.2
193008,65.2,-3.1
193009,67.1,4.1
193010,47.4,-3.6
193011,40.7,-0.1
193012,31.3,-3.1
193101,31.8,-1.8
193102,33.9,-1.2
193103,37.1,-4.7
