South Dakota, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,-4.4,-8.7
189502,1.2,-7.5
189503,15.3,-4.3
189504,37.1,5.2
189505,42.0,-1.0
189506,49.0,-4.1
189507,54.2,-4.6
189508,52.6,-3.9
189509,44.4,-1.6
189510,27.7,-6.6
189511,16.0,-4.6
189512,9.9,0.6
189601,5.0,0.7
189602,11.3,2.6
189603,10.0,-9.6
189604,33.0,1.1
189605,45.9,2.9
189606,53.0,-0.1
189607,56.1,-2.7
189608,54.1,-2.4
189609,42.0,-4.0
189610,28.4,-5.9
189611,6.3,-14.3
189612,16.3,7.0
189701,2.2,-2.1
189702,4.5,-4.2
189703,11.2,-8.4
189704,32.4,0.5
189705,42.0,-1.0
189706,52.0,-1.1
189707,58.7,-0.1
189708,52.7,-3.8
189709,51.6,5.6
189710,35.6,1.3
189711,14.2,-6.4
189712,7.0,-2.3
189801,9.7,5.4
189802,10.4,1.7
189803,15.7,-3.9
189804,30.4,-1.5
189805,41.9,-1.1
189806,52.8,-0.3
189807,56.8,-2.0
189808,55.2,-1.3
189809,44.5,-1.5
189810,30.4,-3.9
189811,13.4,-7.2
189812,5.7,-3.6
189901,3.5,-0.8
189902,-6.7,-15.4
189903,3.3,-16.3
189904,29.6,-2.3
189905,42.1,-0.9
189906,52.0,-1.1
189907,57.2,-1.6
189908,56.2,-0.3
189909,43.5,-2.5
189910,33.3,-1.0
189911,25.6,5.0
189912,6.8,-2.5
190001,12.2,7.9
190002,0.4,-8.3
190003,15.8,-3.8
190004,36.7,4.8
190005,45.8,2.8
190006,54.4,1.3
190007,57.6,-1.2
190008,61.1,4.6
190009,46.5,0.5
190010,37.7,3.4
190011,16.8,-3.8
190012,15.1,5.8
190101,8.0,3.7
190102,2.9,-5.8
190103,19.5,-0.1
190104,34.6,2.7
190105,45.1,2.1
190106,53.1,0.0
190107,63.2,4.4
190108,56.8,0.3
190109,44.9,-1.1
190110,36.3,2.0
190111,20.3,-0.3
190112,8.6,-0.7
190201,8.0,3.7
190202,7.6,-1.1
190203,22.4,2.8
190204,29.6,-2.3
190205,45.5,2.5
190206,49.0,-4.1
190207,56.6,-2.2
190208,54.5,-2.0
190209,40.7,-5.3
190210,32.6,-1.7
190211,21.1,0.5
190212,3.4,-5.9
190301,6.5,2.2
190302,-1.1,-9.8
190303,18.4,-1.2
190304,32.1,0.2
190305,42.8,-0.2
190306,50.5,-2.6
190307,56.7,-2.1
190308,55.4,-1.1
190309,42.6,-3.4
190310,34.9,0.6
190311,18.3,-2.3
190312,7.6,-1.7
190401,2.6,-1.7
190402,-2.3,-11.0
190403,17.5,-2.1
190404,28.8,-3.1
190405,42.7,-0.3
190406,51.0,-2.1
190407,54.4,-4.4
190408,53.5,-3.0
190409,44.4,-1.6
190410,36.7,2.4
190411,23.2,2.6
190412,9.4,0.1
190501,-1.3,-5.6
190502,-0.9,-9.6
190503,26.2,6.6
190504,30.2,-1.7
190505,39.8,-3.2
190506,51.0,-2.1
190507,55.7,-3.1
190508,57.0,0.5
190509,47.1,1.1
190510,29.9,-4.4
190511,22.8,2.2
190512,11.6,2.3
190601,9.0,4.7
190602,8.5,-0.2
190603,11.3,-8.3
190604,35.5,3.6
190605,43.0,0.0
190606,50.8,-2.3
190607,55.1,-3.7
190608,56.4,-0.1
190609,48.9,2.9
190610,33.9,-0.4
190611,20.8,0.2
190612,10.1,0.8
190701,-4.6,-8.9
190702,11.0,2.3
190703,23.2,3.6
190704,25.1,-6.8
190705,35.0,-8.0
190706,51.4,-1.7
190707,56.7,-2.1
190708,53.9,-2.6
190709,42.8,-3.2
190710,31.4,-2.9
190711,19.7,-0.9
190712,12.6,3.3
190801,10.1,5.8
190802,10.4,1.7
190803,19.4,-0.2
190804,32.3,0.4
190805,40.4,-2.6
190806,51.2,-1.9
190807,57.4,-1.4
190808,52.3,-4.2
190809,49.7,3.7
190810,33.7,-0.6
190811,22.3,1.7
190812,10.2,0.9
190901,1.9,-2.4
190902,8.4,-0.3
190903,20.0,0.4
190904,25.5,-6.4
190905,40.6,-2.4
190906,54.8,1.7
190907,58.6,-0.2
190908,60.2,3.7
190909,46.6,0.6
190910,33.1,-1.2
190911,21.1,0.5
190912,0.3,-9.0
191001,4.6,0.3
191002,-1.1,-9.8
191003,31.5,11.9
191004,34.8,2.9
191005,38.5,-4.5
191006,54.1,1.0
191007,57.8,-1.0
191008,52.4,-4.1
191009,46.2,0.2
191010,36.5,2.2
191011,18.6,-2.0
191012,10.0,0.7
191101,2.0,-2.3
191102,6.7,-2.0
191103,23.6,4.0
191104,30.6,-1.3
191105,43.8,0.8
191106,57.3,4.2
191107,55.2,-3.6
191108,53.4,-3.1
191109,47.5,1.5
191110,33.0,-1.3
191111,11.5,-9.1
191112,10.2,0.9
