California, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,33.6,0.9
189502,36.0,0.9
189503,37.4,-0.2
189504,41.8,0.3
189505,48.3,0.9
189506,53.0,-0.7
189507,58.4,-1.1
189508,58.0,-0.5
189509,51.9,-1.9
189510,47.2,1.0
189511,36.9,-1.3
189512,31.2,-2.0
189601,37.1,4.4
189602,34.8,-0.3
189603,39.3,1.7
189604,38.3,-3.2
189605,46.5,-0.9
189606,55.6,1.9
189607,62.1,2.6
189608,58.8,0.3
189609,53.1,-0.7
189610,47.1,0.9
189611,38.4,0.2
189612,36.8,3.6
189701,34.2,1.5
189702,34.1,-1.0
189703,33.8,-3.8
189704,42.5,1.0
189705,50.2,2.8
189706,54.5,0.8
189707,58.8,-0.7
189708,60.0,1.5
189709,54.2,0.4
189710,45.6,-0.6
189711,37.8,-0.4
189712,31.1,-2.1
189801,28.3,-4.4
189802,37.0,1.9
189803,33.8,-3.8
189804,43.3,1.8
189805,46.6,-0.8
189806,53.7,0.0
189807,58.1,-1.4
189808,59.9,1.4
189809,53.8,0.0
189810,45.6,-0.6
189811,36.2,-2.0
189812,31.1,-2.1
189901,35.0,2.3
189902,33.3,-1.8
189903,37.7,0.1
189904,41.6,0.1
189905,43.6,-3.8
189906,53.4,-0.3
189907,57.1,-2.4
189908,54.3,-4.2
189909,53.7,-0.1
189910,44.3,-1.9
189911,41.5,3.3
189912,33.9,0.7
190001,37.0,4.3
190002,35.3,0.2
190003,40.7,3.1
190004,39.7,-1.8
190005,48.2,0.8
190006,55.0,1.3
190007,58.1,-1.4
190008,55.5,-3.0
190009,49.8,-4.0
190010,46.0,-0.2
190011,41.4,3.2
190012,33.7,0.5
190101,32.6,-0.1
190102,36.4,1.3
190103,37.5,-0.1
190104,38.3,-3.2
190105,47.9,0.5
190106,51.9,-1.8
190107,58.8,-0.7
190108,59.7,1.2
190109,50.7,-3.1
190110,47.9,1.7
190111,40.7,2.5
190112,32.0,-1.2
190201,30.9,-1.8
190202,36.6,1.5
190203,34.8,-2.8
190204,40.3,-1.2
190205,44.9,-2.5
190206,53.2,-0.5
190207,57.0,-2.5
190208,57.0,-1.5
190209,53.6,-0.2
190210,45.2,-1.0
190211,37.7,-0.5
190212,32.9,-0.3
190301,32.3,-0.4
190302,27.8,-7.3
190303,36.9,-0.7
190304,39.8,-1.7
190305,47.0,-0.4
190306,54.6,0.9
190307,55.1,-4.4
190308,57.3,-1.2
190309,52.4,-1.4
190310,46.0,-0.2
190311,40.5,2.3
190312,31.6,-1.6
190401,30.2,-2.5
190402,35.9,0.8
190403,38.7,1.1
190404,41.4,-0.1
190405,49.1,1.7
190406,53.5,-0.2
190407,57.8,-1.7
190408,59.8,1.3
190409,55.4,1.6
190410,46.0,-0.2
190411,38.7,0.5
190412,33.0,-0.2
190501,36.9,4.2
190502,37.8,2.7
190503,41.1,3.5
190504,43.0,1.5
190505,45.1,-2.3
190506,51.7,-2.0
190507,58.5,-1.0
190508,57.6,-0.9
190509,52.6,-1.2
190510,42.9,-3.3
190511,36.9,-1.3
190512,29.9,-3.3
190601,33.5,0.8
190602,39.8,4.7
190603,38.2,0.6
190604,41.3,-0.2
190605,46.4,-1.0
190606,52.2,-1.5
190607,61.5,2.0
190608,58.8,0.3
190609,53.4,-0.4
190610,45.6,-0.6
190611,37.1,-1.1
190612,35.9,2.7
190701,32.9,0.2
190702,40.3,5.2
190703,37.4,-0.2
190704,44.4,2.9
190705,46.1,-1.3
190706,51.7,-2.0
190707,58.2,-1.3
190708,56.3,-2.2
190709,50.6,-3.2
190710,48.9,2.7
190711,37.8,-0.4
190712,35.4,2.2
190801,34.9,2.2
190802,33.6,-1.5
190803,35.8,-1.8
190804,41.2,-0.3
190805,42.8,-4.6
190806,49.2,-4.5
190807,61.0,1.5
190808,58.0,-0.5
190809,52.7,-1.1
190810,42.6,-3.6
190811,38.2,0.0
190812,31.3,-1.9
190901,38.0,5.3
190902,35.8,0.7
190903,36.0,-1.6
190904,41.2,-0.3
190905,44.9,-2.5
190906,54.2,0.5
190907,57.2,-2.3
190908,57.5,-1.0
190909,53.2,-0.6
190910,45.2,-1.0
190911,37.8,-0.4
190912,31.8,-1.4
191001,30.1,-2.6
191002,32.2,-2.9
191003,40.3,2.7
191004,43.6,2.1
191005,48.8,1.4
191006,51.2,-2.5
191007,59.4,-0.1
191008,56.5,-2.0
191009,52.7,-1.1
191010,46.5,0.3
191011,38.9,0.7
191012,35.0,1.8
191101,34.1,1.4
191102,30.7,-4.4
191103,39.7,2.1
191104,40.4,-1.1
191105,43.8,-3.6
191106,51.9,-1.8
191107,60.1,0.6
191108,54.9,-3.6
191109,49.9,-3.9
191110,42.9,-3.3
191111,35.3,-2.9
191112,28.8,-4.4
191201,33.7,1.0
191202,34.1,-1.0
191203,36.0,-1.6
191204,39.0,-2.5
191205,46.9,-0.5
191206,53.2,-0.5
191207,57.2,-2.3
191208,55.8,-2.7
191209,51.8,-2.0
191210,43.0,-3.2
191211,38.1,-0.1
191212,29.8,-3.4
191301,28.7,-4.0
191302,31.8,-3.3
191303,34.1,-3.5
191304,39.6,-1.9
191305,46.4,-1.0
191306,52.4,-1.3
191307,59.7,0.2
191308,60.6,2.1
191309,55.1,1.3
191310,44.5,-1.7
191311,41.2,3.0
191312,33.2,0.0
191401,36.8,4.1
191402,35.0,-0.1
191403,39.7,2.1
191404,43.2,1.7
191405,48.4,1.0
191406,52.6,-1.1
191407,58.4,-1.1
191408,58.2,-0.3
191409,52.1,-1.7
191410,46.9,0.7
191411,38.0,-0.2
191412,30.2,-3.0
191501,32.5,-0.2
191502,36.3,1.2
191503,39.0,1.4
191504,43.5,2.0
191505,46.1,-1.3
191506,51.8,-1.9
191507,58.5,-1.0
191508,58.4,-0.1
191509,51.7,-2.1
191510,43.7,-2.5
191511,36.4,-1.8
191512,33.7,0.5
191601,31.4,-1.3
191602,37.5,2.4
191603,39.5,1.9
191604,42.2,0.7
191605,44.0,-3.4
191606,51.3,-2.4
191607,57.3,-2.2
191608,56.8,-1.7
191609,52.0,-1.8
191610,41.9,-4.3
191611,33.0,-5.2
191612,29.3,-3.9
191701,26.8,-5.9
191702,32.2,-2.9
191703,31.1,-6.5
191704,39.0,-2.5
191705,43.4,-4.0
191706,52.4,-1.3
191707,62.0,2.5
191708,59.1,0.6
191709,53.8,0.0
191710,47.0,0.8
191711,38.6,0.4
191712,34.4,1.2
191801,31.9,-0.8
191802,33.5,-1.6
191803,38.2,0.6
191804,40.4,-1.1
191805,43.6,-3.8
191806,58.0,4.3
191807,57.9,-1.6
191808,57.2,-1.3
191809,55.5,1.7
191810,48.5,2.3
191811,36.8,-1.4
191812,30.1,-3.1
191901,30.5,-2.2
191902,33.2,-1.9
191903,35.1,-2.5
191904,41.7,0.2
191905,48.9,1.5
191906,51.8,-1.9
191907,59.9,0.4
191908,58.2,-0.3
191909,52.7,-1.1
191910,40.6,-5.6
191911,34.1,-4.1
191912,31.6,-1.6
192001,33.2,0.5
192002,34.3,-0.8
192003,34.8,-2.8
192004,39.3,-2.2
192005,45.6,-1.8
192006,52.8,-0.9
192007,57.1,-2.4
192008,59.0,0.5
192009,51.8,-2.0
192010,42.5,-3.7
192011,37.8,-0.4
192012,32.9,-0.3
192101,32.4,-0.3
192102,34.3,-0.8
192103,39.8,2.2
192104,38.9,-2.6
192105,45.1,-2.3
192106,54.6,0.9
192107,59.9,0.4
192108,57.2,-1.3
192109,51.2,-2.6
192110,47.3,1.1
192111,37.7,-0.5
192112,35.8,2.6
192201,27.4,-5.3
192202,32.4,-2.7
192203,34.2,-3.4
192204,37.3,-4.2
192205,46.4,-1.0
192206,54.7,1.0
192207,60.4,0.9
192208,57.8,-0.7
192209,54.9,1.1
192210,45.0,-1.2
192211,34.3,-3.9
192212,36.0,2.8
192301,32.6,-0.1
192302,31.1,-4.0
192303,35.3,-2.3
192304,41.3,-0.2
192305,47.2,-0.2
192306,49.2,-4.5
192307,57.9,-1.6
192308,57.4,-1.1
192309,54.8,1.0
192310,44.2,-2.0
192311,39.1,0.9
192312,31.8,-1.4
192401,28.8,-3.9
192402,37.0,1.9
192403,35.1,-2.5
