Texas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,31.2,-2.0
189502,26.7,-9.9
189503,43.1,-0.2
189504,50.0,-1.8
189505,57.8,-2.4
189506,66.5,-1.1
189507,69.2,-1.1
189508,68.5,-1.0
189509,64.4,0.6
189510,47.9,-5.4
189511,37.6,-4.5
189512,32.1,-2.7
189601,33.7,0.5
189602,35.5,-1.1
189603,40.4,-2.9
189604,55.5,3.7
189605,65.1,4.9
189606,68.5,0.9
189607,70.6,0.3
189608,69.3,-0.2
189609,62.8,-1.0
189610,52.4,-0.9
189611,42.3,0.2
189612,35.2,0.4
189701,30.2,-3.0
189702,38.1,1.5
189703,46.1,2.8
189704,50.3,-1.5
189705,58.9,-1.3
189706,67.2,-0.4
189707,69.5,-0.8
189708,67.8,-1.7
189709,60.9,-2.9
189710,54.3,1.0
189711,40.5,-1.6
189712,31.0,-3.8
189801,35.0,1.8
189802,38.3,1.7
189803,44.6,1.3
189804,50.6,-1.2
189805,61.3,1.1
189806,68.5,0.9
189807,69.5,-0.8
189808,67.8,-1.7
189809,62.7,-1.1
189810,48.9,-4.4
189811,37.5,-4.6
189812,29.8,-5.0
189901,30.8,-2.4
189902,25.9,-10.7
189903,43.1,-0.2
189904,50.9,-0.9
189905,63.4,3.2
189906,68.2,0.6
189907,70.0,-0.3
189908,70.6,1.1
189909,62.5,-1.3
189910,54.4,1.1
189911,42.9,0.8
189912,34.1,-0.7
190001,37.1,3.9
190002,34.7,-1.9
190003,45.1,1.8
190004,52.5,0.7
190005,60.9,0.7
190006,68.7,1.1
190007,71.0,0.7
190008,70.3,0.8
190009,68.8,5.0
190010,56.2,2.9
190011,43.5,1.4
190012,33.9,-0.9
190101,35.6,2.4
190102,34.2,-2.4
190103,40.6,-2.7
190104,49.4,-2.4
190105,59.7,-0.5
190106,69.0,1.4
190107,71.9,1.6
190108,71.1,1.6
190109,64.5,0.7
190110,55.6,2.3
190111,43.6,1.5
190112,32.0,-2.8
190201,31.8,-1.4
190202,34.5,-2.1
190203,43.9,0.6
190204,55.2,3.4
190205,64.1,3.9
190206,69.6,2.0
190207,70.7,0.4
190208,71.6,2.1
190209,62.3,-1.5
190210,53.3,0.0
190211,48.0,5.9
190212,35.4,0.6
190301,34.1,0.9
190302,34.0,-2.6
190303,43.6,0.3
190304,51.7,-0.1
190305,59.1,-1.1
190306,62.8,-4.8
190307,70.1,-0.2
190308,69.9,0.4
190309,62.0,-1.8
190310,50.6,-2.7
190311,39.5,-2.6
190312,32.7,-2.1
190401,29.5,-3.7
190402,38.4,1.8
190403,47.7,4.4
190404,52.1,0.3
190405,59.3,-0.9
190406,66.8,-0.8
190407,68.9,-1.4
190408,68.6,-0.9
190409,66.0,2.2
190410,53.6,0.3
190411,40.5,-1.6
190412,33.6,-1.2
190501,30.7,-2.5
190502,27.2,-9.4
190503,48.8,5.5
190504,51.5,-0.3
190505,62.9,2.7
190506,68.8,1.2
190507,68.6,-1.7
190508,70.4,0.9
190509,65.6,1.8
190510,53.5,0.2
190511,46.3,4.2
190512,30.6,-4.2
190601,32.2,-1.0
190602,34.8,-1.8
190603,39.3,-4.0
190604,53.6,1.8
190605,60.4,0.2
190606,67.3,-0.3
190607,68.7,-1.6
190608,68.4,-1.1
190609,64.7,0.9
190610,47.3,-6.0
190611,41.0,-1.1
190612,40.7,5.9
190701,41.2,8.0
190702,36.6,0.0
190703,51.2,7.9
190704,49.2,-2.6
190705,56.1,-4.1
190706,66.1,-1.5
190707,69.6,-0.7
190708,70.2,0.7
190709,63.4,-0.4
190710,56.0,2.7
190711,40.6,-1.5
190712,36.4,1.6
190801,35.0,1.8
190802,37.2,0.6
190803,48.9,5.6
190804,53.9,2.1
190805,59.9,-0.3
190806,68.9,1.3
190807,68.4,-1.9
190808,68.5,-1.0
190809,61.7,-2.1
190810,48.8,-4.5
190811,40.6,-1.5
190812,37.2,2.4
190901,37.1,3.9
190902,37.1,0.5
190903,43.1,-0.2
190904,50.5,-1.3
190905,58.8,-1.4
190906,67.7,0.1
190907,72.1,1.8
190908,70.1,0.6
190909,61.8,-2.0
190910,51.2,-2.1
190911,47.9,5.8
