Utah, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,14.3,-0.7
189502,13.9,-5.6
189503,23.2,-2.7
189504,32.4,-0.3
189505,41.0,-0.1
189506,46.5,-2.8
189507,54.7,-2.1
189508,54.7,-0.3
189509,45.2,-0.9
189510,35.3,-0.3
189511,22.1,-2.4
189512,11.9,-5.0
189601,20.1,5.1
189602,18.0,-1.5
189603,25.4,-0.5
189604,30.4,-2.3
189605,39.2,-1.9
189606,51.8,2.5
189607,57.5,0.7
189608,55.4,0.4
189609,46.6,0.5
189610,36.2,0.6
189611,22.7,-1.8
189612,20.2,3.3
189701,15.7,0.7
189702,17.0,-2.5
189703,20.2,-5.7
189704,33.0,0.3
189705,44.7,3.6
189706,47.4,-1.9
189707,53.2,-3.6
189708,54.9,-0.1
189709,48.0,1.9
189710,36.5,0.9
189711,26.2,1.7
189712,10.4,-6.5
189801,5.5,-9.5
189802,16.2,-3.3
189803,21.2,-4.7
189804,34.5,1.8
189805,39.3,-1.8
189806,48.3,-1.0
189807,56.1,-0.7
189808,56.7,1.7
189809,43.1,-3.0
189810,29.8,-5.8
189811,20.5,-4.0
189812,9.8,-7.1
189901,17.0,2.0
189902,16.2,-3.3
189903,26.2,0.3
189904,32.2,-0.5
189905,37.3,-3.8
189906,47.7,-1.6
189907,57.0,0.2
189908,50.6,-4.4
189909,46.0,-0.1
189910,33.5,-2.1
189911,28.3,3.8
189912,13.0,-3.9
190001,21.6,6.6
190002,20.1,0.6
190003,28.0,2.1
190004,32.2,-0.5
190005,42.4,1.3
190006,51.3,2.0
190007,55.1,-1.7
190008,51.4,-3.6
190009,42.2,-3.9
190010,35.2,-0.4
190011,27.2,2.7
190012,18.7,1.8
190101,16.2,1.2
190102,20.9,1.4
190103,23.0,-2.9
190104,30.8,-1.9
190105,43.7,2.6
190106,46.6,-2.7
190107,57.9,1.1
190108,57.3,2.3
190109,42.2,-3.9
190110,37.3,1.7
190111,26.9,2.4
190112,17.8,0.9
190201,15.5,0.5
190202,22.5,3.0
190203,23.7,-2.2
190204,33.1,0.4
190205,40.6,-0.5
190206,49.7,0.4
190207,51.5,-5.3
190208,53.1,-1.9
190209,44.0,-2.1
190210,35.5,-0.1
190211,25.4,0.9
190212,16.4,-0.5
190301,15.6,0.6
190302,3.5,-16.0
190303,25.3,-0.6
190304,31.3,-1.4
190305,38.7,-2.4
190306,51.1,1.8
190307,53.9,-2.9
190308,54.2,-0.8
190309,43.2,-2.9
190310,33.8,-1.8
190311,23.0,-1.5
190312,12.0,-4.9
190401,9.8,-5.2
190402,21.5,2.0
190403,27.2,1.3
190404,33.1,0.4
190405,41.5,0.4
190406,48.3,-1.0
190407,54.0,-2.8
190408,54.7,-0.3
190409,45.6,-0.5
190410,33.7,-1.9
190411,21.1,-3.4
190412,15.0,-1.9
190501,17.3,2.3
190502,19.4,-0.1
190503,29.5,3.6
190504,34.0,1.3
190505,38.6,-2.5
190506,47.6,-1.7
190507,54.3,-2.5
190508,54.8,-0.2
190509,45.8,-0.3
190510,30.1,-5.5
190511,24.7,0.2
190512,10.2,-6.7
190601,14.4,-0.6
190602,22.3,2.8
190603,25.9,0.0
190604,34.2,1.5
190605,40.5,-0.6
190606,45.8,-3.5
190607,56.3,-0.5
190608,54.7,-0.3
190609,45.5,-0.6
190610,33.2,-2.4
190611,24.4,-0.1
190612,23.8,6.9
190701,18.7,3.7
190702,28.2,8.7
190703,30.7,4.8
190704,35.3,2.6
190705,38.6,-2.5
190706,44.7,-4.6
190707,54.8,-2.0
190708,52.8,-2.2
190709,43.7,-2.4
190710,39.1,3.5
190711,23.5,-1.0
190712,19.5,2.6
190801,15.8,0.8
190802,19.3,-0.2
190803,25.4,-0.5
190804,33.1,0.4
190805,36.8,-4.3
190806,44.8,-4.5
190807,56.0,-0.8
190808,53.4,-1.6
190809,44.6,-1.5
190810,31.4,-4.2
190811,21.6,-2.9
190812,13.2,-3.7
190901,21.5,6.5
190902,19.1,-0.4
190903,24.5,-1.4
190904,30.2,-2.5
190905,37.0,-4.1
190906,49.8,0.5
190907,56.3,-0.5
190908,56.8,1.8
190909,46.0,-0.1
190910,35.0,-0.6
190911,25.8,1.3
190912,7.1,-9.8
191001,11.9,-3.1
191002,15.2,-4.3
191003,30.8,4.9
191004,34.6,1.9
191005,41.3,0.2
191006,50.7,1.4
191007,57.6,0.8
191008,54.2,-0.8
191009,48.7,2.6
191010,35.3,-0.3
191011,28.7,4.2
191012,21.0,4.1
191101,22.2,7.2
191102,17.8,-1.7
191103,29.4,3.5
191104,31.0,-1.7
191105,38.9,-2.2
191106,49.8,0.5
191107,55.0,-1.8
191108,53.2,-1.8
191109,46.7,0.6
191110,32.2,-3.4
191111,20.5,-4.0
191112,10.8,-6.1
191201,15.2,0.2
191202,21.0,1.5
191203,27.2,1.3
191204,29.9,-2.8
191205,38.9,-2.2
191206,49.1,-0.2
191207,54.3,-2.5
191208,52.5,-2.5
191209,39.5,-6.6
191210,33.7,-1.9
191211,25.2,0.7
191212,12.6,-4.3
191301,9.3,-5.7
191302,16.4,-3.1
191303,22.2,-3.7
191304,31.9,-0.8
191305,40.8,-0.3
191306,48.4,-0.9
191307,55.0,-1.8
191308,55.1,0.1
191309,45.5,-0.6
191310,31.8,-3.8
191311,28.9,4.4
191312,12.9,-4.0
191401,18.5,3.5
191402,18.2,-1.3
191403,27.4,1.5
191404,35.9,3.2
191405,42.8,1.7
191406,48.8,-0.5
191407,56.5,-0.3
191408,54.2,-0.8
191409,45.7,-0.4
191410,37.0,1.4
191411,22.3,-2.2
191412,11.5,-5.4
191501,10.1,-4.9
191502,21.2,1.7
191503,27.2,1.3
191504,37.3,4.6
191505,39.3,-1.8
191506,45.6,-3.7
191507,55.0,-1.8
191508,53.3,-1.7
191509,45.2,-0.9
191510,33.8,-1.8
191511,25.1,0.6
191512,18.0,1.1
191601,13.8,-1.2
191602,20.6,1.1
191603,27.8,1.9
191604,33.8,1.1
191605,36.4,-4.7
191606,46.5,-2.8
191607,55.3,-1.5
191608,52.4,-2.6
191609,43.0,-3.1
191610,34.5,-1.1
191611,19.9,-4.6
191612,13.3,-3.6
191701,4.1,-10.9
191702,15.9,-3.6
191703,17.6,-8.3
191704,29.6,-3.1
191705,38.7,-2.4
191706,46.5,-2.8
191707,58.6,1.8
191708,53.0,-2.0
191709,46.0,-0.1
191710,33.6,-2.0
191711,26.3,1.8
191712,23.4,6.5
191801,16.4,1.4
191802,17.0,-2.5
191803,28.6,2.7
191804,30.4,-2.3
191805,38.8,-2.3
191806,54.8,5.5
191807,56.7,-0.1
191808,52.6,-2.4
191809,47.0,0.9
191810,39.8,4.2
191811,22.2,-2.3
191812,15.2,-1.7
191901,10.1,-4.9
191902,18.2,-1.3
191903,24.9,-1.0
191904,33.9,1.2
191905,43.2,2.1
191906,49.7,0.4
191907,58.3,1.5
191908,55.3,0.3
191909,48.1,2.0
191910,30.2,-5.4
191911,22.2,-2.3
191912,10.3,-6.6
192001,15.3,0.3
192002,22.9,3.4
192003,24.3,-1.6
192004,28.7,-4.0
192005,41.4,0.3
192006,48.6,-0.7
192007,56.6,-0.2
192008,53.5,-1.5
192009,44.5,-1.6
192010,34.5,-1.1
192011,25.4,0.9
192012,15.4,-1.5
192101,19.0,4.0
192102,21.2,1.7
192103,29.4,3.5
192104,30.1,-2.6
192105,41.5,0.4
192106,50.8,1.5
192107,57.0,0.2
192108,54.9,-0.1
