Vermont, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,4.1,-0.7
189502,-0.3,-5.7
189503,12.0,-4.8
189504,28.4,-0.6
189505,42.6,2.8
189506,52.8,3.9
189507,51.6,-2.4
189508,50.7,-1.1
189509,44.8,0.2
189510,28.8,-5.5
189511,23.7,-1.0
189512,12.7,1.5
189601,4.1,-0.7
189602,5.8,0.4
189603,10.0,-6.8
189604,29.8,0.8
189605,43.0,3.2
189606,47.6,-1.3
189607,55.9,1.9
189608,52.4,0.6
189609,44.2,-0.4
189610,33.2,-1.1
189611,26.3,1.6
189612,8.3,-2.9
189701,4.8,0.0
189702,6.4,1.0
189703,16.1,-0.7
189704,29.6,0.6
189705,40.9,1.1
189706,46.2,-2.7
189707,59.1,5.1
189708,50.9,-0.9
189709,42.2,-2.4
189710,32.0,-2.3
189711,22.2,-2.5
189712,12.1,0.9
189801,2.1,-2.7
189802,11.4,6.0
189803,22.1,5.3
189804,27.2,-1.8
189805,41.6,1.8
189806,50.2,1.3
189807,54.5,0.5
189808,54.9,3.1
189809,46.9,2.3
189810,36.8,2.5
189811,22.6,-2.1
189812,10.1,-1.1
189901,3.3,-1.5
189902,5.0,-0.4
189903,14.0,-2.8
189904,27.7,-1.3
189905,39.3,-0.5
189906,50.0,1.1
189907,53.7,-0.3
189908,51.1,-0.7
189909,43.4,-1.2
189910,37.1,2.8
189911,23.3,-1.4
189912,15.4,4.2
190001,4.4,-0.4
190002,4.9,-0.5
190003,8.5,-8.3
190004,29.1,0.1
190005,36.2,-3.6
190006,49.1,0.2
190007,54.1,0.1
190008,53.5,1.7
190009,46.3,1.7
190010,39.4,5.1
190011,25.2,0.5
190012,7.9,-3.3
190101,4.1,-0.7
190102,0.3,-5.1
190103,14.9,-1.9
190104,32.8,3.8
190105,41.6,1.8
190106,50.4,1.5
190107,56.5,2.5
190108,54.2,2.4
190109,45.2,0.6
190110,33.6,-0.7
190111,18.9,-5.8
190112,11.2,0.0
190201,2.7,-2.1
190202,5.6,0.2
190203,23.3,6.5
190204,31.4,2.4
190205,38.2,-1.6
190206,46.0,-2.9
190207,52.8,-1.2
190208,49.1,-2.7
190209,46.3,1.7
190210,33.5,-0.8
190211,26.5,1.8
190212,6.0,-5.2
190301,6.0,1.2
190302,9.0,3.6
190303,26.1,9.3
190304,28.2,-0.8
190305,38.9,-0.9
190306,45.9,-3.0
190307,52.9,-1.1
190308,46.5,-5.3
190309,43.6,-1.0
190310,34.8,0.5
190311,19.2,-5.5
190312,5.2,-6.0
190401,-3.1,-7.9
