Virginia, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,21.9,-3.1
189502,15.0,-11.1
189503,32.0,-1.3
189504,41.8,0.1
189505,49.9,-1.1
189506,60.2,0.7
189507,61.6,-2.2
189508,62.9,0.5
189509,58.8,2.8
189510,37.2,-6.8
189511,34.9,0.6
189512,27.6,0.7
189601,24.3,-0.7
189602,26.6,0.5
189603,29.1,-4.2
189604,46.2,4.5
189605,57.3,6.3
189606,60.6,1.1
189607,65.5,1.7
189608,62.9,0.5
189609,55.5,-0.5
189610,41.8,-2.2
189611,38.6,4.3
189612,25.4,-1.5
189701,21.5,-3.5
189702,28.5,2.4
189703,36.8,3.5
189704,40.9,-0.8
189705,49.2,-1.8
189706,59.8,0.3
189707,64.9,1.1
189708,61.8,-0.6
189709,54.4,-1.6
189710,46.5,2.5
189711,35.2,0.9
189712,29.7,2.8
189801,29.2,4.2
189802,23.6,-2.5
189803,39.3,6.0
189804,38.7,-3.0
189805,53.1,2.1
189806,60.2,0.7
189807,66.0,2.2
189808,65.5,3.1
189809,58.2,2.2
189810,47.3,3.3
189811,33.2,-1.1
189812,26.0,-0.9
189901,24.4,-0.6
189902,19.4,-6.7
189903,33.7,0.4
189904,41.3,-0.4
189905,53.3,2.3
189906,62.4,2.9
189907,63.2,-0.6
189908,64.7,2.3
189909,54.1,-1.9
189910,46.0,2.0
189911,34.8,0.5
189912,24.7,-2.2
190001,25.1,0.1
190002,23.5,-2.6
190003,30.0,-3.3
190004,42.3,0.6
190005,50.6,-0.4
190006,62.1,2.6
190007,65.2,1.4
190008,66.0,3.6
190009,60.7,4.7
190010,51.2,7.2
190011,37.7,3.4
190012,26.4,-0.5
190101,25.6,0.6
190102,21.2,-4.9
190103,34.1,0.8
190104,38.7,-3.0
190105,51.7,0.7
190106,60.7,1.2
190107,67.4,3.6
190108,64.6,2.2
190109,55.5,-0.5
190110,41.9,-2.1
190111,28.4,-5.9
190112,23.5,-3.4
190201,22.8,-2.2
190202,21.2,-4.9
190203,34.5,1.2
190204,40.1,-1.6
190205,53.6,2.6
190206,58.5,-1.0
190207,64.3,0.5
190208,60.5,-1.9
190209,53.7,-2.3
190210,45.8,1.8
190211,39.8,5.5
190212,26.6,-0.3
190301,24.4,-0.6
190302,27.3,1.2
190303,40.2,6.9
190304,41.8,0.1
190305,51.6,0.6
190306,56.8,-2.7
190307,63.6,-0.2
190308,62.9,0.5
190309,53.9,-2.1
190310,44.0,0.0
190311,29.2,-5.1
190312,20.6,-6.3
190401,19.6,-5.4
190402,19.8,-6.3
190403,33.3,0.0
190404,38.5,-3.2
190405,51.0,0.0
190406,59.8,0.3
190407,62.6,-1.2
190408,61.9,-0.5
190409,55.6,-0.4
190410,41.2,-2.8
190411,31.0,-3.3
190412,23.4,-3.5
190501,20.4,-4.6
190502,18.7,-7.4
190503,35.1,1.8
190504,41.8,0.1
190505,54.0,3.0
190506,60.9,1.4
190507,65.5,1.7
190508,62.3,-0.1
190509,56.4,0.4
190510,44.1,0.1
190511,32.2,-2.1
190512,26.4,-0.5
190601,29.9,4.9
190602,23.6,-2.5
190603,29.8,-3.5
190604,41.6,-0.1
190605,50.4,-0.6
190606,61.7,2.2
190607,64.0,0.2
190608,67.2,4.8
190609,61.0,5.0
190610,45.4,1.4
190611,33.8,-0.5
190612,28.1,1.2
190701,29.9,4.9
190702,22.0,-4.1
190703,37.7,4.4
190704,36.4,-5.3
190705,48.2,-2.8
190706,55.3,-4.2
190707,64.2,0.4
190708,61.4,-1.0
190709,57.2,1.2
190710,38.7,-5.3
190711,33.7,-0.6
190712,27.6,0.7
190801,23.2,-1.8
190802,22.5,-3.6
190803,37.4,4.1
190804,44.4,2.7
190805,53.2,2.2
190806,58.8,-0.7
190807,64.8,1.0
190808,61.9,-0.5
190809,53.0,-3.0
190810,43.5,-0.5
190811,33.4,-0.9
190812,28.1,1.2
190901,28.8,3.8
190902,31.7,5.6
190903,31.8,-1.5
190904,42.3,0.6
190905,50.1,-0.9
190906,62.5,3.0
190907,60.7,-3.1
190908,60.5,-1.9
190909,54.5,-1.5
190910,38.4,-5.6
190911,37.0,2.7
190912,21.7,-5.2
191001,24.2,-0.8
191002,24.4,-1.7
191003,37.6,4.3
191004,43.6,1.9
191005,48.4,-2.6
191006,58.0,-1.5
191007,64.6,0.8
191008,61.7,-0.7
191009,58.4,2.4
191010,47.2,3.2
191011,29.2,-5.1
191012,20.5,-6.4
191101,28.6,3.6
191102,29.1,3.0
191103,30.3,-3.0
191104,39.2,-2.5
191105,52.8,1.8
191106,60.6,1.1
191107,62.8,-1.0
191108,63.7,1.3
191109,60.2,4.2
191110,47.5,3.5
191111,31.2,-3.1
191112,30.5,3.6
191201,17.2,-7.8
191202,21.1,-5.0
191203,31.8,-1.5
191204,44.9,3.2
191205,52.3,1.3
191206,58.0,-1.5
191207,63.8,0.0
191208,61.0,-1.4
191209,59.8,3.8
191210,44.9,0.9
191211,32.4,-1.9
191212,27.2,0.3
191301,31.5,6.5
191302,26.4,0.3
191303,37.0,3.7
191304,42.3,0.6
191305,50.8,-0.2
191306,59.2,-0.3
191307,64.6,0.8
191308,62.3,-0.1
191309,55.0,-1.0
191310,46.1,2.1
191311,34.1,-0.2
191312,29.3,2.4
191401,28.2,3.2
191402,20.9,-5.2
191403,28.5,-4.8
191404,41.4,-0.3
191405,50.8,-0.2
191406,61.3,1.8
191407,62.6,-1.2
191408,62.5,0.1
191409,52.6,-3.4
191410,47.8,3.8
191411,31.6,-2.7
191412,25.4,-1.5
191501,25.8,0.8
191502,29.0,2.9
191503,26.6,-6.7
191504,41.6,-0.1
191505,51.9,0.9
191506,58.2,-1.3
191507,62.6,-1.2
191508,62.3,-0.1
191509,58.1,2.1
191510,47.0,3.0
191511,34.1,-0.2
191512,25.0,-1.9
191601,29.4,4.4
191602,24.8,-1.3
191603,28.9,-4.4
191604,40.4,-1.3
191605,53.8,2.8
191606,57.2,-2.3
191607,65.5,1.7
191608,63.2,0.8
191609,52.4,-3.6
191610,42.9,-1.1
191611,32.8,-1.5
191612,24.3,-2.6
191701,26.6,1.6
191702,23.4,-2.7
191703,33.4,0.1
191704,41.8,0.1
191705,46.7,-4.3
191706,58.2,-1.3
191707,64.1,0.3
191708,61.2,-1.2
191709,52.6,-3.4
191710,37.9,-6.1
191711,29.7,-4.6
191712,16.9,-10.0
191801,14.8,-10.2
191802,26.6,0.5
191803,36.3,3.0
191804,40.8,-0.9
191805,55.0,4.0
191806,57.8,-1.7
191807,60.0,-3.8
191808,64.0,1.6
191809,50.3,-5.7
191810,47.1,3.1
191811,33.1,-1.2
191812,31.9,5.0
191901,25.5,0.5
191902,26.5,0.4
191903,34.9,1.6
191904,40.9,-0.8
191905,52.2,1.2
191906,61.0,1.5
191907,64.6,0.8
191908,60.8,-1.6
191909,54.0,-2.0
191910,53.6,9.6
191911,34.8,0.5
191912,22.7,-4.2
192001,22.3,-2.7
192002,23.8,-2.3
192003,31.8,-1.5
192004,40.8,-0.9
192005,47.1,-3.9
192006,57.9,-1.6
192007,61.4,-2.4
192008,63.3,0.9
192009,57.3,1.3
192010,44.7,0.7
192011,33.5,-0.8
192012,29.0,2.1
192101,26.6,1.6
192102,29.0,2.9
192103,41.7,8.4
192104,44.9,3.2
192105,50.1,-0.9
192106,60.4,0.9
192107,66.0,2.2
192108,61.0,-1.4
192109,62.0,6.0
192110,41.6,-2.4
192111,38.0,3.7
192112,29.1,2.2
192201,23.3,-1.7
192202,30.5,4.4
192203,35.9,2.6
192204,44.3,2.6
192205,53.0,2.0
192206,62.0,2.5
192207,64.7,0.9
192208,60.2,-2.2
192209,56.2,0.2
192210,44.6,0.6
192211,33.7,-0.6
192212,29.6,2.7
192301,27.4,2.4
192302,24.5,-1.6
192303,32.8,-0.5
192304,39.8,-1.9
192305,48.9,-2.1
192306,61.0,1.5
192307,62.4,-1.4
192308,62.6,0.2
192309,57.7,1.7
192310,41.4,-2.6
192311,32.9,-1.4
192312,33.3,6.4
192401,22.2,-2.8
192402,25.0,-1.1
192403,31.5,-1.8
192404,39.3,-2.4
192405,47.9,-3.1
192406,60.1,0.6
192407,61.3,-2.5
192408,62.1,-0.3
192409,53.1,-2.9
192410,41.1,-2.9
192411,34.1,-0.2
192412,26.2,-0.7
192501,23.8,-1.2
192502,31.2,5.1
192503,34.0,0.7
192504,43.5,1.8
192505,46.1,-4.9
192506,62.2,2.7
192507,63.6,-0.2
192508,58.9,-3.5
192509,60.6,4.6
192510,43.0,-1.0
192511,32.0,-2.3
192512,26.7,-0.2
192601,23.2,-1.8
192602,28.4,2.3
192603,27.5,-5.8
192604,38.0,-3.7
192605,49.0,-2.0
192606,56.6,-2.9
192607,63.3,-0.5
192608,65.0,2.6
192609,59.9,3.9
192610,45.9,1.9
192611,30.7,-3.6
192612,26.7,-0.2
192701,25.9,0.9
192702,33.0,6.9
192703,35.2,1.9
192704,40.9,-0.8
192705,52.4,1.4
192706,56.4,-3.1
192707,62.4,-1.4
192708,59.2,-3.2
192709,55.6,-0.4
192710,45.8,1.8
192711,38.2,3.9
192712,27.2,0.3
192801,24.0,-1.0
192802,26.7,0.6
192803,32.3,-1.0
192804,39.5,-2.2
192805,48.6,-2.4
192806,59.1,-0.4
192807,64.2,0.4
192808,65.0,2.6
192809,53.3,-2.7
192810,46.3,2.3
192811,35.5,1.2
192812,26.1,-0.8
192901,25.0,0.0
192902,23.5,-2.6
192903,37.7,4.4
192904,44.8,3.1
192905,51.5,0.5
192906,58.0,-1.5
192907,62.2,-1.6
192908,60.0,-2.4
192909,56.0,0.0
192910,42.1,-1.9
192911,37.4,3.1
192912,27.7,0.8
193001,26.9,1.9
193002,29.4,3.3
193003,31.2,-2.1
193004,40.9,-0.8
193005,52.7,1.7
193006,58.0,-1.5
193007,64.3,0.5
193008,59.6,-2.8
193009,60.4,4.4
193010,40.4,-3.6
193011,33.2,-1.1
193012,24.0,-2.9
193101,26.0,1.0
193102,27.5,1.4
193103,31.0,-2.3
193104,40.2,-1.5
193105,50.6,-0.4
193106,59.1,-0.4
193107,66.5,2.7
193108,62.6,0.2
193109,59.8,3.8
193110,45.0,1.0
193111,39.5,5.2
193112,34.2,7.3
193201,35.6,10.6
193202,32.2,6.1
193203,29.3,-4.0
193204,39.8,-1.9
193205,50.9,-0.1
193206,59.9,0.4
193207,63.6,-0.2
193208,62.1,-0.3
193209,55.5,-0.5
193210,45.3,1.3
193211,32.0,-2.3
193212,28.4,1.5
193301,31.9,6.9
193302,27.4,1.3
193303,32.4,-0.9
193304,41.7,0.0
193305,55.6,4.6
193306,59.9,0.4
193307,62.6,-1.2
193308,63.4,1.0
193309,60.6,4.6
193310,42.2,-1.8
193311,32.4,-1.9
193312,30.9,4.0
193401,28.5,3.5
193402,17.0,-9.1
193403,29.5,-3.8
193404,41.9,0.2
193405,51.9,0.9
193406,63.0,3.5
193407,67.4,3.6
193408,63.9,1.5
193409,59.2,3.2
193410,42.5,-1.5
193411,35.2,0.9
193412,26.6,-0.3
193501,24.8,-0.2
193502,25.9,-0.2
193503,38.6,5.3
193504,41.4,-0.3
193505,49.5,-1.5
193506,58.8,-0.7
193507,65.6,1.8
193508,63.8,1.4
193509,55.1,-0.9
193510,42.6,-1.4
193511,39.2,4.9
193512,21.3,-5.6
193601,20.4,-4.6
193602,20.2,-5.9
193603,37.0,3.7
193604,39.4,-2.3
193605,50.9,-0.1
193606,59.0,-0.5
193607,65.0,1.2
193608,64.7,2.3
193609,58.1,2.1
193610,47.6,3.6
193611,32.7,-1.6
193612,29.1,2.2
193701,35.9,10.9
193702,26.8,0.7
193703,30.0,-3.3
193704,41.7,0.0
193705,50.1,-0.9
193706,61.8,2.3
193707,63.3,-0.5
193708,64.6,2.2
193709,52.7,-3.3
193710,42.4,-1.6
193711,31.6,-2.7
193712,26.5,-0.4
193801,25.5,0.5
193802,31.8,5.7
193803,37.8,4.5
193804,43.7,2.0
193805,51.9,0.9
193806,58.5,-1.0
193807,64.7,0.9
193808,63.9,1.5
193809,57.1,1.1
193810,42.0,-2.0
193811,34.4,0.1
193812,27.2,0.3
193901,27.5,2.5
193902,30.6,4.5
193903,35.1,1.8
193904,40.9,-0.8
193905,51.6,0.6
193906,63.3,3.8
193907,63.0,-0.8
193908,63.7,1.3
193909,56.9,0.9
193910,45.0,1.0
193911,31.1,-3.2
193912,28.0,1.1
194001,13.9,-11.1
194002,25.8,-0.3
194003,30.2,-3.1
194004,39.4,-2.3
194005,50.0,-1.0
194006,61.2,1.7
194007,62.4,-1.4
194008,63.1,0.7
194009,51.5,-4.5
194010,42.2,-1.8
194011,34.9,0.6
194012,30.9,4.0
194101,25.0,0.0
194102,21.5,-4.6
194103,26.8,-6.5
194104,44.3,2.6
194105,49.8,-1.2
194106,59.8,0.3
194107,66.0,2.2
194108,61.8,-0.6
194109,57.0,1.0
194110,49.3,5.3
194111,32.4,-1.9
194112,30.0,3.1
194201,22.4,-2.6
194202,22.9,-3.2
194203,34.7,1.4
194204,41.9,0.2
194205,53.9,2.9
194206,62.1,2.6
194207,65.3,1.5
194208,62.9,0.5
194209,56.6,0.6
194210,46.8,2.8
194211,36.1,1.8
194212,25.2,-1.7
194301,27.6,2.6
194302,26.3,0.2
194303,31.0,-2.3
194304,38.6,-3.1
194305,53.9,2.9
194306,65.0,5.5
194307,64.6,0.8
194308,62.3,-0.1
194309,51.6,-4.4
194310,41.7,-2.3
194311,31.1,-3.2
194312,25.0,-1.9
194401,25.3,0.3
194402,28.3,2.2
194403,31.4,-1.9
194404,40.7,-1.0
194405,55.3,4.3
194406,61.2,1.7
194407,62.6,-1.2
194408,61.2,-1.2
194409,57.6,1.6
194410,42.8,-1.2
194411,34.5,0.2
194412,23.1,-3.8
194501,23.6,-1.4
194502,27.8,1.7
194503,41.6,8.3
194504,44.7,3.0
194505,48.2,-2.8
194506,59.4,-0.1
194507,63.7,-0.1
194508,61.0,-1.4
194509,60.7,4.7
194510,42.7,-1.3
194511,36.1,1.8
194512,23.1,-3.8
194601,26.8,1.8
194602,27.7,1.6
194603,39.8,6.5
194604,42.7,1.0
194605,51.0,0.0
194606,58.4,-1.1
194607,62.1,-1.7
194608,59.1,-3.3
194609,55.2,-0.8
194610,45.2,1.2
194611,38.0,3.7
194612,29.1,2.2
194701,31.1,6.1
194702,18.8,-7.3
194703,26.0,-7.3
194704,43.4,1.7
194705,50.7,-0.3
194706,58.2,-1.3
194707,60.5,-3.3
194708,65.3,2.9
194709,57.2,1.2
194710,49.3,5.3
194711,34.6,0.3
194712,24.7,-2.2
194801,19.2,-5.8
194802,26.7,0.6
194803,36.6,3.3
194804,44.6,2.9
194805,51.7,0.7
194806,59.6,0.1
194807,64.4,0.6
194808,61.2,-1.2
194809,54.9,-1.1
194810,41.1,-2.9
194811,38.8,4.5
194812,29.4,2.5
194901,33.8,8.8
194902,32.6,6.5
194903,33.1,-0.2
194904,41.0,-0.7
194905,51.1,0.1
194906,61.0,1.5
194907,67.4,3.6
194908,63.6,1.2
194909,53.1,-2.9
194910,49.3,5.3
194911,32.8,-1.5
194912,28.5,1.6
195001,36.1,11.1
195002,28.6,2.5
195003,29.6,-3.7
195004,38.4,-3.3
195005,52.6,1.6
195006,58.6,-0.9
195007,62.8,-1.0
195008,61.0,-1.4
195009,55.6,-0.4
195010,47.4,3.4
195011,31.0,-3.3
195012,23.0,-3.9
195101,26.2,1.2
195102,26.2,0.1
195103,33.4,0.1
195104,41.1,-0.6
195105,49.5,-1.5
195106,59.8,0.3
195107,63.2,-0.6
195108,61.8,-0.6
195109,55.0,-1.0
195110,47.0,3.0
195111,29.7,-4.6
195112,27.8,0.9
195201,30.2,5.2
195202,29.0,2.9
195203,32.0,-1.3
195204,43.3,1.6
195205,51.1,0.1
195206,62.8,3.3
195207,64.6,0.8
195208,62.7,0.3
195209,53.5,-2.5
195210,38.8,-5.2
195211,34.9,0.6
195212,27.6,0.7
195301,30.2,5.2
195302,29.9,3.8
195303,35.0,1.7
195304,41.9,0.2
195305,56.6,5.6
195306,60.7,1.2
195307,63.4,-0.4
195308,61.1,-1.3
195309,53.5,-2.5
195310,44.0,0.0
195311,32.0,-2.3
195312,27.9,1.0
195401,25.3,0.3
195402,29.6,3.5
195403,32.5,-0.8
195404,45.8,4.1
195405,47.8,-3.2
195406,58.5,-1.0
195407,62.0,-1.8
195408,62.4,0.0
195409,56.0,0.0
195410,45.7,1.7
195411,32.3,-2.0
195412,25.4,-1.5
195501,23.4,-1.6
195502,25.3,-0.8
195503,35.8,2.5
195504,45.4,3.7
195505,52.4,1.4
195506,54.6,-4.9
195507,66.8,3.0
195508,65.8,3.4
195509,57.6,1.6
195510,43.8,-0.2
195511,30.9,-3.4
195512,22.0,-4.9
195601,23.4,-1.6
195602,30.6,4.5
195603,31.8,-1.5
195604,40.0,-1.7
195605,50.3,-0.7
195606,58.7,-0.8
195607,63.7,-0.1
195608,61.5,-0.9
195609,54.0,-2.0
195610,48.4,4.4
195611,33.8,-0.5
195612,35.4,8.5
195701,24.5,-0.5
195702,31.5,5.4
195703,33.7,0.4
195704,45.2,3.5
195705,52.6,1.6
195706,62.0,2.5
195707,61.9,-1.9
195708,59.6,-2.8
195709,59.0,3.0
195710,41.2,-2.8
195711,36.3,2.0
195712,29.5,2.6
195801,21.6,-3.4
195802,20.3,-5.8
195803,31.1,-2.2
195804,42.8,1.1
195805,51.4,0.4
195806,57.7,-1.8
195807,66.1,2.3
195808,62.3,-0.1
195809,53.3,-2.7
195810,43.1,-0.9
195811,36.3,2.0
195812,20.8,-6.1
195901,22.4,-2.6
195902,26.9,0.8
195903,30.7,-2.6
195904,43.6,1.9
195905,54.7,3.7
195906,58.4,-1.1
195907,64.6,0.8
195908,64.9,2.5
195909,56.4,0.4
195910,48.2,4.2
195911,33.2,-1.1
195912,28.9,2.0
196001,27.6,2.6
196002,25.8,-0.3
196003,21.8,-11.5
196004,44.2,2.5
196005,49.4,-1.6
196006,59.0,-0.5
196007,62.1,-1.7
196008,64.6,2.2
196009,57.4,1.4
196010,45.7,1.7
196011,33.2,-1.1
196012,19.0,-7.9
196101,18.6,-6.4
196102,28.5,2.4
196103,36.6,3.3
196104,38.5,-3.2
196105,47.5,-3.5
196106,57.8,-1.7
196107,63.0,-0.8
196108,63.2,0.8
196109,58.8,2.8
196110,42.5,-1.5
196111,38.0,3.7
196112,26.4,-0.5
196201,23.4,-1.6
196202,27.1,1.0
196203,31.0,-2.3
196204,40.6,-1.1
196205,54.7,3.7
196206,59.3,-0.2
196207,61.0,-2.8
196208,60.6,-1.8
196209,52.9,-3.1
196210,45.5,1.5
196211,33.2,-1.1
196212,21.8,-5.1
196301,19.9,-5.1
196302,18.4,-7.7
196303,35.2,1.9
196304,42.0,0.3
196305,49.4,-1.6
196306,58.1,-1.4
196307,61.0,-2.8
196308,60.1,-2.3
196309,51.9,-4.1
196310,42.2,-1.8
196311,35.6,1.3
196312,19.4,-7.5
196401,23.4,-1.6
196402,23.5,-2.6
196403,32.9,-0.4
196404,42.5,0.8
196405,51.6,0.6
196406,59.0,-0.5
196407,63.2,-0.6
196408,60.6,-1.8
196409,53.6,-2.4
196410,39.1,-4.9
196411,35.4,1.1
196412,29.8,2.9
196501,23.3,-1.7
196502,24.2,-1.9
196503,30.4,-2.9
196504,41.5,-0.2
196505,54.7,3.7
196506,57.7,-1.8
196507,62.8,-1.0
196508,61.4,-1.0
196509,57.3,1.3
196510,41.1,-2.9
196511,34.9,0.6
196512,27.6,0.7
196601,20.7,-4.3
196602,25.2,-0.9
196603,32.4,-0.9
196604,40.2,-1.5
196605,49.8,-1.2
196606,56.7,-2.8
196607,62.8,-1.0
196608,62.0,-0.4
196609,53.8,-2.2
196610,40.3,-3.7
196611,33.7,-0.6
196612,26.1,-0.8
196701,27.6,2.6
196702,22.0,-4.1
196703,33.0,-0.3
196704,43.1,1.4
196705,46.2,-4.8
196706,57.1,-2.4
196707,62.3,-1.5
196708,61.1,-1.3
196709,49.9,-6.1
196710,41.3,-2.7
196711,30.0,-4.3
196712,29.0,2.1
196801,19.9,-5.1
196802,18.6,-7.5
196803,33.8,0.5
196804,41.8,0.1
196805,48.4,-2.6
196806,58.6,-0.9
196807,63.7,-0.1
196808,63.5,1.1
196809,53.0,-3.0
196810,45.4,1.4
196811,36.3,2.0
196812,24.2,-2.7
196901,22.0,-3.0
196902,26.9,0.8
196903,28.2,-5.1
196904,43.2,1.5
196905,50.4,-0.6
196906,61.0,1.5
196907,65.1,1.3
196908,61.0,-1.4
196909,54.4,-1.6
196910,43.0,-1.0
196911,32.1,-2.2
196912,25.0,-1.9
197001,18.1,-6.9
197002,24.4,-1.7
197003,30.9,-2.4
197004,42.2,0.5
197005,52.2,1.2
197006,59.2,-0.3
197007,63.3,-0.5
197008,62.5,0.1
197009,58.6,2.6
197010,47.5,3.5
197011,35.8,1.5
197012,28.3,1.4
197101,22.2,-2.8
197102,25.4,-0.7
197103,30.1,-3.2
197104,37.0,-4.7
197105,48.3,-2.7
197106,61.2,1.7
197107,62.6,-1.2
197108,61.0,-1.4
197109,59.5,3.5
197110,53.0,9.0
197111,34.2,-0.1
197112,34.7,7.8
197201,27.9,2.9
197202,24.7,-1.4
197203,33.1,-0.2
197204,40.3,-1.4
197205,50.3,-0.7
197206,55.7,-3.8
197207,63.5,-0.3
197208,61.4,-1.0
197209,56.7,0.7
197210,42.3,-1.7
197211,34.2,-0.1
197212,33.4,6.5
197301,24.5,-0.5
