West Virginia, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,17.2,-4.0
189502,11.0,-11.4
189503,28.3,-1.7
189504,39.7,1.3
189505,46.7,-0.9
189506,56.5,0.3
189507,57.5,-2.9
189508,59.5,0.4
189509,56.0,3.5
189510,32.3,-8.6
189511,31.4,0.1
189512,24.9,1.0
189601,22.5,1.3
189602,23.3,0.9
189603,24.6,-5.4
189604,45.2,6.8
189605,55.0,7.4
189606,57.3,1.1
189607,62.7,2.3
189608,59.9,0.8
189609,52.3,-0.2
189610,38.4,-2.5
189611,36.3,5.0
189612,23.6,-0.3
189701,17.3,-3.9
189702,26.3,3.9
189703,34.1,4.1
189704,38.4,0.0
189705,45.2,-2.4
189706,56.0,-0.2
189707,62.6,2.2
189708,58.4,-0.7
189709,49.3,-3.2
189710,42.2,1.3
189711,32.1,0.8
189712,26.7,2.8
189801,26.5,5.3
189802,20.8,-1.6
189803,36.6,6.6
189804,35.7,-2.7
189805,50.8,3.2
189806,57.6,1.4
189807,63.2,2.8
189808,62.1,3.0
189809,54.6,2.1
189810,43.9,3.0
189811,29.7,-1.6
189812,21.0,-2.9
189901,20.4,-0.8
189902,14.6,-7.8
189903,31.3,1.3
189904,39.9,1.5
189905,51.4,3.8
189906,59.0,2.8
189907,59.6,-0.8
189908,60.1,1.0
189909,50.7,-1.8
189910,42.7,1.8
189911,32.9,1.6
189912,21.7,-2.2
190001,22.4,1.2
190002,19.4,-3.0
190003,27.6,-2.4
190004,38.5,0.1
190005,46.7,-0.9
190006,59.1,2.9
190007,61.1,0.7
190008,62.4,3.3
190009,57.3,4.8
190010,46.4,5.5
190011,34.4,3.1
190012,24.0,0.1
190101,22.9,1.7
190102,16.5,-5.9
190103,30.3,0.3
190104,35.8,-2.6
190105,48.3,0.7
190106,57.5,1.3
190107,64.4,4.0
190108,61.2,2.1
190109,51.4,-1.1
190110,38.6,-2.3
190111,26.4,-4.9
190112,20.5,-3.4
190201,19.6,-1.6
190202,16.6,-5.8
190203,30.5,0.5
190204,36.1,-2.3
190205,49.4,1.8
190206,54.3,-1.9
190207,61.1,0.7
190208,56.3,-2.8
190209,49.7,-2.8
190210,42.7,1.8
190211,37.1,5.8
190212,25.1,1.2
190301,20.4,-0.8
190302,22.4,0.0
190303,39.0,9.0
190304,38.5,0.1
190305,49.3,1.7
190306,54.0,-2.2
190307,59.2,-1.2
190308,58.8,-0.3
190309,49.3,-3.2
190310,40.3,-0.6
190311,25.5,-5.8
190312,15.2,-8.7
190401,16.1,-5.1
190402,16.8,-5.6
190403,31.4,1.4
190404,35.4,-3.0
190405,47.3,-0.3
190406,56.8,0.6
190407,58.5,-1.9
190408,56.7,-2.4
190409,52.3,-0.2
190410,37.9,-3.0
190411,27.3,-4.0
190412,21.8,-2.1
190501,15.9,-5.3
190502,15.3,-7.1
190503,33.1,3.1
190504,38.3,-0.1
190505,50.2,2.6
190506,57.4,1.2
190507,61.9,1.5
190508,59.0,-0.1
190509,52.1,-0.4
190510,41.0,0.1
190511,29.4,-1.9
190512,24.7,0.8
190601,26.4,5.2
190602,18.9,-3.5
190603,27.2,-2.8
190604,38.8,0.4
190605,47.2,-0.4
190606,58.4,2.2
190607,60.2,-0.2
190608,64.6,5.5
190609,57.9,5.4
190610,43.0,2.1
190611,31.3,0.0
190612,26.8,2.9
190701,27.7,6.5
190702,19.1,-3.3
190703,36.8,6.8
190704,33.7,-4.7
190705,44.7,-2.9
190706,52.6,-3.6
190707,60.6,0.2
190708,57.8,-1.3
190709,54.0,1.5
190710,35.5,-5.4
190711,31.3,0.0
190712,25.1,1.2
190801,18.9,-2.3
190802,20.5,-1.9
190803,35.3,5.3
190804,40.8,2.4
190805,51.1,3.5
190806,55.6,-0.6
190807,60.7,0.3
190808,58.0,-1.1
190809,48.2,-4.3
190810,39.3,-1.6
190811,28.9,-2.4
190812,25.7,1.8
190901,25.8,4.6
190902,28.3,5.9
190903,29.5,-0.5
190904,39.0,0.6
190905,46.7,-0.9
190906,59.5,3.3
190907,57.3,-3.1
190908,57.8,-1.3
190909,50.8,-1.7
190910,35.4,-5.5
190911,34.4,3.1
190912,18.4,-5.5
191001,21.9,0.7
191002,20.5,-1.9
191003,33.8,3.8
191004,39.2,0.8
191005,44.4,-3.2
191006,54.2,-2.0
191007,61.9,1.5
191008,56.8,-2.3
191009,56.0,3.5
191010,44.1,3.2
191011,27.3,-4.0
191012,18.4,-5.5
191101,26.1,4.9
191102,27.6,5.2
191103,28.7,-1.3
191104,37.3,-1.1
191105,49.0,1.4
191106,57.1,0.9
191107,58.4,-2.0
191108,60.7,1.6
191109,57.3,4.8
191110,45.3,4.4
191111,29.1,-2.2
191112,28.7,4.8
191201,12.7,-8.5
191202,15.8,-6.6
191203,28.8,-1.2
191204,40.9,2.5
191205,48.7,1.1
191206,53.2,-3.0
191207,61.3,0.9
191208,58.1,-1.0
191209,56.1,3.6
191210,40.9,0.0
191211,29.4,-1.9
191212,23.0,-0.9
191301,27.6,6.4
191302,21.4,-1.0
191303,33.1,3.1
191304,38.7,0.3
191305,46.9,-0.7
191306,55.2,-1.0
191307,61.2,0.8
191308,59.5,0.4
191309,50.8,-1.7
191310,43.1,2.2
191311,31.7,0.4
191312,26.2,2.3
191401,25.4,4.2
191402,17.0,-5.4
191403,25.6,-4.4
191404,38.8,0.4
191405,46.2,-1.4
191406,57.2,1.0
191407,58.8,-1.6
191408,58.3,-0.8
191409,48.9,-3.6
191410,45.4,4.5
191411,28.2,-3.1
191412,21.1,-2.8
191501,21.8,0.6
191502,26.6,4.2
191503,24.0,-6.0
191504,38.9,0.5
191505,48.1,0.5
191506,54.2,-2.0
191507,59.1,-1.3
191508,58.2,-0.9
191509,54.7,2.2
191510,43.2,2.3
191511,31.4,0.1
191512,23.5,-0.4
191601,25.6,4.4
191602,20.7,-1.7
191603,26.3,-3.7
191604,37.8,-0.6
191605,50.0,2.4
191606,52.6,-3.6
191607,62.2,1.8
191608,60.5,1.4
191609,48.4,-4.1
191610,37.7,-3.2
191611,29.0,-2.3
