Wisconsin, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,-2.6,-5.7
189502,-2.8,-8.8
189503,14.1,-4.1
189504,33.7,2.3
189505,43.0,0.7
189506,53.3,1.1
189507,52.7,-4.4
189508,54.0,-0.8
189509,49.9,3.1
189510,27.7,-8.5
189511,20.1,-3.3
189512,12.5,2.5
189601,6.5,3.4
189602,7.7,1.7
189603,13.0,-5.2
189604,35.6,4.2
189605,49.6,7.3
189606,52.6,0.4
189607,56.4,-0.7
189608,55.0,0.2
189609,43.2,-3.6
189610,30.5,-5.7
189611,16.8,-6.6
189612,14.2,4.2
189701,3.9,0.8
189702,10.4,4.4
189703,14.4,-3.8
189704,31.9,0.5
189705,39.7,-2.6
189706,49.9,-2.3
189707,59.6,2.5
189708,51.6,-3.2
189709,50.9,4.1
189710,38.8,2.6
189711,18.6,-4.8
189712,4.1,-5.9
189801,9.4,6.3
189802,8.9,2.9
189803,22.1,3.9
189804,30.1,-1.3
189805,42.2,-0.1
189806,53.4,1.2
189807,56.5,-0.6
189808,53.6,-1.2
189809,48.6,1.8
189810,35.1,-1.1
189811,20.0,-3.4
189812,2.7,-7.3
189901,0.3,-2.8
189902,-5.6,-11.6
189903,6.4,-11.8
189904,32.8,1.4
189905,42.9,0.6
189906,52.9,0.7
189907,56.7,-0.4
189908,56.6,1.8
189909,43.4,-3.4
189910,38.5,2.3
189911,28.4,5.0
189912,9.8,-0.2
190001,10.9,7.8
190002,-3.9,-9.9
190003,12.5,-5.7
190004,34.3,2.9
190005,43.6,1.3
190006,50.9,-1.3
190007,55.8,-1.3
190008,61.6,6.8
190009,48.8,2.0
190010,44.0,7.8
190011,20.3,-3.1
190012,13.6,3.6
190101,4.7,1.6
190102,-1.6,-7.6
190103,16.8,-1.4
190104,32.6,1.2
190105,42.3,0.0
190106,53.2,1.0
190107,61.4,4.3
190108,54.7,-0.1
190109,46.1,-0.7
190110,37.0,0.8
190111,20.1,-3.3
190112,7.0,-3.0
190201,6.0,2.9
190202,3.1,-2.9
190203,23.9,5.7
190204,30.1,-1.3
190205,45.2,2.9
190206,49.1,-3.1
190207,57.9,0.8
190208,52.3,-2.5
190209,44.7,-2.1
190210,35.5,-0.7
190211,29.2,5.8
190212,8.3,-1.7
190301,3.4,0.3
190302,3.4,-2.6
190303,24.8,6.6
190304,32.1,0.7
190305,44.4,2.1
190306,47.5,-4.7
190307,55.9,-1.2
190308,52.2,-2.6
190309,45.8,-1.0
190310,35.1,-1.1
190311,18.3,-5.1
190312,0.5,-9.5
190401,-4.4,-7.5
190402,-6.8,-12.8
190403,17.2,-1.0
190404,26.6,-4.8
190405,41.6,-0.7
190406,50.8,-1.4
190407,53.6,-3.5
190408,51.1,-3.7
190409,46.2,-0.6
190410,36.4,0.2
190411,25.2,1.8
190412,7.7,-2.3
190501,-4.5,-7.6
190502,-2.4,-8.4
190503,21.6,3.4
190504,30.6,-0.8
190505,40.3,-2.0
190506,51.4,-0.8
190507,55.9,-1.2
190508,55.9,1.1
190509,49.2,2.4
190510,33.8,-2.4
190511,22.7,-0.7
190512,12.9,2.9
190601,9.3,6.2
190602,3.3,-2.7
190603,10.4,-7.8
190604,33.6,2.2
190605,40.9,-1.4
190606,51.8,-0.4
190607,54.6,-2.5
190608,57.3,2.5
190609,51.1,4.3
190610,34.8,-1.4
190611,24.7,1.3
190612,12.1,2.1
190701,1.3,-1.8
190702,4.6,-1.4
190703,21.6,3.4
190704,24.7,-6.7
190705,34.7,-7.6
190706,50.6,-1.6
190707,55.8,-1.3
190708,52.8,-2.0
190709,46.6,-0.2
190710,32.5,-3.7
190711,23.2,-0.2
190712,12.9,2.9
190801,7.0,3.9
190802,9.0,3.0
190803,19.5,1.3
190804,32.0,0.6
190805,43.5,1.2
190806,51.2,-1.0
190807,56.9,-0.2
190808,52.5,-2.3
190809,50.0,3.2
190810,37.5,1.3
190811,24.4,1.0
190812,9.7,-0.3
190901,5.8,2.7
190902,9.2,3.2
190903,17.6,-0.6
190904,27.0,-4.4
190905,40.3,-2.0
190906,52.3,0.1
190907,55.0,-2.1
190908,58.0,3.2
190909,45.7,-1.1
190910,33.0,-3.2
190911,28.2,4.8
190912,5.8,-4.2
191001,2.7,-0.4
191002,-0.2,-6.2
191003,27.9,9.7
191004,33.8,2.4
191005,37.4,-4.9
191006,51.2,-1.0
191007,55.7,-1.4
191008,54.4,-0.4
191009,45.5,-1.3
191010,37.6,1.4
191011,19.9,-3.5
191012,7.0,-3.0
191101,1.7,-1.4
191102,12.4,6.4
191103,20.9,2.7
191104,30.9,-0.5
191105,46.6,4.3
191106,56.5,4.3
191107,55.6,-1.5
191108,52.5,-2.3
191109,46.5,-0.3
191110,35.0,-1.2
191111,15.7,-7.7
191112,16.6,6.6
191201,-15.2,-18.3
191202,0.6,-5.4
191203,9.0,-9.2
191204,32.0,0.6
191205,42.9,0.6
191206,48.6,-3.6
191207,56.6,-0.5
191208,53.0,-1.8
191209,48.0,1.2
191210,36.0,-0.2
191211,24.0,0.6
191212,13.4,3.4
191301,3.4,0.3
191302,-0.4,-6.4
191303,12.3,-5.9
191304,32.8,1.4
191305,41.2,-1.1
191306,53.1,0.9
191307,55.9,-1.2
191308,55.8,1.0
191309,46.3,-0.5
191310,34.5,-1.7
191311,28.0,4.6
191312,19.1,9.1
191401,12.5,9.4
191402,-5.3,-11.3
191403,16.6,-1.6
191404,29.9,-1.5
191405,44.4,2.1
191406,51.6,-0.6
191407,58.5,1.4
191408,53.8,-1.0
191409,46.9,0.1
191410,40.3,4.1
191411,22.9,-0.5
191412,3.7,-6.3
191501,1.2,-1.9
191502,15.8,9.8
191503,16.5,-1.7
191504,38.4,7.0
191505,39.3,-3.0
191506,47.4,-4.8
191507,53.0,-4.1
191508,48.6,-6.2
191509,47.1,0.3
191510,36.8,0.6
191511,24.9,1.5
191512,11.9,1.9
191601,2.7,-0.4
191602,1.5,-4.5
191603,12.2,-6.0
191604,31.2,-0.2
191605,41.5,-0.8
191606,48.7,-3.5
191607,61.8,4.7
191608,55.7,0.9
191609,44.9,-1.9
191610,34.8,-1.4
191611,21.2,-2.2
191612,2.2,-7.8
191701,-4.3,-7.4
191702,-7.1,-13.1
191703,16.2,-2.0
191704,28.9,-2.5
191705,36.0,-6.3
191706,47.9,-4.3
191707,57.2,0.1
191708,50.8,-4.0
191709,43.9,-2.9
191710,28.1,-8.1
191711,25.4,2.0
191712,1.1,-8.9
191801,-7.3,-10.4
191802,2.2,-3.8
191803,21.7,3.5
191804,26.8,-4.6
191805,44.8,2.5
191806,51.2,-1.0
191807,54.6,-2.5
191808,55.4,0.6
191809,39.4,-7.4
191810,37.0,0.8
191811,27.5,4.1
191812,20.0,10.0
191901,11.4,8.3
191902,9.0,3.0
191903,18.6,0.4
191904,32.3,0.9
191905,40.8,-1.5
191906,58.0,5.8
191907,58.3,1.2
191908,53.1,-1.7
191909,48.4,1.6
191910,34.7,-1.5
191911,19.8,-3.6
191912,-0.8,-10.8
192001,-5.2,-8.3
192002,3.8,-2.2
192003,17.8,-0.4
192004,26.5,-4.9
192005,40.0,-2.3
192006,53.4,1.2
192007,53.8,-3.3
192008,51.2,-3.6
192009,48.6,1.8
192010,40.9,4.7
192011,23.6,0.2
192012,15.2,5.2
192101,12.3,9.2
192102,12.2,6.2
192103,22.7,4.5
192104,36.0,4.6
192105,45.3,3.0
192106,57.3,5.1
192107,62.4,5.3
192108,54.6,-0.2
192109,50.5,3.7
192110,37.7,1.5
192111,19.6,-3.8
192112,10.8,0.8
192201,-0.8,-3.9
192202,1.8,-4.2
192203,19.6,1.4
192204,31.9,0.5
192205,48.5,6.2
192206,53.6,1.4
192207,55.1,-2.0
192208,54.9,0.1
192209,48.6,1.8
192210,36.9,0.7
192211,30.8,7.4
192212,7.2,-2.8
192301,7.0,3.9
192302,-3.4,-9.4
192303,8.4,-9.8
192304,28.0,-3.4
192305,40.4,-1.9
192306,55.9,3.7
192307,58.3,1.2
192308,51.5,-3.3
192309,47.4,0.6
192310,33.0,-3.2
192311,26.0,2.6
192312,19.9,9.9
192401,-7.2,-10.3
192402,9.1,3.1
192403,17.4,-0.8
192404,30.7,-0.7
192405,36.5,-5.8
192406,48.9,-3.3
192407,53.2,-3.9
192408,52.9,-1.9
192409,42.8,-4.0
192410,39.3,3.1
192411,22.5,-0.9
192412,0.2,-9.8
192501,2.9,-0.2
192502,9.4,3.4
192503,19.6,1.4
192504,34.4,3.0
192505,36.5,-5.8
192506,53.6,1.4
192507,55.7,-1.4
