Wyoming, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,3.1,-4.8
189502,2.2,-8.8
189503,13.7,-3.9
189504,27.7,1.1
189505,33.9,-1.7
189506,39.5,-4.1
189507,46.4,-3.5
189508,46.8,-1.3
189509,36.8,-2.1
189510,27.3,-2.0
189511,13.6,-4.4
189512,5.9,-4.5
189601,9.8,1.9
189602,12.2,1.2
189603,13.4,-4.2
189604,25.0,-1.6
189605,34.0,-1.6
189606,44.2,0.6
189607,49.9,0.0
189608,46.7,-1.4
189609,37.3,-1.6
189610,26.9,-2.4
189611,8.7,-9.3
189612,16.4,6.0
189701,4.0,-3.9
189702,8.7,-2.3
189703,10.2,-7.4
189704,26.4,-0.2
189705,37.8,2.2
189706,43.0,-0.6
189707,45.9,-4.0
189708,47.2,-0.9
189709,41.9,3.0
189710,30.9,1.6
189711,17.4,-0.6
189712,4.5,-5.9
189801,1.4,-6.5
189802,13.1,2.1
189803,14.0,-3.6
189804,26.9,0.3
189805,36.4,0.8
189806,42.9,-0.7
189807,48.5,-1.4
189808,48.8,0.7
189809,36.2,-2.7
189810,26.1,-3.2
189811,13.1,-4.9
189812,1.8,-8.6
189901,10.4,2.5
189902,-2.2,-13.2
189903,12.4,-5.2
189904,26.7,0.1
189905,33.2,-2.4
189906,40.8,-2.8
189907,48.0,-1.9
189908,44.8,-3.3
189909,38.2,-0.7
189910,28.1,-1.2
189911,20.4,2.4
189912,6.4,-4.0
190001,14.0,6.1
190002,8.0,-3.0
190003,20.2,2.6
190004,29.8,3.2
190005,38.0,2.4
190006,46.8,3.2
190007,49.4,-0.5
190008,48.9,0.8
190009,39.4,0.5
190010,30.6,1.3
190011,18.8,0.8
190012,15.9,5.5
190101,10.4,2.5
190102,6.4,-4.6
190103,18.1,0.5
190104,27.4,0.8
190105,40.9,5.3
190106,42.6,-1.0
190107,52.3,2.4
190108,51.0,2.9
190109,37.2,-1.7
190110,32.2,2.9
190111,21.1,3.1
190112,11.8,1.4
190201,7.4,-0.5
190202,15.1,4.1
190203,17.8,0.2
190204,25.8,-0.8
190205,37.0,1.4
190206,43.0,-0.6
190207,46.6,-3.3
190208,47.0,-1.1
190209,36.1,-2.8
190210,28.8,-0.5
190211,17.9,-0.1
190212,9.3,-1.1
190301,10.1,2.2
190302,-2.4,-13.4
190303,15.2,-2.4
190304,25.7,-0.9
190305,33.7,-1.9
190306,44.1,0.5
190307,47.8,-2.1
190308,47.6,-0.5
190309,36.1,-2.8
190310,28.9,-0.4
190311,16.4,-1.6
190312,11.9,1.5
190401,8.3,0.4
190402,11.5,0.5
190403,18.7,1.1
190404,27.2,0.6
190405,36.3,0.7
190406,41.5,-2.1
190407,47.5,-2.4
190408,47.5,-0.6
190409,37.9,-1.0
190410,30.4,1.1
190411,19.1,1.1
190412,11.7,1.3
190501,10.4,2.5
190502,3.0,-8.0
190503,23.9,6.3
190504,26.6,0.0
190505,33.9,-1.7
190506,42.9,-0.7
190507,48.8,-1.1
190508,49.2,1.1
190509,38.5,-0.4
190510,24.7,-4.6
190511,19.0,1.0
190512,7.4,-3.0
190601,10.0,2.1
190602,11.8,0.8
190603,9.6,-8.0
190604,28.1,1.5
190605,35.6,0.0
190606,41.0,-2.6
190607,47.7,-2.2
190608,48.4,0.3
190609,39.5,0.6
190610,28.6,-0.7
190611,16.8,-1.2
190612,17.1,6.7
190701,6.0,-1.9
190702,16.9,5.9
190703,23.7,6.1
190704,25.3,-1.3
190705,32.6,-3.0
190706,40.7,-2.9
190707,48.5,-1.4
190708,45.8,-2.3
190709,38.3,-0.6
190710,30.7,1.4
190711,16.8,-1.2
190712,10.7,0.3
190801,8.2,0.3
190802,9.7,-1.3
190803,17.2,-0.4
190804,27.0,0.4
190805,33.5,-2.1
190806,41.3,-2.3
190807,49.2,-0.7
190808,46.5,-1.6
190809,39.5,0.6
190810,27.5,-1.8
190811,15.8,-2.2
190812,9.1,-1.3
190901,9.5,1.6
190902,10.0,-1.0
190903,17.1,-0.5
190904,21.6,-5.0
190905,32.1,-3.5
190906,44.7,1.1
190907,50.2,0.3
190908,50.9,2.8
190909,40.8,1.9
190910,28.5,-0.8
190911,21.1,3.1
190912,-0.1,-10.5
191001,6.4,-1.5
191002,4.2,-6.8
191003,26.2,8.6
191004,29.8,3.2
191005,35.0,-0.6
191006,44.4,0.8
191007,51.2,1.3
191008,45.0,-3.1
191009,39.8,0.9
191010,30.6,1.3
191011,22.0,4.0
191012,12.8,2.4
191101,11.9,4.0
191102,7.1,-3.9
191103,21.4,3.8
191104,24.7,-1.9
191105,35.5,-0.1
191106,46.9,3.3
191107,47.6,-2.3
191108,45.0,-3.1
191109,39.8,0.9
191110,26.0,-3.3
191111,13.5,-4.5
191112,5.8,-4.6
191201,7.2,-0.7
191202,11.5,0.5
191203,8.8,-8.8
191204,26.0,-0.6
191205,34.0,-1.6
191206,43.0,-0.6
191207,49.0,-0.9
191208,46.7,-1.4
191209,34.5,-4.4
191210,27.8,-1.5
191211,20.9,2.9
191212,9.2,-1.2
191301,5.9,-2.0
191302,1.7,-9.3
191303,13.9,-3.7
191304,28.3,1.7
191305,37.0,1.4
191306,45.8,2.2
191307,49.0,-0.9
191308,49.8,1.7
191309,39.0,0.1
191310,27.1,-2.2
191311,22.3,4.3
191312,5.4,-5.0
191401,13.3,5.4
191402,8.4,-2.6
191403,18.3,0.7
191404,29.1,2.5
191405,37.0,1.4
191406,44.0,0.4
191407,51.1,1.2
191408,47.4,-0.7
191409,38.6,-0.3
191410,31.7,2.4
191411,19.3,1.3
191412,1.5,-8.9
191501,5.8,-2.1
191502,14.6,3.6
191503,16.2,-1.4
191504,33.9,7.3
191505,34.5,-1.1
191506,39.9,-3.7
191507,46.3,-3.6
191508,46.7,-1.4
191509,38.2,-0.7
191510,30.1,0.8
191511,20.4,2.4
191512,11.2,0.8
191601,-1.5,-9.4
191602,11.8,0.8
191603,21.6,4.0
191604,26.6,0.0
191605,31.5,-4.1
191606,40.1,-3.5
191607,50.6,0.7
191608,46.9,-1.2
191609,35.8,-3.1
191610,26.9,-2.4
191611,12.7,-5.3
191612,3.4,-7.0
191701,1.8,-6.1
191702,8.2,-2.8
191703,8.6,-9.0
191704,23.3,-3.3
191705,32.5,-3.1
191706,39.7,-3.9
191707,51.4,1.5
191708,44.3,-3.8
191709,39.8,0.9
191710,25.6,-3.7
191711,23.4,5.4
191712,14.7,4.3
191801,4.6,-3.3
191802,9.1,-1.9
191803,22.4,4.8
191804,23.3,-3.3
191805,33.8,-1.8
191806,48.3,4.7
191807,49.5,-0.4
191808,46.3,-1.8
191809,39.2,0.3
191810,33.0,3.7
191811,15.0,-3.0
191812,12.1,1.7
191901,10.4,2.5
191902,9.4,-1.6
191903,17.7,0.1
191904,27.6,1.0
191905,35.7,0.1
191906,44.9,1.3
191907,52.5,2.6
191908,47.9,-0.2
191909,41.9,3.0
191910,23.1,-6.2
191911,13.1,-4.9
191912,3.9,-6.5
192001,11.8,3.9
192002,12.1,1.1
192003,16.0,-1.6
192004,21.9,-4.7
192005,35.8,0.2
192006,42.3,-1.3
192007,49.4,-0.5
192008,46.7,-1.4
192009,39.0,0.1
192010,29.1,-0.2
192011,15.6,-2.4
192012,11.0,0.6
192101,11.7,3.8
192102,13.7,2.7
192103,21.2,3.6
192104,24.6,-2.0
192105,37.2,1.6
192106,46.9,3.3
