Colorado, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,9.6,-1.5
189502,5.2,-9.1
189503,17.4,-3.1
189504,28.3,-0.6
189505,36.7,-1.2
189506,43.0,-3.3
189507,48.8,-3.4
189508,49.8,-0.9
189509,41.8,-0.7
189510,30.0,-2.0
189511,16.1,-4.3
189512,8.0,-4.8
189601,13.6,2.5
189602,12.9,-1.4
189603,18.4,-2.1
189604,28.8,-0.1
189605,38.1,0.2
189606,47.5,1.2
189607,53.0,0.8
189608,50.5,-0.2
189609,42.9,0.4
189610,30.2,-1.8
189611,15.1,-5.3
189612,14.5,1.7
189701,8.8,-2.3
189702,12.6,-1.7
189703,17.5,-3.0
189704,28.8,-0.1
189705,40.6,2.7
189706,45.3,-1.0
189707,49.5,-2.7
189708,48.9,-1.8
189709,46.4,3.9
189710,32.8,0.8
189711,20.8,0.4
189712,8.4,-4.4
189801,6.3,-4.8
189802,14.4,0.1
189803,16.4,-4.1
189804,29.6,0.7
189805,36.6,-1.3
189806,46.7,0.4
189807,52.1,-0.1
189808,51.1,0.4
189809,38.8,-3.7
189810,28.2,-3.8
189811,15.8,-4.6
189812,4.8,-8.0
189901,8.3,-2.8
189902,3.6,-10.7
189903,18.7,-1.8
189904,28.2,-0.7
189905,35.9,-2.0
189906,45.1,-1.2
189907,51.6,-0.6
189908,49.5,-1.2
189909,42.4,-0.1
189910,31.3,-0.7
189911,23.5,3.1
189912,10.4,-2.4
190001,15.9,4.8
190002,11.5,-2.8
190003,21.9,1.4
190004,28.7,-0.2
190005,39.0,1.1
190006,47.2,0.9
190007,50.2,-2.0
190008,47.9,-2.8
190009,41.2,-1.3
190010,32.4,0.4
190011,20.4,0.0
190012,12.9,0.1
190101,11.1,0.0
190102,11.5,-2.8
190103,17.9,-2.6
190104,27.2,-1.7
190105,39.1,1.2
190106,45.3,-1.0
190107,53.4,1.2
190108,51.8,1.1
190109,40.4,-2.1
190110,32.7,0.7
190111,21.6,1.2
190112,12.8,0.0
190201,10.8,-0.3
190202,15.9,1.6
190203,18.6,-1.9
190204,28.8,-0.1
190205,38.7,0.8
190206,46.1,-0.2
190207,48.4,-3.8
190208,50.6,-0.1
190209,38.8,-3.7
190210,32.1,0.1
190211,21.4,1.0
190212,11.7,-1.1
190301,11.9,0.8
190302,2.6,-11.7
190303,18.8,-1.7
190304,28.3,-0.6
190305,34.9,-3.0
190306,45.0,-1.3
190307,50.8,-1.4
190308,49.8,-0.9
190309,39.5,-3.0
190310,30.4,-1.6
190311,19.4,-1.0
190312,10.9,-1.9
190401,7.1,-4.0
190402,16.7,2.4
190403,22.3,1.8
190404,28.6,-0.3
190405,37.6,-0.3
190406,43.9,-2.4
190407,48.8,-3.4
190408,50.1,-0.6
190409,42.5,0.0
190410,31.8,-0.2
190411,18.1,-2.3
190412,12.9,0.1
190501,12.2,1.1
190502,8.5,-5.8
190503,26.6,6.1
190504,29.0,0.1
190505,36.6,-1.3
190506,47.0,0.7
190507,49.4,-2.8
190508,50.4,-0.3
190509,43.5,1.0
190510,27.6,-4.4
190511,22.4,2.0
190512,7.3,-5.5
190601,11.6,0.5
190602,14.3,0.0
190603,17.3,-3.2
190604,30.6,1.7
190605,37.6,-0.3
190606,43.9,-2.4
190607,49.2,-3.0
190608,48.6,-2.1
190609,42.3,-0.2
190610,29.4,-2.6
190611,21.0,0.6
190612,19.4,6.6
190701,15.8,4.7
190702,20.4,6.1
190703,26.3,5.8
190704,28.2,-0.7
190705,33.9,-4.0
190706,43.2,-3.1
190707,51.0,-1.2
190708,50.5,-0.2
190709,41.7,-0.8
190710,33.7,1.7
190711,18.0,-2.4
190712,13.6,0.8
190801,11.0,-0.1
190802,13.6,-0.7
190803,22.6,2.1
190804,28.8,-0.1
190805,34.5,-3.4
190806,43.7,-2.6
190807,50.9,-1.3
190808,50.2,-0.5
190809,41.9,-0.6
190810,29.6,-2.4
190811,17.7,-2.7
190812,10.6,-2.2
190901,16.3,5.2
190902,12.8,-1.5
190903,19.7,-0.8
190904,26.0,-2.9
190905,34.5,-3.4
190906,46.0,-0.3
190907,52.9,0.7
190908,53.2,2.5
190909,42.7,0.2
190910,31.7,-0.3
190911,22.6,2.2
190912,3.9,-8.9
191001,11.3,0.2
191002,10.2,-4.1
191003,26.2,5.7
191004,30.1,1.2
191005,37.2,-0.7
191006,46.3,0.0
191007,52.1,-0.1
191008,50.1,-0.6
191009,44.4,1.9
191010,31.6,-0.4
191011,24.7,4.3
191012,15.5,2.7
191101,17.6,6.5
191102,13.8,-0.5
191103,24.8,4.3
191104,29.1,0.2
191105,38.0,0.1
191106,47.8,1.5
191107,51.9,-0.3
191108,48.6,-2.1
191109,45.4,2.9
191110,30.2,-1.8
191111,16.6,-3.8
191112,6.8,-6.0
191201,8.7,-2.4
191202,13.5,-0.8
191203,17.3,-3.2
191204,26.8,-2.1
191205,36.9,-1.0
191206,44.2,-2.1
191207,51.2,-1.0
191208,49.2,-1.5
191209,37.1,-5.4
191210,30.4,-1.6
191211,19.7,-0.7
191212,7.5,-5.3
191301,6.2,-4.9
191302,8.8,-5.5
191303,17.7,-2.8
191304,28.8,-0.1
191305,38.4,0.5
191306,46.5,0.2
191307,51.0,-1.2
191308,51.5,0.8
191309,40.2,-2.3
191310,29.2,-2.8
191311,25.1,4.7
191312,6.7,-6.1
191401,15.0,3.9
191402,10.4,-3.9
191403,19.8,-0.7
191404,30.8,1.9
191405,39.6,1.7
191406,47.5,1.2
191407,53.0,0.8
191408,49.9,-0.8
191409,43.1,0.6
191410,33.0,1.0
191411,20.2,-0.2
191412,7.2,-5.6
191501,7.1,-4.0
191502,15.6,1.3
191503,18.0,-2.5
191504,34.0,5.1
191505,35.3,-2.6
191506,43.7,-2.6
191507,49.5,-2.7
191508,47.3,-3.4
191509,42.3,-0.2
191510,30.7,-1.3
191511,20.7,0.3
191512,13.2,0.4
191601,10.1,-1.0
191602,14.7,0.4
191603,23.8,3.3
191604,28.7,-0.2
191605,35.3,-2.6
191606,43.3,-3.0
191607,52.7,0.5
191608,50.5,-0.2
191609,39.9,-2.6
191610,31.7,-0.3
191611,16.1,-4.3
191612,8.3,-4.5
191701,6.7,-4.4
191702,13.8,-0.5
191703,13.9,-6.6
191704,26.0,-2.9
191705,33.9,-4.0
191706,43.0,-3.3
191707,52.2,0.0
191708,47.8,-2.9
191709,42.7,0.2
191710,28.2,-3.8
191711,23.3,2.9
191712,16.0,3.2
191801,6.5,-4.6
191802,13.6,-0.7
191803,24.8,4.3
191804,26.5,-2.4
191805,36.6,-1.3
191806,49.9,3.6
191807,51.6,-0.6
191808,49.7,-1.0
191809,41.3,-1.2
191810,35.5,3.5
191811,17.2,-3.2
191812,11.3,-1.5
191901,5.3,-5.8
191902,10.3,-4.0
191903,20.2,-0.3
191904,30.4,1.5
191905,37.8,-0.1
191906,44.5,-1.8
191907,54.1,1.9
191908,50.6,-0.1
191909,46.0,3.5
191910,29.4,-2.6
191911,17.8,-2.6
191912,8.8,-4.0
192001,13.0,1.9
192002,16.6,2.3
192003,18.0,-2.5
192004,23.5,-5.4
192005,38.6,0.7
192006,45.9,-0.4
192007,50.8,-1.4
192008,47.9,-2.8
192009,40.9,-1.6
192010,31.5,-0.5
192011,19.9,-0.5
192012,11.4,-1.4
192101,15.2,4.1
192102,15.9,1.6
192103,24.0,3.5
192104,26.4,-2.5
192105,38.4,0.5
192106,47.3,1.0
192107,52.6,0.4
192108,50.9,0.2
192109,41.8,-0.7
192110,33.9,1.9
192111,21.5,1.1
192112,18.1,5.3
192201,5.8,-5.3
192202,11.7,-2.6
192203,17.9,-2.6
192204,27.3,-1.6
192205,37.0,-0.9
192206,47.4,1.1
192207,50.9,-1.3
192208,52.6,1.9
192209,43.7,1.2
192210,30.4,-1.6
192211,19.4,-1.0
192212,15.6,2.8
192301,15.7,4.6
192302,9.3,-5.0
192303,14.6,-5.9
192304,28.1,-0.8
192305,37.9,0.0
192306,45.2,-1.1
192307,53.2,1.0
192308,50.1,-0.6
192309,41.1,-1.4
192310,30.2,-1.8
192311,20.7,0.3
192312,12.0,-0.8
192401,4.8,-6.3
192402,17.6,3.3
192403,14.4,-6.1
192404,26.7,-2.2
192405,34.4,-3.5
192406,45.5,-0.8
192407,50.2,-2.0
192408,48.3,-2.4
192409,39.8,-2.7
192410,32.6,0.6
192411,20.2,-0.2
192412,5.7,-7.1
192501,5.0,-6.1
192502,17.3,3.0
192503,22.7,2.2
192504,30.9,2.0
192505,39.8,1.9
192506,47.5,1.2
192507,53.4,1.2
192508,50.0,-0.7
192509,44.0,1.5
192510,30.2,-1.8
192511,18.8,-1.6
192512,13.8,1.0
192601,9.6,-1.5
192602,18.3,4.0
192603,19.9,-0.6
192604,30.0,1.1
192605,39.3,1.4
192606,46.3,0.0
192607,50.9,-1.3
192608,50.1,-0.6
192609,41.9,-0.6
192610,32.1,0.1
192611,21.4,1.0
192612,11.1,-1.7
192701,13.8,2.7
192702,17.0,2.7
192703,19.3,-1.2
192704,30.0,1.1
192705,37.8,-0.1
192706,46.4,0.1
192707,51.3,-0.9
192708,48.8,-1.9
192709,43.1,0.6
192710,31.8,-0.2
192711,24.3,3.9
192712,7.1,-5.7
192801,13.6,2.5
192802,13.3,-1.0
192803,22.9,2.4
192804,26.0,-2.9
192805,39.7,1.8
192806,43.7,-2.6
192807,50.4,-1.8
192808,48.0,-2.7
192809,40.3,-2.2
192810,33.1,1.1
192811,21.2,0.8
192812,9.1,-3.7
192901,8.6,-2.5
192902,5.0,-9.3
192903,19.9,-0.6
192904,27.3,-1.6
192905,36.2,-1.7
192906,44.7,-1.6
192907,52.8,0.6
192908,51.8,1.1
192909,41.6,-0.9
192910,32.3,0.3
192911,13.9,-6.5
192912,13.9,1.1
193001,1.3,-9.8
193002,18.7,4.4
193003,17.7,-2.8
193004,33.2,4.3
193005,35.3,-2.6
193006,45.3,-1.0
193007,52.7,0.5
193008,51.4,0.7
193009,41.7,-0.8
193010,31.1,-0.9
193011,17.1,-3.3
193012,7.7,-5.1
193101,10.4,-0.7
193102,19.2,4.9
193103,17.5,-3.0
193104,28.6,-0.3
193105,35.4,-2.5
193106,48.9,2.6
193107,52.8,0.6
193108,50.1,-0.6
193109,45.9,3.4
193110,34.2,2.2
193111,17.1,-3.3
193112,9.3,-3.5
193201,6.5,-4.6
193202,18.1,3.8
193203,16.2,-4.3
193204,29.4,0.5
193205,38.6,0.7
193206,44.8,-1.5
193207,53.4,1.2
193208,51.5,0.8
193209,41.0,-1.5
193210,29.3,-2.7
193211,20.5,0.1
193212,5.0,-7.8
193301,10.4,-0.7
193302,4.2,-10.1
