Alaska, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
192501,-18.3,-13.5
192502,-12.2,-9.2
192503,2.1,0.3
192504,14.6,0.0
192505,29.1,-0.2
192506,38.5,-1.7
192507,42.0,-2.2
192508,41.3,-0.6
192509,36.1,2.5
192510,27.5,8.2
192511,9.6,4.1
192512,-4.1,-1.2
192601,9.0,13.8
192602,-4.6,-1.6
192603,12.5,10.7
192604,19.5,4.9
192605,29.0,-0.3
192606,41.5,1.3
192607,44.1,-0.1
192608,42.6,0.7
192609,37.0,3.4
192610,23.4,4.1
192611,13.0,7.5
192612,-5.5,-2.6
192701,-2.2,2.6
192702,-1.0,2.0
192703,-5.2,-7.0
192704,5.0,-9.6
192705,27.6,-1.7
192706,39.8,-0.4
192707,44.5,0.3
192708,41.1,-0.8
192709,29.3,-4.3
192710,15.0,-4.3
192711,-4.7,-10.2
192712,-3.1,-0.2
192801,0.6,5.4
192802,5.4,8.4
192803,-5.2,-7.0
192804,13.8,-0.8
192805,27.6,-1.7
192806,39.2,-1.0
192807,43.0,-1.2
192808,40.0,-1.9
192809,31.3,-2.3
192810,17.4,-1.9
192811,8.7,3.2
192812,1.4,4.3
192901,5.5,10.3
192902,5.8,8.8
192903,-4.9,-6.7
192904,12.2,-2.4
192905,28.9,-0.4
192906,40.6,0.4
192907,42.4,-1.8
192908,40.2,-1.7
192909,37.9,4.3
192910,20.0,0.7
192911,12.8,7.3
192912,-3.6,-0.7
193001,2.0,6.8
193002,-14.2,-11.2
193003,-1.6,-3.4
193004,11.8,-2.8
193005,28.5,-0.8
193006,39.1,-1.1
193007,43.6,-0.6
193008,43.0,1.1
193009,32.6,-1.0
193010,19.5,0.2
193011,0.2,-5.3
193012,4.4,7.3
193101,1.4,6.2
193102,1.9,4.9
193103,0.8,-1.0
193104,13.5,-1.1
193105,28.1,-1.2
193106,38.9,-1.3
193107,42.4,-1.8
193108,41.6,-0.3
193109,32.8,-0.8
193110,17.6,-1.7
193111,9.8,4.3
193112,-2.5,0.4
193201,-14.6,-9.8
193202,-14.7,-11.7
193203,6.6,4.8
193204,16.3,1.7
193205,27.7,-1.6
193206,37.9,-2.3
193207,42.4,-1.8
193208,40.3,-1.6
193209,31.1,-2.5
193210,21.4,2.1
193211,-2.5,-8.0
193212,-1.0,1.9
193301,-17.0,-12.2
193302,-5.8,-2.8
193303,-1.9,-3.7
193304,16.3,1.7
193305,28.4,-0.9
193306,36.4,-3.8
193307,42.4,-1.8
193308,41.1,-0.8
193309,30.9,-2.7
193310,15.0,-4.3
193311,6.2,0.7
193312,-15.4,-12.5
193401,-19.4,-14.6
193402,5.9,8.9
193403,2.3,0.5
193404,18.4,3.8
193405,27.5,-1.8
193406,38.5,-1.7
193407,41.4,-2.8
193408,41.4,-0.5
193409,33.7,0.1
193410,22.8,3.5
193411,6.5,1.0
193412,2.2,5.1
193501,-6.4,-1.6
193502,3.3,6.3
193503,1.2,-0.6
193504,15.3,0.7
193505,26.4,-2.9
193506,39.0,-1.2
193507,44.4,0.2
193508,39.2,-2.7
193509,32.5,-1.1
193510,19.7,0.4
193511,4.2,-1.3
193512,-7.1,-4.2
193601,-1.5,3.3
193602,-8.5,-5.5
193603,-2.2,-4.0
193604,13.6,-1.0
193605,30.0,0.7
193606,42.5,2.3
193607,43.6,-0.6
193608,42.8,0.9
193609,32.2,-1.4
193610,23.4,4.1
193611,8.4,2.9
193612,-7.6,-4.7
193701,7.3,12.1
193702,-9.0,-6.0
193703,-2.6,-4.4
193704,10.5,-4.1
193705,27.1,-2.2
193706,41.2,1.0
193707,43.2,-1.0
193708,40.3,-1.6
193709,35.9,2.3
193710,24.4,5.1
193711,10.7,5.2
193712,-3.6,-0.7
193801,-11.3,-6.5
193802,-8.6,-5.6
193803,2.3,0.5
193804,18.7,4.1
193805,29.0,-0.3
193806,38.5,-1.7
193807,42.3,-1.9
193808,42.2,0.3
193809,36.6,3.0
193810,27.0,7.7
193811,10.3,4.8
193812,1.5,4.4
193901,-8.5,-3.7
193902,0.0,3.0
193903,-2.8,-4.6
193904,16.8,2.2
193905,26.6,-2.7
193906,38.6,-1.6
193907,43.2,-1.0
193908,40.0,-1.9
193909,32.5,-1.1
193910,16.0,-3.3
193911,-2.8,-8.3
193912,2.0,4.9
194001,1.3,6.1
194002,1.3,4.3
194003,3.1,1.3
194004,23.5,8.9
194005,30.7,1.4
194006,39.8,-0.4
194007,43.4,-0.8
194008,40.8,-1.1
194009,34.0,0.4
194010,22.3,3.0
194011,8.2,2.7
194012,0.1,3.0
194101,-8.2,-3.4
194102,5.3,8.3
194103,5.0,3.2
194104,19.1,4.5
194105,28.8,-0.5
194106,39.8,-0.4
194107,43.0,-1.2
194108,42.9,1.0
194109,32.3,-1.3
194110,17.8,-1.5
194111,2.1,-3.4
194112,-2.3,0.6
194201,4.6,9.4
194202,11.0,14.0
194203,0.1,-1.7
194204,18.4,3.8
194205,31.5,2.2
194206,40.5,0.3
194207,43.4,-0.8
194208,43.1,1.2
194209,37.3,3.7
194210,22.1,2.8
194211,-1.0,-6.5
194212,-16.1,-13.2
194301,-15.2,-10.4
194302,1.8,4.8
194303,3.6,1.8
194304,14.3,-0.3
194305,30.7,1.4
194306,41.7,1.5
194307,44.3,0.1
194308,41.9,0.0
194309,34.2,0.6
194310,24.2,4.9
194311,12.7,7.2
194312,2.0,4.9
194401,-3.9,0.9
194402,7.4,10.4
194403,2.4,0.6
194404,11.1,-3.5
194405,30.4,1.1
194406,41.5,1.3
194407,45.4,1.2
194408,42.4,0.5
194409,33.9,0.3
194410,23.8,4.5
194411,6.1,0.6
194412,2.2,5.1
194501,7.6,12.4
194502,3.6,6.6
194503,0.5,-1.3
194504,11.5,-3.1
194505,25.0,-4.3
194506,38.4,-1.8
194507,43.6,-0.6
194508,41.8,-0.1
194509,33.8,0.2
194510,19.9,0.6
194511,-4.5,-10.0
194512,-1.7,1.2
194601,0.0,4.8
194602,-3.0,0.0
194603,-7.3,-9.1
194604,11.6,-3.0
194605,30.4,1.1
194606,41.0,0.8
194607,44.0,-0.2
194608,40.2,-1.7
194609,32.7,-0.9
194610,24.5,5.2
194611,1.2,-4.3
194612,-13.8,-10.9
194701,-17.8,-13.0
194702,-0.5,2.5
194703,3.4,1.6
194704,14.8,0.2
194705,29.8,0.5
194706,38.7,-1.5
194707,44.6,0.4
194708,39.5,-2.4
194709,32.2,-1.4
194710,18.7,-0.6
194711,11.5,6.0
194712,4.7,7.6
194801,-3.4,1.4
194802,-7.1,-4.1
194803,-1.9,-3.7
194804,13.1,-1.5
194805,27.3,-2.0
194806,40.4,0.2
194807,43.1,-1.1
194808,38.9,-3.0
194809,30.3,-3.3
194810,18.7,-0.6
194811,-1.4,-6.9
194812,-11.3,-8.4
194901,-5.1,-0.3
194902,-10.6,-7.6
194903,10.2,8.4
194904,7.6,-7.0
194905,25.5,-3.8
194906,37.0,-3.2
194907,43.5,-0.7
194908,42.2,0.3
194909,36.9,3.3
194910,22.3,3.0
194911,13.9,8.4
194912,-6.8,-3.9
195001,-2.1,2.7
195002,-16.0,-13.0
195003,7.2,5.4
195004,14.9,0.3
195005,29.0,-0.3
195006,39.8,-0.4
195007,44.9,0.7
195008,43.2,1.3
195009,34.9,1.3
195010,20.9,1.6
195011,2.0,-3.5
195012,-1.5,1.4
195101,-13.8,-9.0
195102,-6.8,-3.8
195103,-7.8,-9.6
195104,19.2,4.6
195105,30.6,1.3
195106,40.0,-0.2
195107,44.9,0.7
195108,43.5,1.6
195109,34.8,1.2
195110,16.8,-2.5
195111,11.8,6.3
195112,-4.1,-1.2
195201,-12.1,-7.3
195202,-3.5,-0.5
195203,1.7,-0.1
195204,11.0,-3.6
195205,24.7,-4.6
195206,39.0,-1.2
195207,44.2,0.0
195208,41.3,-0.6
195209,32.1,-1.5
195210,23.6,4.3
195211,15.9,10.4
195212,-0.1,2.8
195301,-11.7,-6.9
195302,-1.9,1.1
195303,-2.8,-4.6
195304,18.1,3.5
195305,31.3,2.0
195306,42.6,2.4
195307,44.4,0.2
195308,42.8,0.9
195309,33.7,0.1
195310,18.0,-1.3
195311,5.8,0.3
195312,-0.1,2.8
195401,-11.2,-6.4
195402,-15.2,-12.2
195403,3.1,1.3
195404,11.3,-3.3
195405,30.2,0.9
195406,39.5,-0.7
195407,42.7,-1.5
195408,42.8,0.9
195409,33.7,0.1
195410,23.7,4.4
195411,12.0,6.5
195412,-14.0,-11.1
195501,1.7,6.5
195502,-10.3,-7.3
195503,1.9,0.1
195504,8.7,-5.9
195505,28.3,-1.0
195506,37.6,-2.6
195507,43.9,-0.3
195508,40.4,-1.5
195509,33.6,0.0
195510,16.6,-2.7
195511,-4.3,-9.8
195512,-8.0,-5.1
195601,-13.7,-8.9
195602,-10.7,-7.7
195603,-1.6,-3.4
195604,13.6,-1.0
195605,30.7,1.4
195606,39.1,-1.1
195607,44.4,0.2
195608,42.6,0.7
195609,32.5,-1.1
195610,13.2,-6.1
195611,-4.0,-9.5
195612,-13.8,-10.9
195701,2.6,7.4
195702,-5.2,-2.2
195703,6.6,4.8
195704,19.4,4.8
195705,30.8,1.5
195706,43.0,2.8
195707,44.0,-0.2
195708,44.4,2.5
195709,34.2,0.6
195710,23.7,4.4
195711,14.7,9.2
195712,-9.5,-6.6
195801,-2.6,2.2
195802,0.2,3.2
195803,8.5,6.7
195804,18.2,3.6
195805,28.9,-0.4
195806,42.7,2.5
195807,45.6,1.4
195808,42.9,1.0
195809,33.4,-0.2
195810,13.7,-5.6
195811,4.8,-0.7
195812,-0.7,2.2
195901,-9.3,-4.5
