Delaware, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,22.4,-2.2
189502,14.8,-10.3
189503,30.2,-2.4
189504,40.7,-0.3
189505,50.6,-0.4
189506,61.8,1.7
189507,62.0,-3.4
189508,64.9,1.1
189509,59.8,2.7
189510,38.9,-6.7
189511,36.6,0.7
189512,29.2,1.8
189601,23.4,-1.2
189602,25.5,0.4
189603,27.7,-4.9
189604,43.8,2.8
189605,55.9,4.9
189606,59.8,-0.3
189607,66.5,1.1
189608,63.9,0.1
189609,56.4,-0.7
189610,43.6,-2.0
189611,40.2,4.3
189612,24.4,-3.0
189701,21.6,-3.0
189702,26.8,1.7
189703,34.0,1.4
189704,39.4,-1.6
189705,50.1,-0.9
189706,57.7,-2.4
189707,66.4,1.0
189708,62.8,-1.0
189709,55.9,-1.2
189710,47.6,2.0
189711,36.4,0.5
189712,28.6,1.2
189801,27.4,2.8
189802,25.2,0.1
189803,37.3,4.7
189804,38.6,-2.4
189805,51.3,0.3
189806,60.6,0.5
189807,68.1,2.7
189808,67.4,3.6
189809,59.8,2.7
189810,47.2,1.6
189811,33.9,-2.0
189812,26.5,-0.9
189901,22.6,-2.0
189902,17.7,-7.4
189903,32.0,-0.6
189904,39.6,-1.4
189905,50.5,-0.5
189906,62.5,2.4
189907,66.2,0.8
189908,64.5,0.7
189909,54.3,-2.8
189910,47.7,2.1
189911,34.9,-1.0
189912,26.4,-1.0
190001,24.5,-0.1
190002,22.7,-2.4
190003,27.9,-4.7
190004,40.9,-0.1
190005,50.2,-0.8
190006,61.6,1.5
190007,67.5,2.1
190008,68.1,4.3
190009,61.9,4.8
190010,51.6,6.0
190011,39.6,3.7
190012,25.7,-1.7
190101,24.7,0.1
190102,19.0,-6.1
190103,33.3,0.7
190104,40.0,-1.0
190105,50.3,-0.7
190106,60.0,-0.1
190107,69.8,4.4
190108,67.2,3.4
190109,56.7,-0.4
190110,43.5,-2.1
190111,31.0,-4.9
190112,24.3,-3.1
190201,21.8,-2.8
190202,20.4,-4.7
190203,35.0,2.4
190204,40.0,-1.0
190205,50.9,-0.1
190206,58.6,-1.5
190207,65.0,-0.4
190208,60.8,-3.0
190209,56.4,-0.7
190210,47.7,2.1
190211,41.4,5.5
190212,25.5,-1.9
190301,23.8,-0.8
190302,26.2,1.1
190303,38.8,6.2
190304,42.2,1.2
190305,50.9,-0.1
190306,57.1,-3.0
190307,63.8,-1.6
190308,63.1,-0.7
190309,55.9,-1.2
190310,46.5,0.9
190311,30.4,-5.5
190312,21.9,-5.5
190401,18.1,-6.5
190402,17.7,-7.4
190403,30.9,-1.7
190404,38.1,-2.9
190405,51.4,0.4
190406,59.3,-0.8
190407,63.9,-1.5
190408,62.7,-1.1
190409,56.3,-0.8
190410,41.4,-4.2
190411,32.3,-3.6
190412,20.4,-7.0
190501,19.1,-5.5
190502,16.2,-8.9
190503,32.8,0.2
190504,39.9,-1.1
190505,52.4,1.4
190506,59.5,-0.6
190507,66.0,0.6
190508,63.4,-0.4
190509,56.8,-0.3
190510,45.5,-0.1
190511,32.8,-3.1
190512,28.2,0.8
190601,30.4,5.8
190602,22.8,-2.3
190603,29.2,-3.4
190604,40.6,-0.4
190605,50.6,-0.4
190606,62.5,2.4
190607,65.6,0.2
190608,68.5,4.7
190609,61.2,4.1
190610,48.0,2.4
190611,35.1,-0.8
190612,27.4,0.0
190701,26.0,1.4
190702,18.5,-6.6
190703,33.5,0.9
190704,35.9,-5.1
190705,46.8,-4.2
190706,55.0,-5.1
190707,65.4,0.0
190708,62.5,-1.3
190709,59.4,2.3
190710,39.4,-6.2
190711,35.7,-0.2
190712,29.3,1.9
190801,24.4,-0.2
190802,22.1,-3.0
190803,35.4,2.8
190804,41.5,0.5
190805,53.6,2.6
190806,59.0,-1.1
190807,67.0,1.6
190808,62.4,-1.4
190809,55.0,-2.1
190810,47.2,1.6
190811,33.5,-2.4
190812,27.2,-0.2
190901,26.9,2.3
190902,31.4,6.3
190903,30.8,-1.8
190904,41.5,0.5
190905,50.7,-0.3
190906,61.7,1.6
190907,61.9,-3.5
190908,60.7,-3.1
190909,55.1,-2.0
190910,40.1,-5.5
190911,37.6,1.7
190912,21.9,-5.5
191001,23.5,-1.1
191002,24.6,-0.5
191003,35.9,3.3
191004,43.5,2.5
191005,49.6,-1.4
191006,58.4,-1.7
191007,65.7,0.3
191008,62.6,-1.2
191009,58.8,1.7
191010,47.4,1.8
191011,31.8,-4.1
191012,20.6,-6.8
191101,28.0,3.4
191102,26.6,1.5
191103,28.2,-4.4
191104,37.4,-3.6
191105,53.0,2.0
191106,60.3,0.2
191107,66.3,0.9
191108,64.8,1.0
191109,59.8,2.7
191110,46.7,1.1
191111,33.4,-2.5
191112,31.2,3.8
191201,15.8,-8.8
191202,20.7,-4.4
191203,30.5,-2.1
191204,42.3,1.3
191205,51.7,0.7
191206,58.9,-1.2
191207,64.2,-1.2
191208,62.0,-1.8
191209,59.5,2.4
191210,46.8,1.2
191211,35.4,-0.5
191212,29.0,1.6
191301,32.7,8.1
191302,24.9,-0.2
191303,36.7,4.1
191304,43.6,2.6
191305,50.2,-0.8
191306,58.5,-1.6
191307,64.7,-0.7
191308,62.8,-1.0
191309,57.1,0.0
191310,49.2,3.6
191311,36.5,0.6
191312,29.6,2.2
191401,27.3,2.7
191402,20.1,-5.0
191403,27.7,-4.9
191404,39.5,-1.5
191405,51.7,0.7
191406,59.5,-0.6
191407,64.5,-0.9
191408,65.2,1.4
191409,51.9,-5.2
191410,48.7,3.1
191411,32.8,-3.1
191412,26.3,-1.1
191501,26.8,2.2
191502,29.0,3.9
191503,27.2,-5.4
191504,42.8,1.8
191505,49.6,-1.4
191506,58.1,-2.0
191507,64.2,-1.2
191508,63.9,0.1
191509,58.4,1.3
191510,47.4,1.8
191511,33.6,-2.3
191512,25.1,-2.3
191601,28.4,3.8
191602,22.7,-2.4
191603,26.1,-6.5
191604,40.0,-1.0
191605,53.9,2.9
191606,57.4,-2.7
191607,67.1,1.7
191608,64.3,0.5
191609,54.8,-2.3
191610,45.0,-0.6
191611,35.2,-0.7
191612,25.7,-1.7
191701,24.9,0.3
191702,21.8,-3.3
191703,32.1,-0.5
191704,41.1,0.1
191705,45.7,-5.3
191706,61.0,0.9
191707,67.3,1.9
191708,64.0,0.2
191709,53.2,-3.9
191710,40.8,-4.8
191711,30.4,-5.5
191712,20.4,-7.0
191801,13.7,-10.9
191802,22.4,-2.7
191803,33.2,0.6
191804,41.3,0.3
191805,55.8,4.8
191806,57.5,-2.6
191807,61.8,-3.6
191808,66.0,2.2
191809,52.7,-4.4
191810,47.8,2.2
191811,34.8,-1.1
191812,31.8,4.4
191901,26.2,1.6
191902,26.6,1.5
191903,35.3,2.7
191904,40.1,-0.9
191905,52.6,1.6
191906,60.1,0.0
191907,66.0,0.6
191908,62.6,-1.2
191909,56.9,-0.2
191910,53.5,7.9
191911,36.2,0.3
191912,21.5,-5.9
192001,19.5,-5.1
192002,23.3,-1.8
192003,31.2,-1.4
