Florida, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,46.5,0.0
189502,39.3,-8.5
189503,52.0,-0.5
189504,56.8,-0.6
189505,64.6,1.1
189506,69.0,-0.2
189507,71.6,0.3
189508,72.1,0.6
189509,70.4,0.7
189510,60.2,-1.9
189511,53.6,0.3
189512,43.9,-3.8
189601,43.7,-2.8
189602,45.8,-2.0
189603,50.6,-1.9
189604,57.7,0.3
189605,64.9,1.4
189606,71.0,1.8
189607,72.2,0.9
189608,72.7,1.2
189609,69.9,0.2
189610,61.1,-1.0
189611,59.2,5.9
189612,45.9,-1.8
189701,42.5,-4.0
189702,53.0,5.2
189703,59.0,6.5
189704,57.8,0.4
189705,61.3,-2.2
189706,71.0,1.8
189707,72.1,0.8
189708,71.7,0.2
189709,68.2,-1.5
189710,62.4,0.3
189711,55.1,1.8
189712,48.1,0.4
189801,47.6,1.1
189802,44.0,-3.8
189803,55.4,2.9
189804,54.7,-2.7
189805,63.4,-0.1
189806,69.1,-0.1
189807,71.5,0.2
189808,72.2,0.7
189809,71.7,2.0
189810,61.7,-0.4
189811,54.8,1.5
189812,46.7,-1.0
189901,48.8,2.3
189902,46.7,-1.1
189903,53.7,1.2
189904,56.5,-0.9
189905,66.3,2.8
189906,69.1,-0.1
189907,71.5,0.2
189908,72.4,0.9
189909,68.7,-1.0
189910,64.2,2.1
189911,53.4,0.1
189912,46.7,-1.0
190001,44.1,-2.4
190002,46.4,-1.4
190003,52.4,-0.1
190004,57.4,0.0
190005,64.8,1.3
190006,70.2,1.0
190007,71.8,0.5
190008,71.3,-0.2
190009,70.8,1.1
190010,66.5,4.4
190011,52.1,-1.2
190012,47.8,0.1
190101,44.4,-2.1
190102,43.5,-4.3
190103,49.2,-3.3
190104,51.6,-5.8
190105,61.8,-1.7
190106,69.3,0.1
190107,72.2,0.9
190108,71.0,-0.5
190109,69.8,0.1
190110,61.1,-1.0
190111,45.7,-7.6
190112,44.2,-3.5
190201,41.5,-5.0
190202,42.1,-5.7
190203,53.4,0.9
190204,54.5,-2.9
190205,65.4,1.9
190206,69.8,0.6
190207,71.0,-0.3
190208,71.4,-0.1
190209,69.7,0.0
190210,64.2,2.1
190211,58.0,4.7
190212,48.2,0.5
190301,46.6,0.1
190302,51.5,3.7
190303,59.1,6.6
