Georgia, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1900-2000
Missing: -99
Date,Value,Anomaly
189501,35.4,0.3
189502,27.7,-9.1
189503,44.0,0.8
189504,51.6,1.3
189505,58.5,0.0
189506,66.3,0.6
189507,68.5,-0.2
189508,69.4,1.3
189509,66.1,2.6
189510,48.2,-3.9
189511,42.8,0.9
189512,33.2,-2.7
189601,34.4,-0.7
189602,36.9,0.1
189603,41.6,-1.6
189604,55.3,5.0
189605,64.2,5.7
189606,67.5,1.8
189607,71.1,2.4
189608,70.6,2.5
189609,64.2,0.7
189610,52.1,0.0
189611,48.1,6.2
189612,34.9,-1.0
189701,32.5,-2.6
189702,42.0,5.2
189703,49.8,6.6
189704,51.2,0.9
189705,56.9,-1.6
189706,69.0,3.3
189707,69.6,0.9
189708,68.7,0.6
189709,62.7,-0.8
189710,56.2,4.1
189711,43.6,1.7
189712,38.0,2.1
189801,39.3,4.2
189802,33.1,-3.7
189803,49.2,6.0
189804,46.7,-3.6
189805,60.6,2.1
189806,68.5,2.8
189807,70.6,1.9
189808,70.1,2.0
189809,66.0,2.5
189810,52.2,0.1
189811,41.0,-0.9
189812,36.0,0.1
189901,35.2,0.1
189902,34.0,-2.8
189903,44.8,1.6
189904,50.4,0.1
189905,62.5,4.0
189906,67.8,2.1
189907,68.8,0.1
189908,69.9,1.8
189909,61.1,-2.4
189910,55.2,3.1
189911,43.8,1.9
189912,34.4,-1.5
190001,32.7,-2.4
190002,34.0,-2.8
190003,42.1,-1.1
190004,52.6,2.3
190005,58.3,-0.2
190006,67.3,1.6
190007,69.5,0.8
190008,69.7,1.6
190009,65.8,2.3
190010,59.4,7.3
190011,43.8,1.9
190012,36.3,0.4
190101,33.9,-1.2
190102,33.1,-3.7
190103,41.0,-2.2
190104,45.5,-4.8
190105,58.8,0.3
190106,66.6,0.9
190107,70.1,1.4
190108,68.6,0.5
190109,62.5,-1.0
190110,49.6,-2.5
190111,35.6,-6.3
190112,31.2,-4.7
190201,31.4,-3.7
190202,31.4,-5.4
190203,43.1,-0.1
190204,48.5,-1.8
190205,62.6,4.1
190206,67.1,1.4
190207,69.8,1.1
190208,68.9,0.8
190209,62.8,-0.7
190210,52.6,0.5
190211,46.5,4.6
190212,35.6,-0.3
190301,33.8,-1.3
190302,37.7,0.9
190303,50.7,7.5
190304,47.8,-2.5
190305,59.9,1.4
190306,63.6,-2.1
190307,68.8,0.1
190308,69.8,1.7
190309,61.4,-2.1
190310,50.1,-2.0
190311,40.9,-1.0
190312,28.5,-7.4
190401,29.7,-5.4
190402,35.4,-1.4
190403,44.9,1.7
190404,47.6,-2.7
